RecordingTimestamp	GazePointX (ADCSpx)	GazePointY (ADCSpx)	IRMarkerID	
0	216	417	11, 13, 14, 17, 18, 29, 30	
33	212	418	11, 13, 14, 17, 18, 29, 30	
67	215	419	11, 13, 14, 17, 18, 29, 30	
100	221	439	11, 13, 14, 17, 18, 29, 30	
133	211	419	11, 13, 14, 17, 18, 29, 30	
167	209	423	11, 13, 14, 17, 18, 29, 30	
200	210	422	11, 13, 14, 17, 18, 29, 30	
233	218	424	11, 13, 14, 17, 18, 29, 30	
267	210	435	11, 13, 14, 17, 18, 29, 30	
300	215	442	11, 13, 14, 17, 18, 29, 30	
333	212	432	11, 13, 14, 17, 18, 29, 30	
367	214	435	11, 13, 14, 17, 18, 29, 30	
400	212	435	11, 13, 14, 17, 18, 29, 30	
433	212	436	11, 13, 14, 17, 18, 29, 30	
467	210	434	11, 13, 14, 17, 18, 29, 30	
500	211	435	11, 13, 14, 17, 18, 29, 30	
533	211	434	11, 13, 14, 17, 18, 29, 30	
567	213	439	11, 13, 14, 17, 18, 29, 30	
600	211	440	11, 13, 14, 17, 18, 29, 30	
633			11, 13, 14, 17, 18, 29, 30	
667	315	194	11, 13, 14, 17, 18, 29, 30	
700	343	57	11, 13, 14, 17, 18, 29, 30	
733			11, 13, 14, 17, 18, 29, 30	
767			11, 13, 14, 17, 18, 29, 30	
800			11, 13, 14, 15, 17, 18, 29, 30	
833	343	62	11, 13, 14, 15, 17, 18, 29, 30	
867	344	76	11, 13, 14, 15, 17, 18, 29, 30	
900	331	118	11, 13, 14, 15, 17, 18, 29, 30	
933	325	134	11, 13, 14, 15, 17, 18, 29, 30	
967	325	136	11, 13, 14, 15, 17, 18, 29, 30	
1000	316	151	11, 13, 14, 15, 17, 18, 29, 30	
1033	325	155	11, 13, 14, 15, 18, 29, 30	
1067	316	162	11, 13, 14, 15, 17, 18, 29, 30	
1100			11, 13, 14, 15, 29, 30	
1133			11, 13, 14, 15, 18, 29, 30	
1167			11, 13, 14, 15, 17, 18, 29, 30	
1200			11, 13, 14, 15, 18, 29, 30	
1233	324	184	11, 13, 14, 15, 17, 18, 29, 30	
1267	327	175	11, 13, 14, 15, 17, 18, 29, 30	
1300	328	174	11, 13, 14, 15, 17, 18, 29, 30	
1333	327	176	11, 13, 14, 15, 17, 18, 29, 30	
1367	327	174	11, 13, 14, 15, 17, 18, 29, 30	
1400	330	176	11, 13, 14, 15, 17, 18, 29, 30	
1433	335	179	11, 13, 14, 15, 17, 18, 29, 30	
1467	337	179	11, 13, 14, 15, 18, 29, 30	
