RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (ADCSpx)	FixationPointY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)
7			Unclassified	133								
40			Unclassified	133								
73			Unclassified	133								
107			Unclassified	133								
140			Unclassified	33			626	416			0.406	0.375
173		34	Saccade	67			623	405			0.400	0.347
207		34	Saccade	67			630	395			0.413	0.321
240			Unclassified	33			634	395			0.420	0.321
273		35	Saccade	33			634	387			0.420	0.301
307	13		Fixation	133	629	384	632	385	0.410	0.293	0.416	0.296
340	13		Fixation	133	629	384	631	382	0.410	0.293	0.414	0.288
373	13		Fixation	133	629	384	629	384	0.410	0.293	0.410	0.293
407	13		Fixation	133	629	384	626	388	0.410	0.293	0.405	0.304
440		36	Saccade	33			618	396			0.390	0.325
473	14		Fixation	67	622	392	622	393	0.397	0.314	0.397	0.317
507	14		Fixation	67	622	392	622	390	0.397	0.314	0.397	0.309
540		37	Saccade	67			623	382			0.399	0.289
573		37	Saccade	67			620	391			0.393	0.312
607	15		Fixation	150	627	400	623	391	0.407	0.334	0.399	0.312
640	15		Fixation	150	627	400	625	395	0.407	0.334	0.403	0.322
673	15		Fixation	150	627	400	625	400	0.407	0.334	0.403	0.334
707	15		Fixation	150	627	400	630	407	0.407	0.334	0.413	0.352
740	15		Fixation	150	627	400	629	409	0.407	0.334	0.411	0.357
807			Unclassified	17			614	394			0.382	0.320
840			Unclassified	50			611	387			0.376	0.303
873			Unclassified	50			609	381			0.372	0.288
940			Unclassified	17			616	389			0.386	0.307
973		38	Saccade	33			614	396			0.382	0.325
1007			Unclassified	17			617	400			0.388	0.335
1073			Unclassified	17			631	405			0.415	0.347
1107	16		Fixation	100	634	406	633	404	0.421	0.349	0.419	0.344
1140	16		Fixation	100	634	406	633	406	0.421	0.349	0.419	0.349
1173	16		Fixation	100	634	406	635	409	0.421	0.349	0.423	0.356
1207		39	Saccade	33			625	414			0.404	0.370
1240	17		Fixation	133	624	413	623	411	0.402	0.367	0.400	0.362
1273	17		Fixation	133	624	413	622	413	0.402	0.367	0.398	0.368
1307	17		Fixation	133	624	413	625	417	0.402	0.367	0.404	0.377
1340	17		Fixation	133	624	413	627	413	0.402	0.367	0.408	0.367
1373		40	Saccade	33			630	406			0.413	0.349
1407	18		Fixation	167	643	406	640	406	0.438	0.348	0.432	0.348
1440	18		Fixation	167	643	406	647	407	0.438	0.348	0.445	0.350
1473	18		Fixation	167	643	406	648	407	0.438	0.348	0.447	0.350
1507	18		Fixation	167	643	406	640	405	0.438	0.348	0.432	0.346
1540	18		Fixation	167	643	406	639	407	0.438	0.348	0.430	0.351
1573		41	Saccade	33			633	397			0.418	0.326
1607	19		Fixation	300	624	397	624	393	0.401	0.327	0.401	0.317
1640	19		Fixation	300	624	397	619	390	0.401	0.327	0.391	0.310
1673	19		Fixation	300	624	397	618	390	0.401	0.327	0.390	0.310
1707	19		Fixation	300	624	397	615	391	0.401	0.327	0.384	0.312
1740	19		Fixation	300	624	397	616	391	0.401	0.327	0.386	0.312
1773	19		Fixation	300	624	397	619	398	0.401	0.327	0.392	0.330
1807	19		Fixation	300	624	397	630	404	0.401	0.327	0.413	0.344
1840	19		Fixation	300	624	397	636	407	0.401	0.327	0.425	0.351
1873	19		Fixation	300	624	397	642	406	0.401	0.327	0.436	0.348
1907		42	Saccade	33			641	413			0.434	0.366
1940			Unclassified	33			641	413			0.434	0.366
1973		43	Saccade	67			638	422			0.429	0.389
2007		43	Saccade	67			625	427			0.405	0.403
2040			Unclassified	133								
2073			Unclassified	133								
2107			Unclassified	133								
2140			Unclassified	133								
2173			Unclassified	33			629	451			0.414	0.463
2207		44	Saccade	67			618	415			0.391	0.373
2240		44	Saccade	67			622	402			0.398	0.340
2273	20		Fixation	900	629	401	629	400	0.411	0.337	0.411	0.334
2307	20		Fixation	900	629	401	632	399	0.411	0.337	0.417	0.331
2340	20		Fixation	900	629	401	632	399	0.411	0.337	0.417	0.331
2373	20		Fixation	900	629	401	629	394	0.411	0.337	0.411	0.319
2407	20		Fixation	900	629	401	631	395	0.411	0.337	0.414	0.321
2440	20		Fixation	900	629	401	633	398	0.411	0.337	0.418	0.329
2473	20		Fixation	900	629	401	632	399	0.411	0.337	0.417	0.331
2507	20		Fixation	900	629	401	633	400	0.411	0.337	0.419	0.334
2540	20		Fixation	900	629	401	632	401	0.411	0.337	0.417	0.336
2573	20		Fixation	900	629	401	635	404	0.411	0.337	0.423	0.344
2607	20		Fixation	900	629	401	634	406	0.411	0.337	0.421	0.349
2640	20		Fixation	900	629	401	632	408	0.411	0.337	0.417	0.354
2673	20		Fixation	900	629	401	632	408	0.411	0.337	0.417	0.354
2707	20		Fixation	900	629	401	628	406	0.411	0.337	0.409	0.349
2740	20		Fixation	900	629	401	627	403	0.411	0.337	0.407	0.342
2773	20		Fixation	900	629	401	624	402	0.411	0.337	0.402	0.340
2807	20		Fixation	900	629	401	625	402	0.411	0.337	0.403	0.339
2840	20		Fixation	900	629	401	624	400	0.411	0.337	0.401	0.334
2873	20		Fixation	900	629	401	621	401	0.411	0.337	0.396	0.337
2907	20		Fixation	900	629	401	624	402	0.411	0.337	0.402	0.340
2940	20		Fixation	900	629	401	622	398	0.411	0.337	0.398	0.330
2973	20		Fixation	900	629	401	628	400	0.411	0.337	0.409	0.334
3007	20		Fixation	900	629	401	628	401	0.411	0.337	0.409	0.337
