RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (ADCSpx)	FixationPointY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)
7	27		Fixation	1600	671	383	670	383	0.470	0.471	0.468	0.471
40	27		Fixation	1600	671	383	669	385	0.470	0.471	0.466	0.476
73	27		Fixation	1600	671	383	671	383	0.470	0.471	0.470	0.471
107	27		Fixation	1600	671	383	673	382	0.470	0.471	0.474	0.468
140	27		Fixation	1600	671	383	671	382	0.470	0.471	0.470	0.468
173	27		Fixation	1600	671	383	669	382	0.470	0.471	0.466	0.468
207	27		Fixation	1600	671	383	665	379	0.470	0.471	0.459	0.460
240	27		Fixation	1600	671	383	669	381	0.470	0.471	0.466	0.465
273	27		Fixation	1600	671	383	666	380	0.470	0.471	0.461	0.463
307	27		Fixation	1600	671	383	667	378	0.470	0.471	0.463	0.458
340	27		Fixation	1600	671	383	666	377	0.470	0.471	0.461	0.455
373	27		Fixation	1600	671	383	668	378	0.470	0.471	0.464	0.458
407	27		Fixation	1600	671	383	669	381	0.470	0.471	0.466	0.465
440	27		Fixation	1600	671	383	675	382	0.470	0.471	0.478	0.468
473	27		Fixation	1600	671	383	676	381	0.470	0.471	0.480	0.466
507	27		Fixation	1600	671	383	675	384	0.470	0.471	0.478	0.473
540	27		Fixation	1600	671	383	671	384	0.470	0.471	0.470	0.473
573	27		Fixation	1600	671	383	670	383	0.470	0.471	0.468	0.471
607	27		Fixation	1600	671	383	671	383	0.470	0.471	0.470	0.471
640	27		Fixation	1600	671	383	673	387	0.470	0.471	0.474	0.481
673	27		Fixation	1600	671	383	668	391	0.470	0.471	0.464	0.491
707	27		Fixation	1600	671	383	668	393	0.470	0.471	0.464	0.496
740	27		Fixation	1600	671	383	673	388	0.470	0.471	0.474	0.483
773	27		Fixation	1600	671	383	676	385	0.470	0.471	0.480	0.476
807	27		Fixation	1600	671	383	676	382	0.470	0.471	0.480	0.468
840	27		Fixation	1600	671	383	675	381	0.470	0.471	0.478	0.466
873	27		Fixation	1600	671	383	676	380	0.470	0.471	0.480	0.463
907	27		Fixation	1600	671	383	673	381	0.470	0.471	0.474	0.466
940	27		Fixation	1600	671	383	675	386	0.470	0.471	0.478	0.478
973	27		Fixation	1600	671	383	673	384	0.470	0.471	0.474	0.473
1007	27		Fixation	1600	671	383	674	382	0.470	0.471	0.476	0.468
1040	27		Fixation	1600	671	383	676	383	0.470	0.471	0.480	0.471
1073	27		Fixation	1600	671	383	675	383	0.470	0.471	0.478	0.471
1107	27		Fixation	1600	671	383	675	383	0.470	0.471	0.478	0.471
1140	27		Fixation	1600	671	383	676	383	0.470	0.471	0.480	0.471
1173	27		Fixation	1600	671	383	680	383	0.470	0.471	0.487	0.471
1207	27		Fixation	1600	671	383	677	381	0.470	0.471	0.482	0.466
1240	27		Fixation	1600	671	383	677	387	0.470	0.471	0.482	0.481
1273	27		Fixation	1600	671	383	676	387	0.470	0.471	0.480	0.481
1307		37	Saccade	33			658	371			0.446	0.440
1340			Unclassified	167								
1373			Unclassified	167								
