RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (ADCSpx)	FixationPointY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)
7	25		Fixation	1600	688	395	687	395	0.502	0.501	0.500	0.501
40	25		Fixation	1600	688	395	686	397	0.502	0.501	0.499	0.506
73	25		Fixation	1600	688	395	688	395	0.502	0.501	0.502	0.501
107	25		Fixation	1600	688	395	690	394	0.502	0.501	0.506	0.499
140	25		Fixation	1600	688	395	688	394	0.502	0.501	0.502	0.499
173	25		Fixation	1600	688	395	685	394	0.502	0.501	0.497	0.499
207	25		Fixation	1600	688	395	682	391	0.502	0.501	0.491	0.491
240	25		Fixation	1600	688	395	686	393	0.502	0.501	0.499	0.496
273	25		Fixation	1600	688	395	683	392	0.502	0.501	0.493	0.494
307	25		Fixation	1600	688	395	683	389	0.502	0.501	0.493	0.486
340	25		Fixation	1600	688	395	683	389	0.502	0.501	0.493	0.486
373	25		Fixation	1600	688	395	685	390	0.502	0.501	0.497	0.489
407	25		Fixation	1600	688	395	686	393	0.502	0.501	0.499	0.496
440	25		Fixation	1600	688	395	692	394	0.502	0.501	0.510	0.499
473	25		Fixation	1600	688	395	693	393	0.502	0.501	0.512	0.496
507	25		Fixation	1600	688	395	691	395	0.502	0.501	0.508	0.501
540	25		Fixation	1600	688	395	688	396	0.502	0.501	0.502	0.504
573	25		Fixation	1600	688	395	687	395	0.502	0.501	0.500	0.501
607	25		Fixation	1600	688	395	688	395	0.502	0.501	0.502	0.501
640	25		Fixation	1600	688	395	690	399	0.502	0.501	0.506	0.511
673	25		Fixation	1600	688	395	684	403	0.502	0.501	0.495	0.522
707	25		Fixation	1600	688	395	685	405	0.502	0.501	0.497	0.527
740	25		Fixation	1600	688	395	689	400	0.502	0.501	0.504	0.514
773	25		Fixation	1600	688	395	692	397	0.502	0.501	0.510	0.506
807	25		Fixation	1600	688	395	693	394	0.502	0.501	0.512	0.499
840	25		Fixation	1600	688	395	692	393	0.502	0.501	0.510	0.496
873	25		Fixation	1600	688	395	693	392	0.502	0.501	0.512	0.494
907	25		Fixation	1600	688	395	689	393	0.502	0.501	0.504	0.496
940	25		Fixation	1600	688	395	692	398	0.502	0.501	0.510	0.509
973	25		Fixation	1600	688	395	690	396	0.502	0.501	0.506	0.504
1007	25		Fixation	1600	688	395	691	394	0.502	0.501	0.508	0.499
1040	25		Fixation	1600	688	395	692	395	0.502	0.501	0.510	0.501
1073	25		Fixation	1600	688	395	692	395	0.502	0.501	0.510	0.501
1107	25		Fixation	1600	688	395	691	396	0.502	0.501	0.508	0.504
1140	25		Fixation	1600	688	395	693	395	0.502	0.501	0.512	0.501
1173	25		Fixation	1600	688	395	697	395	0.502	0.501	0.520	0.501
1207	25		Fixation	1600	688	395	693	394	0.502	0.501	0.512	0.499
1240	25		Fixation	1600	688	395	693	399	0.502	0.501	0.512	0.512
1273	25		Fixation	1600	688	395	693	398	0.502	0.501	0.512	0.509
1307		35	Saccade	33			675	384			0.478	0.473
1340			Unclassified	167								
1373			Unclassified	167								
1407			Unclassified	167								
1440			Unclassified	167								
1473			Unclassified	167								
