RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (ADCSpx)	FixationPointY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)
7			Unclassified	133								
40			Unclassified	133								
73			Unclassified	133								
107			Unclassified	133								
140			Unclassified	33			642	428			0.437	0.404
173		32	Saccade	67			639	418			0.431	0.379
207		32	Saccade	67			647	408			0.445	0.353
240			Unclassified	33			650	408			0.451	0.353
273		33	Saccade	33			650	401			0.451	0.335
307	14		Fixation	133	645	398	648	398	0.441	0.328	0.447	0.327
340	14		Fixation	133	645	398	647	395	0.441	0.328	0.445	0.320
373	14		Fixation	133	645	398	645	397	0.441	0.328	0.441	0.325
407	14		Fixation	133	645	398	641	401	0.441	0.328	0.434	0.336
440		34	Saccade	33			634	409			0.421	0.356
473	15		Fixation	67	638	405	638	406	0.428	0.346	0.428	0.348
507	15		Fixation	67	638	405	638	404	0.428	0.346	0.428	0.343
540		35	Saccade	67			639	396			0.430	0.323
573		35	Saccade	67			636	404			0.424	0.344
607	16		Fixation	150	642	414	639	405	0.436	0.368	0.430	0.346
640	16		Fixation	150	642	414	641	409	0.436	0.368	0.434	0.356
673	16		Fixation	150	642	414	641	414	0.436	0.368	0.434	0.369
707	16		Fixation	150	642	414	646	421	0.436	0.368	0.444	0.386
740	16		Fixation	150	642	414	645	423	0.436	0.368	0.443	0.391
807			Unclassified	17			630	408			0.413	0.354
840			Unclassified	50			626	401			0.405	0.337
873			Unclassified	50			625	395			0.403	0.322
940			Unclassified	17			631	403			0.415	0.341
973		36	Saccade	33			630	410			0.413	0.359
1007			Unclassified	17			632	414			0.417	0.369
1073			Unclassified	17			646	419			0.444	0.381
1107	17		Fixation	100	649	421	649	418	0.450	0.386	0.450	0.378
1140	17		Fixation	100	649	421	649	420	0.450	0.386	0.450	0.383
1173	17		Fixation	100	649	421	651	423	0.450	0.386	0.454	0.390
1207		37	Saccade	33			640	429			0.433	0.407
1240	18		Fixation	133	640	428	638	426	0.433	0.404	0.429	0.399
1273	18		Fixation	133	640	428	637	427	0.433	0.404	0.428	0.402
1307	18		Fixation	133	640	428	640	431	0.433	0.404	0.434	0.412
1340	18		Fixation	133	640	428	643	427	0.433	0.404	0.439	0.401
1373		38	Saccade	33			645	420			0.442	0.383
1407	19		Fixation	167	658	420	656	420	0.467	0.382	0.463	0.382
1440	19		Fixation	167	658	420	663	421	0.467	0.382	0.477	0.384
1473	19		Fixation	167	658	420	663	421	0.467	0.382	0.477	0.384
1507	19		Fixation	167	658	420	655	419	0.467	0.382	0.461	0.380
1540	19		Fixation	167	658	420	654	421	0.467	0.382	0.459	0.385
1573		39	Saccade	33			649	411			0.449	0.360
1607	20		Fixation	300	640	411	640	407	0.432	0.361	0.432	0.351
1640	20		Fixation	300	640	411	636	404	0.432	0.361	0.424	0.344
1673	20		Fixation	300	640	411	634	404	0.432	0.361	0.421	0.344
1707	20		Fixation	300	640	411	631	405	0.432	0.361	0.415	0.347
1740	20		Fixation	300	640	411	632	405	0.432	0.361	0.417	0.346
1773	20		Fixation	300	640	411	635	412	0.432	0.361	0.423	0.364
1807	20		Fixation	300	640	411	645	418	0.432	0.361	0.442	0.378
1840	20		Fixation	300	640	411	652	421	0.432	0.361	0.456	0.385
1873	20		Fixation	300	640	411	658	420	0.432	0.361	0.467	0.382
1907		40	Saccade	33			656	427			0.464	0.400
1940			Unclassified	33			656	427			0.464	0.400
1973		41	Saccade	67			653	437			0.459	0.426
2007		41	Saccade	67			640	440			0.434	0.434
2040			Unclassified	133								
2073			Unclassified	133								
2107			Unclassified	133								
2140			Unclassified	133								
2173			Unclassified	33			644	464			0.443	0.495
2207		42	Saccade	67			634	429			0.422	0.407
2240		42	Saccade	67			637	416			0.427	0.374
2273	21		Fixation	900	645	415	644	415	0.442	0.371	0.440	0.371
2307	21		Fixation	900	645	415	648	413	0.442	0.371	0.448	0.365
2340	21		Fixation	900	645	415	648	414	0.442	0.371	0.448	0.368
2373	21		Fixation	900	645	415	645	409	0.442	0.371	0.442	0.355
2407	21		Fixation	900	645	415	647	409	0.442	0.371	0.446	0.355
2440	21		Fixation	900	645	415	649	412	0.442	0.371	0.449	0.363
2473	21		Fixation	900	645	415	647	413	0.442	0.371	0.446	0.365
2507	21		Fixation	900	645	415	648	415	0.442	0.371	0.448	0.370
2540	21		Fixation	900	645	415	648	416	0.442	0.371	0.448	0.373
2573	21		Fixation	900	645	415	651	419	0.442	0.371	0.454	0.380
2607	21		Fixation	900	645	415	650	420	0.442	0.371	0.452	0.383
2640	21		Fixation	900	645	415	647	423	0.442	0.371	0.446	0.391
2673	21		Fixation	900	645	415	647	422	0.442	0.371	0.446	0.388
2707	21		Fixation	900	645	415	643	421	0.442	0.371	0.439	0.386
2740	21		Fixation	900	645	415	642	417	0.442	0.371	0.437	0.376
2773	21		Fixation	900	645	415	639	416	0.442	0.371	0.431	0.374
2807	21		Fixation	900	645	415	640	416	0.442	0.371	0.433	0.374
2840	21		Fixation	900	645	415	639	414	0.442	0.371	0.431	0.369
2873	21		Fixation	900	645	415	637	415	0.442	0.371	0.427	0.371
2907	21		Fixation	900	645	415	639	416	0.442	0.371	0.431	0.374
2940	21		Fixation	900	645	415	637	413	0.442	0.371	0.427	0.366
2973	21		Fixation	900	645	415	643	415	0.442	0.371	0.438	0.371
3007	21		Fixation	900	645	415	643	416	0.442	0.371	0.438	0.373
