RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (ADCSpx)	FixationPointY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)
1906			Unclassified	17			588	404			0.430	0.654
1939		1	Saccade	67			585	412			0.424	0.672
1973		1	Saccade	67			591	404			0.436	0.655
2006			Unclassified	33			587	405			0.428	0.656
2039		2	Saccade	133			591	414			0.436	0.680
2073		2	Saccade	133			564	414			0.384	0.666
2106		2	Saccade	133			526	429			0.312	0.683
2139		2	Saccade	133			516	427			0.292	0.673
2173			Unclassified	33			513	424			0.286	0.664
2206		3	Saccade	67			525	421			0.309	0.663
2239		3	Saccade	67			531	434			0.322	0.698
2273	1		Fixation	133	531	433	532	433	0.322	0.695	0.324	0.696
2306	1		Fixation	133	531	433	533	433	0.322	0.695	0.326	0.697
2339	1		Fixation	133	531	433	531	433	0.322	0.695	0.322	0.695
2373	1		Fixation	133	531	433	530	434	0.322	0.695	0.320	0.697
2406		4	Saccade	67			522	436			0.304	0.698
2439		4	Saccade	67			604	397			0.460	0.645
2473	2		Fixation	233	600	405	596	398	0.453	0.662	0.445	0.643
2506	2		Fixation	233	600	405	596	402	0.453	0.662	0.445	0.653
2539	2		Fixation	233	600	405	602	406	0.453	0.662	0.457	0.666
2573	2		Fixation	233	600	405	599	405	0.453	0.662	0.451	0.662
2606	2		Fixation	233	600	405	602	406	0.453	0.662	0.457	0.666
2639	2		Fixation	233	600	405	603	409	0.453	0.662	0.459	0.674
2673	2		Fixation	233	600	405	602	408	0.453	0.662	0.457	0.671
2706		5	Saccade	100			590	404			0.434	0.655
2739		5	Saccade	100			565	412			0.386	0.661
2773		5	Saccade	100			528	661			0.332	1.256
2806			Unclassified	33			527	645			0.329	1.216
2839		6	Saccade	100			572	528			0.408	0.951
2873		6	Saccade	100			572	432			0.401	0.714
2906		6	Saccade	100			576	401			0.406	0.640
2939	3		Fixation	67	583	406	580	404	0.420	0.656	0.414	0.649
2973	3		Fixation	67	583	406	586	408	0.420	0.656	0.426	0.662
3006			Unclassified	83								
3039			Unclassified	83								
3073			Unclassified	83								
3139			Unclassified	2000								
3173			Unclassified	2000								
3206			Unclassified	2000								
3239			Unclassified	2000								
3273			Unclassified	2000								
3306			Unclassified	2000								
3339			Unclassified	2000								
3373			Unclassified	2000								
3406			Unclassified	2000								
3439			Unclassified	2000								
3473			Unclassified	2000								
3506			Unclassified	2000								
3539			Unclassified	2000								
3573			Unclassified	2000								
3606			Unclassified	2000								
3639			Unclassified	2000								
3673			Unclassified	2000								
3706			Unclassified	2000								
3739			Unclassified	2000								
3773			Unclassified	2000								
3806			Unclassified	2000								
3839			Unclassified	2000								
3873			Unclassified	2000								
3906			Unclassified	2000								
3939			Unclassified	2000								
3973			Unclassified	2000								
4006			Unclassified	2000								
4039			Unclassified	2000								
4073			Unclassified	2000								
4106			Unclassified	2000								
4139			Unclassified	2000								
4173			Unclassified	2000								
4206			Unclassified	2000								
4239			Unclassified	2000								
4273			Unclassified	2000								
4306			Unclassified	2000								
4339			Unclassified	2000								
4373			Unclassified	2000								
4406			Unclassified	2000								
4439			Unclassified	2000								
4473			Unclassified	2000								
4506			Unclassified	2000								
4539			Unclassified	2000								
4573			Unclassified	2000								
4606			Unclassified	2000								
4639			Unclassified	2000								
4673			Unclassified	2000								
4706			Unclassified	2000								
4739			Unclassified	2000								
4773			Unclassified	2000								
4806			Unclassified	2000								
4839			Unclassified	2000								
4873			Unclassified	2000								
4906			Unclassified	2000								
4939			Unclassified	2000								
4973			Unclassified	2000								
5006			Unclassified	2000								
5039			Unclassified	2000								
5073			Unclassified	2000								
5106			Unclassified	2000								
5139			Unclassified	2000								
5206			Unclassified	0								
5273			Unclassified	0								
5373			Unclassified	0								
5439			Unclassified	0								
5539			Unclassified	0								
6239			Unclassified	83								
6273			Unclassified	83								
6306			Unclassified	83								
6339			Unclassified	33			602	417			0.458	0.693
6373	4		Fixation	100	601	423	600	418	0.456	0.707	0.454	0.694
6406	4		Fixation	100	601	423	605	426	0.456	0.707	0.464	0.717
6439	4		Fixation	100	601	423	599	426	0.456	0.707	0.453	0.714
6473		7	Saccade	200			584	410			0.422	0.666
6506		7	Saccade	200			579	395			0.412	0.627
6539		7	Saccade	200			595	384			0.442	0.608
6573		7	Saccade	200			600	374			0.451	0.586
6606		7	Saccade	200			608	437			0.471	0.745
6639		7	Saccade	200			584	531			0.431	0.965
6673	5		Fixation	533	597	539	587	528	0.457	0.991	0.437	0.959
6706	5		Fixation	533	597	539	597	537	0.457	0.991	0.457	0.986
6739	5		Fixation	533	597	539	603	542	0.457	0.991	0.469	1.002
6773	5		Fixation	533	597	539	602	543	0.457	0.991	0.467	1.004
6806	5		Fixation	533	597	539	603	547	0.457	0.991	0.469	1.014
6839	5		Fixation	533	597	539	605	546	0.457	0.991	0.473	1.013
6873	5		Fixation	533	597	539	599	533	0.457	0.991	0.460	0.977
6906	5		Fixation	533	597	539	601	532	0.457	0.991	0.464	0.976
6939	5		Fixation	533	597	539	596	536	0.457	0.991	0.455	0.983
6973	5		Fixation	533	597	539	591	536	0.457	0.991	0.445	0.981
7006	5		Fixation	533	597	539	590	536	0.457	0.991	0.443	0.980
7039	5		Fixation	533	597	539	594	541	0.457	0.991	0.451	0.995
7073	5		Fixation	533	597	539	597	540	0.457	0.991	0.457	0.994
7106	5		Fixation	533	597	539	598	540	0.457	0.991	0.459	0.994
7139	5		Fixation	533	597	539	599	542	0.457	0.991	0.461	1.000
