RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (ADCSpx)	FixationPointY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)
27			Unclassified	233								
60			Unclassified	233								
93			Unclassified	233								
127			Unclassified	233								
160			Unclassified	33			609	419			0.474	0.513
193		6	Saccade	267			581	414			0.424	0.501
227		6	Saccade	267			597	453			0.452	0.593
260		6	Saccade	267			573	437			0.410	0.555
293		6	Saccade	267			557	453			0.382	0.593
327		6	Saccade	267			526	456			0.327	0.599
360		6	Saccade	267								
393		6	Saccade	267			423	509			0.146	0.723
427		6	Saccade	267			407	507			0.117	0.718
460	1		Fixation	67	408	515			0.119	0.737		
493	1		Fixation	67	408	515	409	518	0.119	0.737	0.121	0.744
527		7	Saccade	267			401	510			0.107	0.725
560		7	Saccade	267			454	519			0.200	0.747
593		7	Saccade	267			468	527			0.224	0.766
627		7	Saccade	267			453	521			0.198	0.751
660		7	Saccade	267			421	510			0.142	0.725
693		7	Saccade	267			486	542			0.256	0.801
727		7	Saccade	267			466	524			0.221	0.759
760		7	Saccade	267			505	543			0.289	0.804
793			Unclassified	33			503	543			0.286	0.804
827		8	Saccade	33			487	530			0.258	0.773
860			Unclassified	33			490	540			0.263	0.796
893		9	Saccade	17			509	548			0.296	0.815
960			Unclassified	0			518	557			0.312	0.837
1027			Unclassified	0			472	443			0.232	0.568
1093			Unclassified	17			479	448			0.245	0.580
1127			Unclassified	50			483	455			0.252	0.597
1160			Unclassified	50			482	450			0.250	0.585
1227			Unclassified	17			487	439			0.259	0.559
1260			Unclassified	50			482	437			0.250	0.554
1293			Unclassified	50			483	443			0.252	0.568
1360			Unclassified	17			484	446			0.254	0.575
1393		10	Saccade	50			500	452			0.282	0.590
1427		10	Saccade	50			488	441			0.261	0.564
1493			Unclassified	17			501	445			0.283	0.573
1527		11	Saccade	300			483	429			0.252	0.535
1560		11	Saccade	300			503	441			0.287	0.564
1593		11	Saccade	300			547	548			0.363	0.816
1627		11	Saccade	300			520	523			0.316	0.757
1660		11	Saccade	300			539	546			0.349	0.811
1693		11	Saccade	300			529	548			0.331	0.816
1727		11	Saccade	300			671	331			0.584	0.307
1760		11	Saccade	300			647	312			0.542	0.262
1793		11	Saccade	300			638	299			0.526	0.232
1827			Unclassified	33			641	300			0.531	0.234
1860		12	Saccade	100			630	293			0.512	0.217
1893		12	Saccade	100			621	305			0.496	0.246
1927		12	Saccade	100			641	320			0.531	0.281
1960	2		Fixation	167	651	321	645	319	0.549	0.284	0.538	0.279
1993	2		Fixation	167	651	321	648	320	0.549	0.284	0.543	0.281
2027	2		Fixation	167	651	321	651	322	0.549	0.284	0.549	0.286
2060	2		Fixation	167	651	321	654	321	0.549	0.284	0.554	0.284
