RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (ADCSpx)	FixationPointY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)
7	85		Fixation	267	677	562	667	560	0.480	0.925	0.461	0.920
40	85		Fixation	267	677	562	673	566	0.480	0.925	0.472	0.935
73	85		Fixation	267	677	562	672	564	0.480	0.925	0.470	0.930
107	85		Fixation	267	677	562	685	572	0.480	0.925	0.495	0.950
140		116	Saccade	33			695	566			0.514	0.935
173			Unclassified	33			707	574			0.537	0.956
207		117	Saccade	100			626	457			0.384	0.658
240		117	Saccade	100			629	266			0.392	0.173
273		117	Saccade	100			632	274			0.397	0.193
307			Unclassified	33			623	272			0.380	0.188
340		118	Saccade	67			607	278			0.350	0.203
373		118	Saccade	67			720	164			0.566	-0.084
407	86		Fixation	200	713	174	722	164	0.552	-0.059	0.570	-0.084
440	86		Fixation	200	713	174	719	168	0.552	-0.059	0.564	-0.074
473	86		Fixation	200	713	174	715	171	0.552	-0.059	0.556	-0.067
507	86		Fixation	200	713	174	714	176	0.552	-0.059	0.554	-0.054
540	86		Fixation	200	713	174	706	182	0.552	-0.059	0.539	-0.039
573	86		Fixation	200	713	174	700	184	0.552	-0.059	0.528	-0.034
607		119	Saccade	33			694	205			0.516	0.019
640			Unclassified	133								
673			Unclassified	133								
707			Unclassified	133								
740			Unclassified	133								
773			Unclassified	33			665	576			0.457	0.960
807	87		Fixation	100	679	594	672	589	0.483	1.006	0.470	0.993
840	87		Fixation	100	679	594	680	597	0.483	1.006	0.485	1.014
873	87		Fixation	100	679	594	686	597	0.483	1.006	0.496	1.014
907		120	Saccade	33			670	572			0.466	0.950
940	88		Fixation	100	673	577	668	577	0.472	0.963	0.462	0.963
973	88		Fixation	100	673	577	677	575	0.472	0.963	0.479	0.958
1007	88		Fixation	100	673	577	676	580	0.472	0.963	0.477	0.970
1040		121	Saccade	67								
1073		121	Saccade	67			417	565			-0.015	0.929
1107	89		Fixation	233	405	570	411	567	-0.038	0.941	-0.027	0.934
1140	89		Fixation	233	405	570	409	567	-0.038	0.941	-0.031	0.934
1173	89		Fixation	233	405	570	405	569	-0.038	0.941	-0.038	0.939
1207	89		Fixation	233	405	570	403	574	-0.038	0.941	-0.042	0.951
1240	89		Fixation	233	405	570	401	570	-0.038	0.941	-0.046	0.941
1273	89		Fixation	233	405	570	405	571	-0.038	0.941	-0.038	0.944
1307	89		Fixation	233	405	570	403	571	-0.038	0.941	-0.042	0.944
1340		122	Saccade	100			408	588			-0.033	0.987
1373		122	Saccade	100								
1407		122	Saccade	100			626	560			0.382	0.919
1440	90		Fixation	67	637	564	636	558	0.403	0.929	0.402	0.914
1473	90		Fixation	67	637	564	639	570	0.403	0.929	0.407	0.945
1507		123	Saccade	33			645	563			0.419	0.927
1540			Unclassified	33			652	572			0.432	0.950
1573		124	Saccade	33			657	563			0.441	0.927
1607			Unclassified	33			656	560			0.440	0.919
1640		125	Saccade	67			718	495			0.558	0.755
1673		125	Saccade	67			806	304			0.728	0.272
1707	91		Fixation	300	802	309	803	304	0.720	0.285	0.722	0.272
1740	91		Fixation	300	802	309	798	298	0.720	0.285	0.713	0.257
1773	91		Fixation	300	802	309	801	303	0.720	0.285	0.719	0.270
1807	91		Fixation	300	802	309	797	310	0.720	0.285	0.711	0.287
1840	91		Fixation	300	802	309	796	307	0.720	0.285	0.709	0.280
1873	91		Fixation	300	802	309	795	307	0.720	0.285	0.707	0.280
1907	91		Fixation	300	802	309	801	313	0.720	0.285	0.718	0.295
1940	91		Fixation	300	802	309	807	318	0.720	0.285	0.730	0.308
1973	91		Fixation	300	802	309	818	317	0.720	0.285	0.751	0.305
2007		126	Saccade	33			720	363			0.564	0.421
2040	92		Fixation	167	720	369	723	362	0.564	0.436	0.569	0.418
2073	92		Fixation	167	720	369	719	369	0.564	0.436	0.562	0.436
2107	92		Fixation	167	720	369	720	369	0.564	0.436	0.564	0.436
2140	92		Fixation	167	720	369	715	375	0.564	0.436	0.554	0.451
2173	92		Fixation	167	720	369	722	372	0.564	0.436	0.567	0.443
2207		127	Saccade	33			714	379			0.552	0.461
2240			Unclassified	33			716	378			0.556	0.459
2273		128	Saccade	33			714	390			0.552	0.489
2307	93		Fixation	233	716	398	719	390	0.556	0.509	0.561	0.489
2340	93		Fixation	233	716	398	715	394	0.556	0.509	0.554	0.499
2373	93		Fixation	233	716	398	720	399	0.556	0.509	0.563	0.512
2407	93		Fixation	233	716	398	721	403	0.556	0.509	0.565	0.522
2440	93		Fixation	233	716	398	720	402	0.556	0.509	0.563	0.520
2473	93		Fixation	233	716	398	709	398	0.556	0.509	0.542	0.509
2507	93		Fixation	233	716	398	707	400	0.556	0.509	0.538	0.514
2540		129	Saccade	33			704	408			0.533	0.535
2573			Unclassified	33			699	406			0.523	0.529
2607		130	Saccade	33			680	414			0.487	0.549
2640			Unclassified	33			671	413			0.470	0.547
2673		131	Saccade	33			658	420			0.445	0.564
2707			Unclassified	33			662	418			0.453	0.559
2740			Unclassified	167								
2773			Unclassified	167								
2807			Unclassified	167								
2840			Unclassified	167								
2873			Unclassified	167								
2907			Unclassified	33			631	425			0.394	0.577
2940	94		Fixation	67	632	433	633	434	0.395	0.597	0.397	0.599
2973	94		Fixation	67	632	433	630	432	0.395	0.597	0.392	0.594
3007		132	Saccade	33			615	440			0.363	0.614
3040	95		Fixation	67	605	441	611	443	0.344	0.617	0.355	0.622
3073	95		Fixation	67	605	441	599	439	0.344	0.617	0.332	0.612
3107		133	Saccade	67			576	435			0.289	0.601
3140		133	Saccade	67			564	428			0.266	0.583
3173	96		Fixation	200	554	415	561	424	0.247	0.550	0.260	0.573
3207	96		Fixation	200	554	415	554	417	0.247	0.550	0.247	0.555
3240	96		Fixation	200	554	415	553	415	0.247	0.550	0.245	0.550
3273	96		Fixation	200	554	415	553	413	0.247	0.550	0.245	0.545
3307	96		Fixation	200	554	415	551	410	0.247	0.550	0.241	0.537
3340	96		Fixation	200	554	415	550	409	0.247	0.550	0.240	0.535
3373		134	Saccade	33			558	406			0.255	0.527
3407			Unclassified	33			560	408			0.259	0.532
3440		135	Saccade	33			569	403			0.276	0.520
3473	97		Fixation	100	564	402	566	404	0.266	0.517	0.270	0.522
3507	97		Fixation	100	564	402	566	402	0.266	0.517	0.270	0.517
3540	97		Fixation	100	564	402	561	399	0.266	0.517	0.261	0.510
3573		136	Saccade	33			574	379			0.286	0.459
3607			Unclassified	33			577	376			0.291	0.451
3640		137	Saccade	33			590	367			0.316	0.429
3673			Unclassified	33			591	367			0.318	0.429
3707		138	Saccade	100			597	357			0.330	0.404
3740		138	Saccade	100			629	341			0.391	0.363
3773		138	Saccade	100			645	326			0.421	0.326
3807	98		Fixation	67	646	327	643	327	0.423	0.328	0.417	0.328
3840	98		Fixation	67	646	327	649	327	0.423	0.328	0.429	0.328
3873		139	Saccade	33			648	334			0.427	0.346
3907	99		Fixation	400	655	341	652	338	0.440	0.364	0.434	0.356
3940	99		Fixation	400	655	341	654	342	0.440	0.364	0.438	0.366
3973	99		Fixation	400	655	341	660	344	0.440	0.364	0.450	0.371
4007	99		Fixation	400	655	341	659	343	0.440	0.364	0.448	0.369
4040	99		Fixation	400	655	341	659	348	0.440	0.364	0.448	0.382
4073	99		Fixation	400	655	341	656	343	0.440	0.364	0.442	0.369
4107	99		Fixation	400	655	341	658	343	0.440	0.364	0.446	0.369
4140	99		Fixation	400	655	341	652	338	0.440	0.364	0.434	0.356
4173	99		Fixation	400	655	341	652	339	0.440	0.364	0.434	0.359
4207	99		Fixation	400	655	341	648	337	0.440	0.364	0.427	0.354
4240	99		Fixation	400	655	341	651	336	0.440	0.364	0.433	0.351
4273	99		Fixation	400	655	341	655	341	0.440	0.364	0.440	0.364
4307		140	Saccade	67			689	345			0.505	0.374
4340		140	Saccade	67			706	343			0.537	0.370
4373	100		Fixation	100	714	338	708	340	0.553	0.357	0.541	0.362
4407	100		Fixation	100	714	338	712	339	0.553	0.357	0.549	0.360
4440	100		Fixation	100	714	338	721	335	0.553	0.357	0.566	0.350
4473		141	Saccade	33			720	344			0.564	0.372
4507	101		Fixation	100	732	353	729	347	0.587	0.395	0.581	0.380
4540	101		Fixation	100	732	353	731	355	0.587	0.395	0.585	0.400
4573	101		Fixation	100	732	353	736	355	0.587	0.395	0.594	0.401
4607		142	Saccade	67			781	355			0.680	0.401
4640		142	Saccade	67			803	344			0.722	0.374
4673	102		Fixation	500	812	337	797	346	0.739	0.356	0.710	0.379
4707	102		Fixation	500	812	337	807	342	0.739	0.356	0.729	0.369
4740	102		Fixation	500	812	337	799	341	0.739	0.356	0.714	0.366
4773	102		Fixation	500	812	337	808	338	0.739	0.356	0.731	0.358
4807	102		Fixation	500	812	337	804	335	0.739	0.356	0.724	0.351
4840	102		Fixation	500	812	337	808	342	0.739	0.356	0.731	0.369
4873	102		Fixation	500	812	337	813	340	0.739	0.356	0.741	0.364
4907	102		Fixation	500	812	337	814	339	0.739	0.356	0.743	0.361
4940	102		Fixation	500	812	337	819	336	0.739	0.356	0.752	0.354
4973	102		Fixation	500	812	337	821	335	0.739	0.356	0.756	0.351
5007	102		Fixation	500	812	337	818	332	0.739	0.356	0.751	0.343
5040	102		Fixation	500	812	337	818	331	0.739	0.356	0.751	0.341
5073	102		Fixation	500	812	337	819	331	0.739	0.356	0.752	0.341
5107	102		Fixation	500	812	337	820	334	0.739	0.356	0.754	0.348
5140	102		Fixation	500	812	337	821	333	0.739	0.356	0.756	0.346
5173		143	Saccade	67			669	372			0.466	0.443
5207		143	Saccade	67			639	368			0.409	0.432
5240			Unclassified	33			644	373			0.419	0.445
5273		144	Saccade	67			629	369			0.390	0.434
5307		144	Saccade	67			685	382			0.497	0.468
5340			Unclassified	167								
5373			Unclassified	167								
5407			Unclassified	167								
5440			Unclassified	167								
5473			Unclassified	167								
5507			Unclassified	33			674	394			0.476	0.499
5540	103		Fixation	233	691	397	683	396	0.508	0.506	0.493	0.504
5573	103		Fixation	233	691	397	688	397	0.508	0.506	0.502	0.506
5607	103		Fixation	233	691	397	694	402	0.508	0.506	0.514	0.519
5640	103		Fixation	233	691	397	692	399	0.508	0.506	0.510	0.511
5673	103		Fixation	233	691	397	690	394	0.508	0.506	0.506	0.499
5707	103		Fixation	233	691	397	696	396	0.508	0.506	0.518	0.504
5740	103		Fixation	233	691	397	694	393	0.508	0.506	0.514	0.496
5773		145	Saccade	67			688	458			0.502	0.661
5807		145	Saccade	67			683	523			0.491	0.826
5840	104		Fixation	1000	698	544	684	530	0.520	0.879	0.493	0.844
5873	104		Fixation	1000	698	544	684	538	0.520	0.879	0.493	0.864
5907	104		Fixation	1000	698	544	688	537	0.520	0.879	0.501	0.862
5940	104		Fixation	1000	698	544	687	547	0.520	0.879	0.499	0.887
5973	104		Fixation	1000	698	544	682	538	0.520	0.879	0.489	0.864
6007	104		Fixation	1000	698	544	679	538	0.520	0.879	0.484	0.864
6040	104		Fixation	1000	698	544	683	543	0.520	0.879	0.491	0.877
6073	104		Fixation	1000	698	544	681	545	0.520	0.879	0.487	0.882
6107	104		Fixation	1000	698	544	686	545	0.520	0.879	0.497	0.882
6140	104		Fixation	1000	698	544	683	549	0.520	0.879	0.491	0.892
6173	104		Fixation	1000	698	544	687	544	0.520	0.879	0.499	0.879
6207	104		Fixation	1000	698	544	690	546	0.520	0.879	0.504	0.884
6240	104		Fixation	1000	698	544	695	540	0.520	0.879	0.514	0.869
6273	104		Fixation	1000	698	544	697	546	0.520	0.879	0.518	0.885
6307	104		Fixation	1000	698	544	704	541	0.520	0.879	0.531	0.872
6340	104		Fixation	1000	698	544	701	545	0.520	0.879	0.525	0.882
6373	104		Fixation	1000	698	544	707	541	0.520	0.879	0.537	0.872
6407	104		Fixation	1000	698	544	706	550	0.520	0.879	0.535	0.895
6440	104		Fixation	1000	698	544	709	544	0.520	0.879	0.541	0.880
6473	104		Fixation	1000	698	544	703	547	0.520	0.879	0.529	0.887
6507	104		Fixation	1000	698	544	710	542	0.520	0.879	0.543	0.875
6540	104		Fixation	1000	698	544	707	546	0.520	0.879	0.537	0.885
6573	104		Fixation	1000	698	544	716	543	0.520	0.879	0.554	0.877
6607	104		Fixation	1000	698	544	712	547	0.520	0.879	0.546	0.887
6640	104		Fixation	1000	698	544	716	545	0.520	0.879	0.554	0.882
6673	104		Fixation	1000	698	544	713	548	0.520	0.879	0.548	0.890
6707	104		Fixation	1000	698	544	713	550	0.520	0.879	0.548	0.895
6740	104		Fixation	1000	698	544	710	551	0.520	0.879	0.542	0.897
6773	104		Fixation	1000	698	544	708	552	0.520	0.879	0.539	0.900
6807	104		Fixation	1000	698	544	704	555	0.520	0.879	0.531	0.907
6840		146	Saccade	67			686	452			0.498	0.646
6873		146	Saccade	67			671	400			0.470	0.514
6907	105		Fixation	233	670	396	668	397	0.468	0.504	0.464	0.506
6940	105		Fixation	233	670	396	669	392	0.468	0.504	0.466	0.493
6973	105		Fixation	233	670	396	672	394	0.468	0.504	0.472	0.499
7007	105		Fixation	233	670	396	668	395	0.468	0.504	0.464	0.501
7040	105		Fixation	233	670	396	670	397	0.468	0.504	0.468	0.506
7073	105		Fixation	233	670	396	668	396	0.468	0.504	0.464	0.504
7107	105		Fixation	233	670	396	672	398	0.468	0.504	0.472	0.509
7140		147	Saccade	33			639	478			0.408	0.711
7173	106		Fixation	1033	662	478	643	474	0.452	0.711	0.416	0.701
7207	106		Fixation	1033	662	478	646	478	0.452	0.711	0.421	0.711
7240	106		Fixation	1033	662	478	650	477	0.452	0.711	0.429	0.709
7273	106		Fixation	1033	662	478	650	478	0.452	0.711	0.429	0.711
7307	106		Fixation	1033	662	478	654	478	0.452	0.711	0.437	0.711
7340	106		Fixation	1033	662	478	655	477	0.452	0.711	0.439	0.709
7373	106		Fixation	1033	662	478	661	479	0.452	0.711	0.450	0.714
7407	106		Fixation	1033	662	478	655	475	0.452	0.711	0.439	0.704
7440	106		Fixation	1033	662	478	661	474	0.452	0.711	0.450	0.701
7473	106		Fixation	1033	662	478	659	474	0.452	0.711	0.446	0.701
7507	106		Fixation	1033	662	478	660	477	0.452	0.711	0.448	0.709
7540	106		Fixation	1033	662	478	661	474	0.452	0.711	0.450	0.701
7573	106		Fixation	1033	662	478	662	477	0.452	0.711	0.452	0.709
7607	106		Fixation	1033	662	478	659	474	0.452	0.711	0.446	0.701
7640	106		Fixation	1033	662	478	663	479	0.452	0.711	0.454	0.714
7673	106		Fixation	1033	662	478	662	481	0.452	0.711	0.452	0.719
7707	106		Fixation	1033	662	478	666	478	0.452	0.711	0.460	0.712
7740	106		Fixation	1033	662	478	664	484	0.452	0.711	0.456	0.727
7773	106		Fixation	1033	662	478	667	482	0.452	0.711	0.461	0.722
7807	106		Fixation	1033	662	478	662	480	0.452	0.711	0.452	0.717
7840	106		Fixation	1033	662	478	667	477	0.452	0.711	0.461	0.709
7873	106		Fixation	1033	662	478	664	482	0.452	0.711	0.456	0.722
7907	106		Fixation	1033	662	478	670	476	0.452	0.711	0.467	0.707
7940	106		Fixation	1033	662	478	663	480	0.452	0.711	0.454	0.717
7973	106		Fixation	1033	662	478	672	479	0.452	0.711	0.471	0.714
8007	106		Fixation	1033	662	478	666	481	0.452	0.711	0.460	0.719
8040	106		Fixation	1033	662	478	671	477	0.452	0.711	0.469	0.709
8073	106		Fixation	1033	662	478	665	480	0.452	0.711	0.458	0.717
8107	106		Fixation	1033	662	478	672	477	0.452	0.711	0.471	0.709
8140	106		Fixation	1033	662	478	670	482	0.452	0.711	0.467	0.722
8173	106		Fixation	1033	662	478	673	479	0.452	0.711	0.473	0.714
8207		148	Saccade	33			731	463			0.583	0.674
8240	107		Fixation	1033	732	467	725	460	0.585	0.685	0.572	0.667
8273	107		Fixation	1033	732	467	721	464	0.585	0.685	0.564	0.677
8307	107		Fixation	1033	732	467	726	461	0.585	0.685	0.574	0.669
8340	107		Fixation	1033	732	467	723	466	0.585	0.685	0.568	0.682
8373	107		Fixation	1033	732	467	730	461	0.585	0.685	0.582	0.669
8407	107		Fixation	1033	732	467	728	461	0.585	0.685	0.578	0.669
8440	107		Fixation	1033	732	467	739	459	0.585	0.685	0.599	0.664
8473	107		Fixation	1033	732	467	735	468	0.585	0.685	0.591	0.687
8507	107		Fixation	1033	732	467	742	467	0.585	0.685	0.604	0.685
8540	107		Fixation	1033	732	467	736	471	0.585	0.685	0.593	0.695
8573	107		Fixation	1033	732	467	737	469	0.585	0.685	0.595	0.690
