RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (ADCSpx)	FixationPointY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)
7	97		Fixation	133	657	557	650	552	0.442	0.912	0.428	0.899
40	97		Fixation	133	657	557	656	558	0.442	0.912	0.440	0.914
73	97		Fixation	133	657	557	655	556	0.442	0.912	0.438	0.909
107	97		Fixation	133	657	557	668	564	0.442	0.912	0.462	0.930
140		129	Saccade	33			678	558			0.482	0.915
173			Unclassified	33			691	566			0.506	0.935
207		130	Saccade	100			608	447			0.350	0.632
240		130	Saccade	100			611	254			0.357	0.142
273		130	Saccade	100			614	261			0.363	0.160
307			Unclassified	33			605	259			0.346	0.155
340		131	Saccade	67			589	266			0.315	0.173
373		131	Saccade	67			704	150			0.536	-0.120
407	98		Fixation	200	697	160	706	150	0.522	-0.095	0.539	-0.120
440	98		Fixation	200	697	160	703	154	0.522	-0.095	0.534	-0.110
473	98		Fixation	200	697	160	699	156	0.522	-0.095	0.526	-0.105
507	98		Fixation	200	697	160	698	162	0.522	-0.095	0.524	-0.090
540	98		Fixation	200	697	160	690	168	0.522	-0.095	0.509	-0.075
573	98		Fixation	200	697	160	684	170	0.522	-0.095	0.497	-0.070
607		132	Saccade	33			678	191			0.486	-0.016
640			Unclassified	133								
673			Unclassified	133								
707			Unclassified	133								
740			Unclassified	133								
773			Unclassified	33			649	567			0.426	0.937
807	99		Fixation	100	663	586	655	581	0.453	0.986	0.437	0.973
840	99		Fixation	100	663	586	664	589	0.453	0.986	0.455	0.993
873	99		Fixation	100	663	586	670	588	0.453	0.986	0.466	0.991
907		133	Saccade	33			654	563			0.436	0.927
940	100		Fixation	100	657	568	651	568	0.441	0.940	0.430	0.940
973	100		Fixation	100	657	568	660	566	0.441	0.940	0.447	0.935
1007	100		Fixation	100	657	568	659	570	0.441	0.940	0.445	0.945
1040		134	Saccade	67								
1073		134	Saccade	67			396	556			-0.055	0.905
1107	101		Fixation	233	384	561	390	559	-0.078	0.918	-0.067	0.913
1140	101		Fixation	233	384	561	388	558	-0.078	0.918	-0.071	0.910
1173	101		Fixation	233	384	561	384	559	-0.078	0.918	-0.078	0.913
1207	101		Fixation	233	384	561	382	564	-0.078	0.918	-0.082	0.926
1240	101		Fixation	233	384	561	380	561	-0.078	0.918	-0.086	0.918
1273	101		Fixation	233	384	561	384	562	-0.078	0.918	-0.078	0.921
1307	101		Fixation	233	384	561	382	562	-0.078	0.918	-0.082	0.920
1340		135	Saccade	100			387	578			-0.073	0.961
1373		135	Saccade	100								
1407		135	Saccade	100			609	550			0.350	0.893
1440	102		Fixation	67	620	554	619	549	0.371	0.904	0.369	0.891
1473	102		Fixation	67	620	554	622	560	0.371	0.904	0.375	0.919
1507		136	Saccade	33			628	554			0.386	0.904
1540			Unclassified	33			635	563			0.400	0.927
1573		137	Saccade	33			640	554			0.409	0.904
1607			Unclassified	33			639	551			0.407	0.896
1640		138	Saccade	67			702	485			0.528	0.730
1673		138	Saccade	67			792	290			0.702	0.236
1707	103		Fixation	300	787	295	788	290	0.692	0.249	0.694	0.236
1740	103		Fixation	300	787	295	784	285	0.692	0.249	0.686	0.224
1773	103		Fixation	300	787	295	786	290	0.692	0.249	0.690	0.236
1807	103		Fixation	300	787	295	782	296	0.692	0.249	0.682	0.251
1840	103		Fixation	300	787	295	781	294	0.692	0.249	0.681	0.246
1873	103		Fixation	300	787	295	780	294	0.692	0.249	0.679	0.246
1907	103		Fixation	300	787	295	787	299	0.692	0.249	0.692	0.259
1940	103		Fixation	300	787	295	792	305	0.692	0.249	0.701	0.274
1973	103		Fixation	300	787	295	804	304	0.692	0.249	0.724	0.272
2007		139	Saccade	33			704	349			0.533	0.385
2040	104		Fixation	167	704	357	707	349	0.533	0.405	0.539	0.385
2073	104		Fixation	167	704	357	704	356	0.533	0.405	0.533	0.403
2107	104		Fixation	167	704	357	704	357	0.533	0.405	0.533	0.405
2140	104		Fixation	167	704	357	699	362	0.533	0.405	0.524	0.418
2173	104		Fixation	167	704	357	706	359	0.533	0.405	0.537	0.410
2207		140	Saccade	33			698	367			0.522	0.430
2240			Unclassified	33			700	366			0.526	0.428
2273		141	Saccade	33			698	377			0.522	0.456
2307	105		Fixation	233	700	386	703	378	0.525	0.479	0.531	0.458
2340	105		Fixation	233	700	386	699	382	0.525	0.479	0.523	0.468
2373	105		Fixation	233	700	386	704	387	0.525	0.479	0.533	0.481
2407	105		Fixation	233	700	386	705	391	0.525	0.479	0.535	0.491
2440	105		Fixation	233	700	386	704	390	0.525	0.479	0.533	0.489
2473	105		Fixation	233	700	386	693	385	0.525	0.479	0.512	0.476
2507	105		Fixation	233	700	386	691	388	0.525	0.479	0.508	0.484
2540		142	Saccade	33			688	396			0.502	0.504
2573			Unclassified	33			683	394			0.493	0.499
2607		143	Saccade	33			664	402			0.457	0.519
2640			Unclassified	33			654	401			0.438	0.516
2673		144	Saccade	33			642	408			0.415	0.534
2707			Unclassified	33			646	407			0.422	0.531
2740			Unclassified	167								
2773			Unclassified	167								
2807			Unclassified	167								
2840			Unclassified	167								
2873			Unclassified	167								
2907			Unclassified	33			613	413			0.359	0.546
2940		145	Saccade	33			616	422			0.365	0.569
2973			Unclassified	33			613	421			0.359	0.566
3007		146	Saccade	33			598	428			0.331	0.584
3040			Unclassified	33			594	431			0.323	0.591
3073		147	Saccade	100			582	427			0.300	0.581
3107		147	Saccade	100			558	423			0.255	0.570
3140		147	Saccade	100			546	416			0.232	0.552
3173	106		Fixation	200	536	403	543	412	0.213	0.519	0.226	0.542
3207	106		Fixation	200	536	403	536	405	0.213	0.519	0.213	0.524
3240	106		Fixation	200	536	403	535	403	0.213	0.519	0.211	0.519
3273	106		Fixation	200	536	403	535	401	0.213	0.519	0.211	0.514
3307	106		Fixation	200	536	403	533	398	0.213	0.519	0.207	0.507
3340	106		Fixation	200	536	403	532	396	0.213	0.519	0.205	0.502
3373		148	Saccade	33			540	394			0.221	0.497
3407			Unclassified	33			542	395			0.224	0.499
3440		149	Saccade	33			551	391			0.242	0.489
3473	107		Fixation	100	546	390	548	392	0.232	0.487	0.236	0.492
3507	107		Fixation	100	546	390	547	390	0.232	0.487	0.234	0.487
3540	107		Fixation	100	546	390	543	387	0.232	0.487	0.226	0.479
3573		150	Saccade	33			556	367			0.251	0.428
3607			Unclassified	33			560	363			0.259	0.418
3640		151	Saccade	33			572	355			0.282	0.398
3673			Unclassified	33			573	354			0.284	0.396
3707		152	Saccade	100			579	344			0.295	0.370
3740		152	Saccade	100			612	328			0.358	0.330
3773		152	Saccade	100			627	313			0.387	0.292
3807	108		Fixation	67	629	313	626	313	0.391	0.292	0.385	0.292
3840	108		Fixation	67	629	313	631	313	0.391	0.292	0.395	0.292
3873		153	Saccade	33			631	321			0.395	0.313
3907	109		Fixation	400	638	328	635	325	0.408	0.331	0.402	0.323
3940	109		Fixation	400	638	328	637	329	0.408	0.331	0.406	0.333
3973	109		Fixation	400	638	328	643	331	0.408	0.331	0.417	0.338
4007	109		Fixation	400	638	328	642	330	0.408	0.331	0.416	0.336
4040	109		Fixation	400	638	328	642	335	0.408	0.331	0.415	0.348
4073	109		Fixation	400	638	328	639	330	0.408	0.331	0.410	0.336
4107	109		Fixation	400	638	328	641	330	0.408	0.331	0.414	0.336
4140	109		Fixation	400	638	328	635	324	0.408	0.331	0.402	0.320
4173	109		Fixation	400	638	328	635	326	0.408	0.331	0.402	0.325
4207	109		Fixation	400	638	328	631	324	0.408	0.331	0.395	0.320
4240	109		Fixation	400	638	328	634	323	0.408	0.331	0.400	0.318
4273	109		Fixation	400	638	328	638	327	0.408	0.331	0.408	0.328
4307		154	Saccade	67			672	333			0.473	0.344
4340		154	Saccade	67			690	330			0.507	0.336
4373	110		Fixation	100	698	325	693	326	0.522	0.324	0.513	0.326
4407	110		Fixation	100	698	325	697	326	0.522	0.324	0.520	0.326
4440	110		Fixation	100	698	325	705	322	0.522	0.324	0.536	0.316
4473		155	Saccade	33			704	330			0.534	0.337
4507	111		Fixation	100	716	339	714	334	0.556	0.360	0.553	0.347
4540	111		Fixation	100	716	339	716	342	0.556	0.360	0.556	0.367
4573	111		Fixation	100	716	339	720	342	0.556	0.360	0.564	0.367
4607		156	Saccade	67			767	342			0.653	0.368
4640		156	Saccade	67			789	331			0.695	0.340
4673	112		Fixation	500	798	323	783	333	0.713	0.320	0.684	0.345
4707	112		Fixation	500	798	323	792	329	0.713	0.320	0.701	0.335
4740	112		Fixation	500	798	323	785	327	0.713	0.320	0.688	0.330
4773	112		Fixation	500	798	323	793	324	0.713	0.320	0.703	0.323
4807	112		Fixation	500	798	323	790	322	0.713	0.320	0.697	0.318
4840	112		Fixation	500	798	323	794	328	0.713	0.320	0.705	0.333
4873	112		Fixation	500	798	323	799	327	0.713	0.320	0.714	0.330
4907	112		Fixation	500	798	323	800	325	0.713	0.320	0.716	0.325
4940	112		Fixation	500	798	323	805	322	0.713	0.320	0.726	0.318
4973	112		Fixation	500	798	323	807	321	0.713	0.320	0.730	0.315
5007	112		Fixation	500	798	323	804	318	0.713	0.320	0.724	0.308
5040	112		Fixation	500	798	323	804	318	0.713	0.320	0.724	0.308
5073	112		Fixation	500	798	323	804	317	0.713	0.320	0.724	0.305
5107	112		Fixation	500	798	323	806	320	0.713	0.320	0.728	0.313
5140	112		Fixation	500	798	323	806	319	0.713	0.320	0.728	0.310
5173		157	Saccade	67			652	359			0.434	0.409
5207		157	Saccade	67			621	355			0.375	0.399
5240			Unclassified	33			627	360			0.387	0.412
5273		158	Saccade	67			612	356			0.358	0.401
5307		158	Saccade	67			668	369			0.465	0.435
5340			Unclassified	167								
5373			Unclassified	167								
5407			Unclassified	167								
5440			Unclassified	167								
5473			Unclassified	167								
5507			Unclassified	33			657	381			0.444	0.465
5540	113		Fixation	233	675	384	667	383	0.478	0.473	0.463	0.471
5573	113		Fixation	233	675	384	671	385	0.478	0.473	0.470	0.476
5607	113		Fixation	233	675	384	678	390	0.478	0.473	0.483	0.488
5640	113		Fixation	233	675	384	676	386	0.478	0.473	0.480	0.478
5673	113		Fixation	233	675	384	674	381	0.478	0.473	0.476	0.466
5707	113		Fixation	233	675	384	680	383	0.478	0.473	0.487	0.471
5740	113		Fixation	233	675	384	678	380	0.478	0.473	0.484	0.463
5773		159	Saccade	67			671	447			0.469	0.633
5807		159	Saccade	67			667	513			0.461	0.800
5840	114		Fixation	1000	682	534	668	520	0.489	0.854	0.463	0.818
5873	114		Fixation	1000	682	534	668	528	0.489	0.854	0.463	0.838
5907	114		Fixation	1000	682	534	671	527	0.489	0.854	0.469	0.836
5940	114		Fixation	1000	682	534	671	537	0.489	0.854	0.468	0.861
5973	114		Fixation	1000	682	534	666	528	0.489	0.854	0.459	0.838
6007	114		Fixation	1000	682	534	663	527	0.489	0.854	0.453	0.836
6040	114		Fixation	1000	682	534	667	533	0.489	0.854	0.461	0.851
6073	114		Fixation	1000	682	534	665	535	0.489	0.854	0.457	0.856
6107	114		Fixation	1000	682	534	670	534	0.489	0.854	0.467	0.854
6140	114		Fixation	1000	682	534	667	539	0.489	0.854	0.461	0.866
6173	114		Fixation	1000	682	534	671	534	0.489	0.854	0.468	0.854
6207	114		Fixation	1000	682	534	674	536	0.489	0.854	0.474	0.859
6240	114		Fixation	1000	682	534	679	530	0.489	0.854	0.484	0.844
6273	114		Fixation	1000	682	534	681	536	0.489	0.854	0.487	0.859
6307	114		Fixation	1000	682	534	688	532	0.489	0.854	0.501	0.849
6340	114		Fixation	1000	682	534	685	535	0.489	0.854	0.495	0.856
6373	114		Fixation	1000	682	534	691	531	0.489	0.854	0.507	0.846
6407	114		Fixation	1000	682	534	690	539	0.489	0.854	0.505	0.867
6440	114		Fixation	1000	682	534	693	534	0.489	0.854	0.510	0.854
6473	114		Fixation	1000	682	534	688	537	0.489	0.854	0.501	0.862
6507	114		Fixation	1000	682	534	694	532	0.489	0.854	0.512	0.849
6540	114		Fixation	1000	682	534	692	536	0.489	0.854	0.508	0.859
6573	114		Fixation	1000	682	534	700	533	0.489	0.854	0.524	0.852
6607	114		Fixation	1000	682	534	696	537	0.489	0.854	0.516	0.862
6640	114		Fixation	1000	682	534	700	535	0.489	0.854	0.524	0.857
6673	114		Fixation	1000	682	534	697	538	0.489	0.854	0.518	0.864
6707	114		Fixation	1000	682	534	697	540	0.489	0.854	0.518	0.869
6740	114		Fixation	1000	682	534	694	541	0.489	0.854	0.512	0.872
6773	114		Fixation	1000	682	534	692	542	0.489	0.854	0.508	0.874
6807	114		Fixation	1000	682	534	688	545	0.489	0.854	0.501	0.882
6840		160	Saccade	67			669	441			0.466	0.618
6873		160	Saccade	67			655	388			0.440	0.483
6907	115		Fixation	233	653	383	651	385	0.436	0.470	0.432	0.475
6940	115		Fixation	233	653	383	653	379	0.436	0.470	0.436	0.460
6973	115		Fixation	233	653	383	656	382	0.436	0.470	0.442	0.468
7007	115		Fixation	233	653	383	651	382	0.436	0.470	0.432	0.468
7040	115		Fixation	233	653	383	653	385	0.436	0.470	0.436	0.475
7073	115		Fixation	233	653	383	652	383	0.436	0.470	0.434	0.470
7107	115		Fixation	233	653	383	655	386	0.436	0.470	0.440	0.478
7140		161	Saccade	33			623	467			0.378	0.683
7173	116		Fixation	1033	645	467	626	463	0.420	0.683	0.384	0.673
7207	116		Fixation	1033	645	467	630	466	0.420	0.683	0.391	0.681
7240	116		Fixation	1033	645	467	633	466	0.420	0.683	0.397	0.681
7273	116		Fixation	1033	645	467	634	466	0.420	0.683	0.399	0.681
7307	116		Fixation	1033	645	467	637	466	0.420	0.683	0.404	0.681
7340	116		Fixation	1033	645	467	638	466	0.420	0.683	0.406	0.681
7373	116		Fixation	1033	645	467	644	467	0.420	0.683	0.418	0.683
7407	116		Fixation	1033	645	467	639	464	0.420	0.683	0.408	0.676
7440	116		Fixation	1033	645	467	644	463	0.420	0.683	0.418	0.673
7473	116		Fixation	1033	645	467	642	462	0.420	0.683	0.414	0.671
7507	116		Fixation	1033	645	467	644	466	0.420	0.683	0.418	0.681
7540	116		Fixation	1033	645	467	645	462	0.420	0.683	0.420	0.671
7573	116		Fixation	1033	645	467	645	466	0.420	0.683	0.420	0.681
7607	116		Fixation	1033	645	467	643	462	0.420	0.683	0.416	0.671
7640	116		Fixation	1033	645	467	646	468	0.420	0.683	0.422	0.686
7673	116		Fixation	1033	645	467	646	469	0.420	0.683	0.422	0.688
7707	116		Fixation	1033	645	467	650	467	0.420	0.683	0.429	0.683
7740	116		Fixation	1033	645	467	647	473	0.420	0.683	0.423	0.699
7773	116		Fixation	1033	645	467	651	471	0.420	0.683	0.431	0.694
7807	116		Fixation	1033	645	467	645	468	0.420	0.683	0.420	0.686
7840	116		Fixation	1033	645	467	650	466	0.420	0.683	0.429	0.681
7873	116		Fixation	1033	645	467	647	470	0.420	0.683	0.423	0.691
7907	116		Fixation	1033	645	467	653	465	0.420	0.683	0.435	0.678
7940	116		Fixation	1033	645	467	647	468	0.420	0.683	0.424	0.686
7973	116		Fixation	1033	645	467	656	468	0.420	0.683	0.441	0.686
8007	116		Fixation	1033	645	467	650	470	0.420	0.683	0.429	0.691
8040	116		Fixation	1033	645	467	654	466	0.420	0.683	0.437	0.681
8073	116		Fixation	1033	645	467	648	468	0.420	0.683	0.425	0.686
8107	116		Fixation	1033	645	467	655	465	0.420	0.683	0.439	0.678
8140	116		Fixation	1033	645	467	654	470	0.420	0.683	0.437	0.691
8173	116		Fixation	1033	645	467	657	468	0.420	0.683	0.443	0.686
8207		162	Saccade	33			716	451			0.555	0.644
8240	117		Fixation	233	712	450	710	449	0.547	0.641	0.544	0.639
8273	117		Fixation	233	712	450	705	452	0.547	0.641	0.534	0.646
8307	117		Fixation	233	712	450	711	449	0.547	0.641	0.546	0.639
8340	117		Fixation	233	712	450	707	454	0.547	0.641	0.538	0.651
8373	117		Fixation	233	712	450	714	449	0.547	0.641	0.551	0.639
8407	117		Fixation	233	712	450	712	450	0.547	0.641	0.547	0.641
8440	117		Fixation	233	712	450	724	448	0.547	0.641	0.570	0.636
8473		163	Saccade	33			719	456			0.561	0.657
8507	118		Fixation	767	718	457	726	455	0.559	0.659	0.574	0.654
8540	118		Fixation	767	718	457	721	459	0.559	0.659	0.564	0.664
8573	118		Fixation	767	718	457	722	457	0.559	0.659	0.566	0.659
8607	118		Fixation	767	718	457	712	453	0.559	0.659	0.547	0.649
8640	118		Fixation	767	718	457	710	454	0.559	0.659	0.544	0.651
8673	118		Fixation	767	718	457	714	456	0.559	0.659	0.551	0.656
8707	118		Fixation	767	718	457	718	459	0.559	0.659	0.559	0.664
8740	118		Fixation	767	718	457	727	463	0.559	0.659	0.576	0.674
8773	118		Fixation	767	718	457	726	463	0.559	0.659	0.574	0.674
8807	118		Fixation	767	718	457	726	464	0.559	0.659	0.574	0.677
8840	118		Fixation	767	718	457	723	464	0.559	0.659	0.568	0.677
8873	118		Fixation	767	718	457	716	462	0.559	0.659	0.555	0.672
8907	118		Fixation	767	718	457	717	458	0.559	0.659	0.557	0.662
8940	118		Fixation	767	718	457	715	457	0.559	0.659	0.553	0.659
8973	118		Fixation	767	718	457	719	456	0.559	0.659	0.561	0.657
9007	118		Fixation	767	718	457	716	455	0.559	0.659	0.555	0.654
9040	118		Fixation	767	718	457	710	453	0.559	0.659	0.544	0.649
9073	118		Fixation	767	718	457	707	454	0.559	0.659	0.538	0.651
9107	118		Fixation	767	718	457	705	451	0.559	0.659	0.534	0.644
9140	118		Fixation	767	718	457	712	455	0.559	0.659	0.547	0.654
9173	118		Fixation	767	718	457	718	453	0.559	0.659	0.559	0.649
9207	118		Fixation	767	718	457	722	453	0.559	0.659	0.566	0.649
9240	118		Fixation	767	718	457	721	450	0.559	0.659	0.565	0.641
9273		164	Saccade	33			700	447			0.525	0.633
9307			Unclassified	167								
9340			Unclassified	167								
9373			Unclassified	167								
9407			Unclassified	167								
9440			Unclassified	167								
9473			Unclassified	33			675	373			0.478	0.445
9507		165	Saccade	33			688	372			0.503	0.443
9540	119		Fixation	200	708	374	693	374	0.541	0.448	0.512	0.448
9573	119		Fixation	200	708	374	701	373	0.541	0.448	0.527	0.446
9607	119		Fixation	200	708	374	705	374	0.541	0.448	0.535	0.448
9640	119		Fixation	200	708	374	715	371	0.541	0.448	0.554	0.441
9673	119		Fixation	200	708	374	715	377	0.541	0.448	0.554	0.456
9707	119		Fixation	200	708	374	721	372	0.541	0.448	0.565	0.443
9740		166	Saccade	33			735	400			0.592	0.515
9773	120		Fixation	200	738	397	739	398	0.598	0.507	0.599	0.510
9807	120		Fixation	200	738	397	735	401	0.598	0.507	0.592	0.517
9840	120		Fixation	200	738	397	741	396	0.598	0.507	0.603	0.505
9873	120		Fixation	200	738	397	735	397	0.598	0.507	0.592	0.507
9907	120		Fixation	200	738	397	741	396	0.598	0.507	0.603	0.505
9940	120		Fixation	200	738	397	739	394	0.598	0.507	0.599	0.500
