RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (ADCSpx)	FixationPointY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)
0		18	Saccade	67			600	613			0.452	0.924
33	12		Fixation	233	612	607	604	607	0.471	0.911	0.458	0.911
67	12		Fixation	233	612	607	607	607	0.471	0.911	0.463	0.911
100	12		Fixation	233	612	607	608	610	0.471	0.911	0.465	0.917
133	12		Fixation	233	612	607	612	606	0.471	0.911	0.470	0.909
167	12		Fixation	233	612	607	614	605	0.471	0.911	0.474	0.906
200	12		Fixation	233	612	607	617	608	0.471	0.911	0.478	0.912
233	12		Fixation	233	612	607	619	607	0.471	0.911	0.481	0.910
267		19	Saccade	67			625	598			0.490	0.891
300		19	Saccade	67			632	591			0.500	0.877
333			Unclassified	33			640	591			0.513	0.876
367		20	Saccade	167			550	434			0.367	0.563
400		20	Saccade	167			574	434			0.404	0.561
433		20	Saccade	167			587	429			0.424	0.550
467		20	Saccade	167			596	421			0.437	0.533
500		20	Saccade	167			606	405			0.452	0.500
533			Unclassified	33			603	401			0.447	0.492
567			Unclassified	133								
600			Unclassified	133								
633			Unclassified	133								
667			Unclassified	133								
700			Unclassified	33			631	393			0.489	0.473
733		21	Saccade	33			649	386			0.517	0.458
767			Unclassified	33			657	394			0.529	0.474
800		22	Saccade	33			663	386			0.538	0.457
833	13		Fixation	100	659	388	661	391	0.532	0.461	0.535	0.467
867	13		Fixation	100	659	388	655	387	0.532	0.461	0.526	0.460
900	13		Fixation	100	659	388	662	386	0.532	0.461	0.537	0.457
933		23	Saccade	100			657	374			0.528	0.433
967		23	Saccade	100			662	362			0.535	0.408
1000		23	Saccade	100			660	350			0.532	0.384
1033			Unclassified	33			668	353			0.544	0.389
1067		24	Saccade	100			663	363			0.537	0.410
1100		24	Saccade	100			667	384			0.544	0.453
1133		24	Saccade	100			405	838			0.164	1.395
1167			Unclassified	100								
1200			Unclassified	100								
1233			Unclassified	100								
1267			Unclassified	33			615	411			0.466	0.511
1300		25	Saccade	100			635	394			0.496	0.475
1333		25	Saccade	100			647	388			0.514	0.462
1367		25	Saccade	100			659	397			0.533	0.480
1400	14		Fixation	233	652	394	660	400	0.522	0.474	0.534	0.486
1433	14		Fixation	233	652	394	660	398	0.522	0.474	0.534	0.482
1467	14		Fixation	233	652	394	655	394	0.522	0.474	0.526	0.474
1500	14		Fixation	233	652	394	657	394	0.522	0.474	0.529	0.474
1533	14		Fixation	233	652	394	648	393	0.522	0.474	0.515	0.472
1567	14		Fixation	233	652	394	644	391	0.522	0.474	0.509	0.468
1600	14		Fixation	233	652	394	641	391	0.522	0.474	0.505	0.469
1633		26	Saccade	33			634	382			0.493	0.451
1667			Unclassified	33			629	376			0.486	0.439
1700		27	Saccade	67			724	306			0.628	0.290
1733		27	Saccade	67			716	313			0.616	0.305
1767			Unclassified	33			716	317			0.616	0.313
1800		28	Saccade	33			717	329			0.618	0.337
1833	15		Fixation	133	718	335	722	335	0.620	0.349	0.626	0.349
1867	15		Fixation	133	718	335	719	335	0.620	0.349	0.621	0.349
