RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (ADCSpx)	FixationPointY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)
0			Unclassified	17			596	308			0.332	0.179
67			Unclassified	0			596	319			0.332	0.207
134			Unclassified	0			603	330			0.344	0.235
200			Unclassified	0			636	477			0.403	0.603
267			Unclassified	0			635	475			0.401	0.598
334			Unclassified	0			636	483			0.402	0.618
400			Unclassified	0			639	501			0.408	0.663
467			Unclassified	17			619	398			0.373	0.405
500			Unclassified	50			618	391			0.371	0.388
534			Unclassified	50			615	392			0.365	0.390
600			Unclassified	17			619	386			0.373	0.375
634			Unclassified	33			617	381			0.369	0.362
667		8	Saccade	17			614	367			0.364	0.327
734			Unclassified	67								
767			Unclassified	67								
800			Unclassified	67								
867			Unclassified	17			630	350			0.394	0.285
900		9	Saccade	50			633	340			0.400	0.260
934		9	Saccade	50			648	353			0.428	0.293
1000			Unclassified	17			648	352			0.428	0.290
1034		10	Saccade	33			633	349			0.400	0.283
1067			Unclassified	17			641	347			0.415	0.278
1134			Unclassified	17			636	357			0.405	0.303
1167	3		Fixation	100	642	352	640	354	0.416	0.290	0.413	0.295
1200	3		Fixation	100	642	352	640	353	0.416	0.290	0.413	0.293
1234	3		Fixation	100	642	352	645	350	0.416	0.290	0.422	0.285
1267		11	Saccade	100			642	332			0.417	0.240
1300		11	Saccade	100								
1334		11	Saccade	100			660	551			0.445	0.789
1367	4		Fixation	100	666	557	660	557	0.456	0.804	0.445	0.804
1400	4		Fixation	100	666	557	670	557	0.456	0.804	0.464	0.804
1434	4		Fixation	100	666	557	669	558	0.456	0.804	0.462	0.807
1467		12	Saccade	100			663	531			0.451	0.739
1500		12	Saccade	100			627	601			0.383	0.914
1534		12	Saccade	100			636	594			0.400	0.896
1567	5		Fixation	300	637	599	632	604	0.402	0.909	0.392	0.921
1600	5		Fixation	300	637	599	630	597	0.402	0.909	0.389	0.904
1634	5		Fixation	300	637	599	638	604	0.402	0.909	0.403	0.921
1667	5		Fixation	300	637	599	636	609	0.402	0.909	0.400	0.934
1700	5		Fixation	300	637	599	641	603	0.402	0.909	0.409	0.919
1734	5		Fixation	300	637	599	637	601	0.402	0.909	0.402	0.914
1767	5		Fixation	300	637	599	640	596	0.402	0.909	0.407	0.901
1800	5		Fixation	300	637	599	636	591	0.402	0.909	0.400	0.889
1834	5		Fixation	300	637	599	642	588	0.402	0.909	0.411	0.881
1867		13	Saccade	33			646	575			0.419	0.849
1900	6		Fixation	67	648	575	649	573	0.423	0.849	0.425	0.844
1934	6		Fixation	67	648	575	646	577	0.423	0.849	0.419	0.854
1967		14	Saccade	33			646	590			0.419	0.886
2000	7		Fixation	300	644	595	646	595	0.415	0.899	0.419	0.899
2034	7		Fixation	300	644	595	638	598	0.415	0.899	0.404	0.906
2067	7		Fixation	300	644	595	640	600	0.415	0.899	0.407	0.911
2100	7		Fixation	300	644	595	642	596	0.415	0.899	0.411	0.901
2134	7		Fixation	300	644	595	643	592	0.415	0.899	0.413	0.891
2167	7		Fixation	300	644	595	647	589	0.415	0.899	0.420	0.884
2200	7		Fixation	300	644	595	646	593	0.415	0.899	0.419	0.894
2234	7		Fixation	300	644	595	649	596	0.415	0.899	0.424	0.901
2267	7		Fixation	300	644	595	647	597	0.415	0.899	0.420	0.904
2300		15	Saccade	100			620	604			0.370	0.921
2334		15	Saccade	100			693	349			0.511	0.283
2367		15	Saccade	100			680	355			0.487	0.298
2400	8		Fixation	67	689	350	690	352	0.504	0.286	0.506	0.291
2434	8		Fixation	67	689	350	688	348	0.504	0.286	0.502	0.281
2467		16	Saccade	100			692	338			0.510	0.256
2500		16	Saccade	100			685	374			0.496	0.346
2534		16	Saccade	100			644	400			0.419	0.410
2567	9		Fixation	67	637	398	636	401	0.406	0.405	0.404	0.413
2600	9		Fixation	67	637	398	637	395	0.406	0.405	0.406	0.398
2634		17	Saccade	100			706	433			0.533	0.494
2667		17	Saccade	100			678	403			0.482	0.418
2700		17	Saccade	100			643	398			0.417	0.405
2734			Unclassified	33			649	403			0.428	0.418
2767		18	Saccade	33			645	409			0.421	0.433
2800	10		Fixation	133	639	419	640	415	0.409	0.458	0.411	0.448
2834	10		Fixation	133	639	419	642	416	0.409	0.458	0.415	0.450
2867	10		Fixation	133	639	419	640	422	0.409	0.458	0.411	0.465
2900	10		Fixation	133	639	419	634	423	0.409	0.458	0.400	0.468
2934		19	Saccade	33			585	452			0.308	0.540
2967	11		Fixation	67	583	454	586	452	0.305	0.545	0.310	0.540
3000	11		Fixation	67	583	454	580	456	0.305	0.545	0.299	0.550
3034		20	Saccade	33			575	462			0.290	0.565
3067	12		Fixation	100	575	466	574	466	0.289	0.575	0.288	0.575
3100	12		Fixation	100	575	466	571	464	0.289	0.575	0.282	0.570
3134	12		Fixation	100	575	466	580	466	0.289	0.575	0.299	0.575
3167		21	Saccade	33			540	450			0.225	0.534
3200	13		Fixation	100	544	457	541	451	0.232	0.552	0.227	0.537
3234	13		Fixation	100	544	457	544	456	0.232	0.552	0.232	0.549
3267	13		Fixation	100	544	457	546	464	0.232	0.552	0.236	0.569
3300		22	Saccade	33			529	463			0.204	0.567
3334			Unclassified	133								
3367			Unclassified	133								
3400			Unclassified	133								
3434			Unclassified	133								
3467			Unclassified	33			502	396			0.155	0.398
3500	14		Fixation	233	503	393	500	391	0.157	0.391	0.152	0.386
3534	14		Fixation	233	503	393	507	391	0.157	0.391	0.165	0.386
3567	14		Fixation	233	503	393	508	391	0.157	0.391	0.167	0.386
3600	14		Fixation	233	503	393	505	395	0.157	0.391	0.161	0.396
3634	14		Fixation	233	503	393	502	395	0.157	0.391	0.155	0.396
3667	14		Fixation	233	503	393	498	391	0.157	0.391	0.148	0.386
3700	14		Fixation	233	503	393	497	394	0.157	0.391	0.146	0.393
3734		23	Saccade	67			571	326			0.285	0.224
3767		23	Saccade	67			574	314			0.291	0.194
3800			Unclassified	33			567	310			0.278	0.184
3834		24	Saccade	67			584	311			0.310	0.187
3867		24	Saccade	67			593	309			0.326	0.182
3900	15		Fixation	67	586	313	587	311	0.313	0.192	0.315	0.187
3934	15		Fixation	67	586	313	586	314	0.313	0.192	0.313	0.194
3967		25	Saccade	33			587	330			0.315	0.234
4000	16		Fixation	67	581	330	580	330	0.304	0.234	0.302	0.234
4034	16		Fixation	67	581	330	581	330	0.304	0.234	0.304	0.234
4067		26	Saccade	100			577	334			0.296	0.244
4100		26	Saccade	100			584	332			0.309	0.239
4134		26	Saccade	100			581	325			0.304	0.222
4167	17		Fixation	133	578	327	575	326	0.298	0.227	0.293	0.224
4200	17		Fixation	133	578	327	580	326	0.298	0.227	0.302	0.224
4234	17		Fixation	133	578	327	578	327	0.298	0.227	0.298	0.227
4267	17		Fixation	133	578	327	580	330	0.298	0.227	0.302	0.234
4300		27	Saccade	133			591	330			0.322	0.234
4334		27	Saccade	133			596	337			0.331	0.252
4367		27	Saccade	133			606	343			0.350	0.267
4400		27	Saccade	133			683	351			0.493	0.288
4434	18		Fixation	67	685	356	680	357	0.496	0.301	0.487	0.303
4467	18		Fixation	67	685	356	690	356	0.496	0.301	0.505	0.301
4500		28	Saccade	33			695	347			0.515	0.278
4534			Unclassified	33			700	347			0.524	0.279
4567		29	Saccade	33			717	343			0.556	0.269
4600			Unclassified	33			715	345			0.552	0.274
4634		30	Saccade	33			724	340			0.569	0.261
4667	19		Fixation	200	716	339	723	337	0.554	0.259	0.567	0.254
4700	19		Fixation	200	716	339	721	339	0.554	0.259	0.563	0.259
4734	19		Fixation	200	716	339	717	345	0.554	0.259	0.556	0.274
4767	19		Fixation	200	716	339	719	339	0.554	0.259	0.560	0.259
4800	19		Fixation	200	716	339	714	336	0.554	0.259	0.550	0.251
4834	19		Fixation	200	716	339	704	337	0.554	0.259	0.532	0.254
4867		31	Saccade	67			721	333			0.564	0.244
4900		31	Saccade	67			600	383			0.338	0.367
4934	20		Fixation	533	615	381	607	381	0.366	0.362	0.351	0.362
4967	20		Fixation	533	615	381	609	381	0.366	0.362	0.354	0.362
5000	20		Fixation	533	615	381	607	385	0.366	0.362	0.351	0.372
5034	20		Fixation	533	615	381	610	384	0.366	0.362	0.356	0.370
5067	20		Fixation	533	615	381	609	384	0.366	0.362	0.354	0.370
5100	20		Fixation	533	615	381	614	382	0.366	0.362	0.364	0.365
5134	20		Fixation	533	615	381	618	379	0.366	0.362	0.371	0.357
5167	20		Fixation	533	615	381	614	380	0.366	0.362	0.364	0.360
5200	20		Fixation	533	615	381	616	376	0.366	0.362	0.368	0.350
5234	20		Fixation	533	615	381	619	378	0.366	0.362	0.373	0.355
5267	20		Fixation	533	615	381	617	381	0.366	0.362	0.369	0.362
5300	20		Fixation	533	615	381	623	380	0.366	0.362	0.380	0.360
5334	20		Fixation	533	615	381	619	382	0.366	0.362	0.373	0.365
5367	20		Fixation	533	615	381	622	378	0.366	0.362	0.379	0.355
5400	20		Fixation	533	615	381	624	380	0.366	0.362	0.382	0.360
5434	20		Fixation	533	615	381	618	383	0.366	0.362	0.371	0.368
5467		32	Saccade	33			627	379			0.388	0.358
5500	21		Fixation	200	615	373	625	379	0.366	0.342	0.384	0.358
5534	21		Fixation	200	615	373	615	378	0.366	0.342	0.366	0.355
5567	21		Fixation	200	615	373	617	374	0.366	0.342	0.369	0.345
5600	21		Fixation	200	615	373	612	371	0.366	0.342	0.360	0.337
5634	21		Fixation	200	615	373	612	367	0.366	0.342	0.360	0.327
5667	21		Fixation	200	615	373	611	369	0.366	0.342	0.358	0.332
5700		33	Saccade	33			617	362			0.370	0.315
5734	22		Fixation	133	626	360	619	359	0.387	0.310	0.374	0.307
5767	22		Fixation	133	626	360	626	359	0.387	0.310	0.387	0.308
5800	22		Fixation	133	626	360	627	361	0.387	0.310	0.388	0.313
5834	22		Fixation	133	626	360	631	361	0.387	0.310	0.396	0.313
5867		34	Saccade	33			642	382			0.416	0.365
5900			Unclassified	100								
5934			Unclassified	100								
5967			Unclassified	100								
6000			Unclassified	33			656	394			0.441	0.396
6034		35	Saccade	33			656	376			0.442	0.351
6067	23		Fixation	67	651	380	651	381	0.432	0.360	0.432	0.363
6100	23		Fixation	67	651	380	652	379	0.432	0.360	0.434	0.358
6134		36	Saccade	33			664	389			0.456	0.383
6167	24		Fixation	1533	667	390	661	387	0.462	0.386	0.451	0.378
6200	24		Fixation	1533	667	390	662	375	0.462	0.386	0.453	0.348
6234	24		Fixation	1533	667	390	663	377	0.462	0.386	0.455	0.353
6267	24		Fixation	1533	667	390	665	375	0.462	0.386	0.459	0.348
6300	24		Fixation	1533	667	390	674	378	0.462	0.386	0.475	0.356
6334	24		Fixation	1533	667	390	672	380	0.462	0.386	0.471	0.361
6367	24		Fixation	1533	667	390	669	385	0.462	0.386	0.466	0.373
6400	24		Fixation	1533	667	390	670	382	0.462	0.386	0.468	0.366
6434	24		Fixation	1533	667	390	666	385	0.462	0.386	0.460	0.373
6467	24		Fixation	1533	667	390	673	391	0.462	0.386	0.473	0.388
6500	24		Fixation	1533	667	390	672	389	0.462	0.386	0.471	0.383
6534	24		Fixation	1533	667	390	671	391	0.462	0.386	0.469	0.388
6567	24		Fixation	1533	667	390	670	390	0.462	0.386	0.468	0.386
6600	24		Fixation	1533	667	390	669	393	0.462	0.386	0.466	0.393
6634	24		Fixation	1533	667	390	664	394	0.462	0.386	0.456	0.396
6667	24		Fixation	1533	667	390	668	392	0.462	0.386	0.464	0.391
6700	24		Fixation	1533	667	390	665	393	0.462	0.386	0.458	0.393
6734	24		Fixation	1533	667	390	657	394	0.462	0.386	0.443	0.396
6767	24		Fixation	1533	667	390	661	392	0.462	0.386	0.451	0.391
6800	24		Fixation	1533	667	390	664	390	0.462	0.386	0.456	0.386
6834	24		Fixation	1533	667	390	660	391	0.462	0.386	0.449	0.388
6867	24		Fixation	1533	667	390	665	390	0.462	0.386	0.458	0.386
6900	24		Fixation	1533	667	390	662	391	0.462	0.386	0.453	0.388
6934	24		Fixation	1533	667	390	663	390	0.462	0.386	0.455	0.386
6967	24		Fixation	1533	667	390	659	390	0.462	0.386	0.447	0.386
7000	24		Fixation	1533	667	390	657	394	0.462	0.386	0.443	0.396
7034	24		Fixation	1533	667	390	665	392	0.462	0.386	0.458	0.391
7067	24		Fixation	1533	667	390	668	391	0.462	0.386	0.464	0.388
7100	24		Fixation	1533	667	390	661	392	0.462	0.386	0.451	0.391
7134	24		Fixation	1533	667	390	661	390	0.462	0.386	0.451	0.386
7167	24		Fixation	1533	667	390	661	395	0.462	0.386	0.451	0.398
7200	24		Fixation	1533	667	390	666	396	0.462	0.386	0.460	0.401
7234	24		Fixation	1533	667	390	670	397	0.462	0.386	0.467	0.403
7267	24		Fixation	1533	667	390	665	396	0.462	0.386	0.458	0.401
7300	24		Fixation	1533	667	390	670	393	0.462	0.386	0.468	0.393
7334	24		Fixation	1533	667	390	671	392	0.462	0.386	0.469	0.391
7367	24		Fixation	1533	667	390	669	392	0.462	0.386	0.466	0.391
7400	24		Fixation	1533	667	390	680	393	0.462	0.386	0.486	0.393
7434	24		Fixation	1533	667	390	671	392	0.462	0.386	0.469	0.391
7467	24		Fixation	1533	667	390	675	392	0.462	0.386	0.477	0.391
7500	24		Fixation	1533	667	390	669	390	0.462	0.386	0.466	0.386
7534	24		Fixation	1533	667	390	664	390	0.462	0.386	0.456	0.386
7567	24		Fixation	1533	667	390	674	389	0.462	0.386	0.475	0.383
7600	24		Fixation	1533	667	390	668	387	0.462	0.386	0.464	0.378
7634	24		Fixation	1533	667	390	667	388	0.462	0.386	0.462	0.381
