RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (ADCSpx)	FixationPointY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)
0		18	Saccade	133			473	462			0.310	0.658
33		18	Saccade	133			525	567			0.423	0.965
67		18	Saccade	133			534	589			0.443	1.029
100	10		Fixation	500	538	602	533	594	0.452	1.067	0.441	1.044
133	10		Fixation	500	538	602	535	593	0.452	1.067	0.445	1.041
167	10		Fixation	500	538	602	537	594	0.452	1.067	0.449	1.044
200	10		Fixation	500	538	602	538	591	0.452	1.067	0.452	1.035
233	10		Fixation	500	538	602	544	599	0.452	1.067	0.465	1.059
267	10		Fixation	500	538	602	541	598	0.452	1.067	0.458	1.056
300	10		Fixation	500	538	602	537	599	0.452	1.067	0.449	1.059
333	10		Fixation	500	538	602			0.452	1.067		
367	10		Fixation	500	538	602	537	601	0.452	1.067	0.449	1.065
400	10		Fixation	500	538	602	536	609	0.452	1.067	0.447	1.088
433	10		Fixation	500	538	602	536	609	0.452	1.067	0.447	1.088
467	10		Fixation	500	538	602	538	612	0.452	1.067	0.452	1.097
500	10		Fixation	500	538	602	537	612	0.452	1.067	0.449	1.097
533	10		Fixation	500	538	602	537	610	0.452	1.067	0.449	1.091
567	10		Fixation	500	538	602	541	614	0.452	1.067	0.458	1.103
600		19	Saccade	200			455	622			0.270	1.127
633		19	Saccade	200								
667		19	Saccade	200								
700		19	Saccade	200			287	536			-0.099	0.876
733		19	Saccade	200			297	545			-0.077	0.902
767		19	Saccade	200			304	548			-0.061	0.911
800	11		Fixation	67	309	548	306	546	-0.050	0.911	-0.057	0.905
833	11		Fixation	67	309	548	312	551	-0.050	0.911	-0.044	0.920
867		20	Saccade	67			300	550			-0.070	0.917
900		20	Saccade	67			490	552			0.347	0.921
933	12		Fixation	233	497	547	492	551	0.362	0.907	0.351	0.918
967	12		Fixation	233	497	547	495	547	0.362	0.907	0.358	0.907
1000	12		Fixation	233	497	547	499	547	0.362	0.907	0.366	0.907
1033	12		Fixation	233	497	547	497	544	0.362	0.907	0.362	0.898
1067	12		Fixation	233	497	547	499	545	0.362	0.907	0.366	0.901
1100	12		Fixation	233	497	547	497	544	0.362	0.907	0.362	0.898
1133	12		Fixation	233	497	547	500	549	0.362	0.907	0.369	0.913
1167		21	Saccade	67			539	500			0.454	0.769
1200		21	Saccade	67			550	366			0.479	0.376
1233	13		Fixation	67	549	365	548	364	0.477	0.373	0.474	0.371
1267	13		Fixation	67	549	365	550	366	0.477	0.373	0.479	0.376
1300		22	Saccade	33			554	360			0.488	0.359
1333	14		Fixation	200	557	366	554	364	0.494	0.376	0.488	0.370
1367	14		Fixation	200	557	366	555	364	0.494	0.376	0.490	0.370
1400	14		Fixation	200	557	366	559	368	0.494	0.376	0.498	0.382
1433	14		Fixation	200	557	366	558	367	0.494	0.376	0.496	0.379
