RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (ADCSpx)	FixationPointY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)
7	8		Fixation	100	569	355	565	352	0.433	0.394	0.426	0.386
40	8		Fixation	100	569	355	572	356	0.433	0.394	0.438	0.396
73		17	Saccade	33			567	349			0.430	0.379
107			Unclassified	33			573	353			0.440	0.389
140		18	Saccade	67			564	343			0.425	0.365
173		18	Saccade	67			514	378			0.336	0.445
207	9		Fixation	100	517	377	515	376	0.341	0.443	0.337	0.440
240	9		Fixation	100	517	377	519	377	0.341	0.443	0.344	0.443
273	9		Fixation	100	517	377	517	378	0.341	0.443	0.341	0.445
307		19	Saccade	100			519	385			0.344	0.462
340		19	Saccade	100			513	359			0.335	0.401
373		19	Saccade	100			552	553			0.396	0.857
407	10		Fixation	467	548	537	554	543	0.389	0.819	0.399	0.833
440	10		Fixation	467	548	537	546	541	0.389	0.819	0.385	0.828
473	10		Fixation	467	548	537	550	541	0.389	0.819	0.392	0.829
507	10		Fixation	467	548	537	549	541	0.389	0.819	0.391	0.828
540	10		Fixation	467	548	537	541	536	0.389	0.819	0.377	0.816
573	10		Fixation	467	548	537	543	533	0.389	0.819	0.381	0.809
607	10		Fixation	467	548	537	547	537	0.389	0.819	0.387	0.819
640	10		Fixation	467	548	537	547	535	0.389	0.819	0.387	0.814
673	10		Fixation	467	548	537	547	534	0.389	0.819	0.387	0.812
707	10		Fixation	467	548	537	545	529	0.389	0.819	0.384	0.800
740	10		Fixation	467	548	537	544	526	0.389	0.819	0.383	0.793
773	10		Fixation	467	548	537	546	528	0.389	0.819	0.386	0.798
807	10		Fixation	467	548	537			0.389	0.819		
840	10		Fixation	467	548	537	563	551	0.389	0.819	0.415	0.852
873		20	Saccade	33			596	569			0.472	0.896
907	11		Fixation	67	599	558	599	561	0.478	0.870	0.478	0.877
940	11		Fixation	67	599	558	598	555	0.478	0.870	0.476	0.863
973			Unclassified	100								
1007			Unclassified	100								
1040			Unclassified	100								
1073			Unclassified	33			581	574			0.446	0.907
1107	12		Fixation	133	579	570	578	571	0.442	0.898	0.440	0.900
1140	12		Fixation	133	579	570	585	576	0.442	0.898	0.453	0.912
1173	12		Fixation	133	579	570	576	568	0.442	0.898	0.437	0.893
1207	12		Fixation	133	579	570	577	566	0.442	0.898	0.439	0.888
1240		21	Saccade	33			589	583			0.459	0.929
1273			Unclassified	467								
1307			Unclassified	467								
1340			Unclassified	467								
1373			Unclassified	467								
1407			Unclassified	467								
1440			Unclassified	467								
1473			Unclassified	467								
1507			Unclassified	467								
1540			Unclassified	467								
1573			Unclassified	467								
1607			Unclassified	467								
1640			Unclassified	467								
1673			Unclassified	467								
1707			Unclassified	467								
1740			Unclassified	33			694	333			0.653	0.347
1773	13		Fixation	233	691	329	699	330	0.648	0.338	0.662	0.340
1807	13		Fixation	233	691	329	685	335	0.648	0.338	0.637	0.351
1840	13		Fixation	233	691	329	687	326	0.648	0.338	0.641	0.330
1873	13		Fixation	233	691	329	682	328	0.648	0.338	0.632	0.335
1907	13		Fixation	233	691	329	691	330	0.648	0.338	0.648	0.340
1940	13		Fixation	233	691	329	690	325	0.648	0.338	0.646	0.328
1973	13		Fixation	233	691	329	702	327	0.648	0.338	0.667	0.333
2007			Unclassified	133								
2040			Unclassified	133								
2073			Unclassified	133								
2107			Unclassified	133								
2140			Unclassified	33			586	329			0.464	0.333
2173			Unclassified	33			580	326			0.453	0.326
2207		22	Saccade	33			583	333			0.458	0.343
2240	14		Fixation	133	585	335	585	334	0.462	0.347	0.462	0.345
2273	14		Fixation	133	585	335	584	333	0.462	0.347	0.460	0.343
2307	14		Fixation	133	585	335	587	336	0.462	0.347	0.465	0.350
2340	14		Fixation	133	585	335	585	339	0.462	0.347	0.462	0.357
2373		23	Saccade	100			574	339			0.442	0.356
2407		23	Saccade	100			572	348			0.438	0.377
2440		23	Saccade	100			570	362			0.434	0.410
2473	15		Fixation	233	560	359	562	360	0.417	0.403	0.420	0.405
2507	15		Fixation	233	560	359	563	359	0.417	0.403	0.422	0.403
2540	15		Fixation	233	560	359	556	358	0.417	0.403	0.410	0.400
2573	15		Fixation	233	560	359	560	360	0.417	0.403	0.417	0.405
2607	15		Fixation	233	560	359	559	358	0.417	0.403	0.415	0.400
2640	15		Fixation	233	560	359	560	360	0.417	0.403	0.417	0.405
2673	15		Fixation	233	560	359	560	360	0.417	0.403	0.417	0.405
2707		24	Saccade	67			563	368			0.422	0.424
2740		24	Saccade	67			515	402			0.336	0.501
2773	16		Fixation	133	509	404	511	402	0.326	0.506	0.329	0.501
2807	16		Fixation	133	509	404	509	404	0.326	0.506	0.326	0.506
2840	16		Fixation	133	509	404	509	405	0.326	0.506	0.326	0.508
2873	16		Fixation	133	509	404	508	405	0.326	0.506	0.324	0.508
2907		25	Saccade	100			501	399			0.312	0.494
2940		25	Saccade	100			496	422			0.302	0.547
2973		25	Saccade	100			455	449			0.229	0.609
3007	17		Fixation	300	459	443	458	449	0.237	0.595	0.235	0.609
3040	17		Fixation	300	459	443	457	445	0.237	0.595	0.233	0.600
3073	17		Fixation	300	459	443	456	443	0.237	0.595	0.231	0.595
3107	17		Fixation	300	459	443	459	445	0.237	0.595	0.237	0.600
3140	17		Fixation	300	459	443	457	441	0.237	0.595	0.233	0.590
3173	17		Fixation	300	459	443	462	440	0.237	0.595	0.242	0.588
3207	17		Fixation	300	459	443	462	440	0.237	0.595	0.242	0.588
3240	17		Fixation	300	459	443	463	442	0.237	0.595	0.244	0.593
3273	17		Fixation	300	459	443	461	440	0.237	0.595	0.240	0.588
3307		26	Saccade	67			431	414			0.189	0.526
3340		26	Saccade	67			410	396			0.153	0.483
3373			Unclassified	33			409	395			0.151	0.481
3407		27	Saccade	267			408	388			0.149	0.464
3440		27	Saccade	267			397	377			0.130	0.438
3473		27	Saccade	267								
3507		27	Saccade	267								
3540		27	Saccade	267			395	355			0.128	0.386
3573		27	Saccade	267			408	359			0.150	0.396
3607		27	Saccade	267			405	353			0.145	0.382
3640		27	Saccade	267			413	350			0.160	0.375
3673			Unclassified	33			415	348			0.163	0.371
3707		28	Saccade	300			410	343			0.155	0.359
3740		28	Saccade	300			414	337			0.162	0.345
3773		28	Saccade	300			450	317			0.226	0.300
3807		28	Saccade	300			470	293			0.262	0.244
3840		28	Saccade	300			468	284			0.258	0.223
3873		28	Saccade	300			461	282			0.246	0.218
3907		28	Saccade	300			462	287			0.248	0.230
3940		28	Saccade	300			455	287			0.236	0.229
3973		28	Saccade	300			460	296			0.244	0.251
4007			Unclassified	33			460	299			0.244	0.258
4040		29	Saccade	33			469	296			0.260	0.251
4073	18		Fixation	100	474	299	472	297	0.268	0.258	0.265	0.254
4107	18		Fixation	100	474	299	476	299	0.268	0.258	0.272	0.258
4140	18		Fixation	100	474	299	474	299	0.268	0.258	0.268	0.258
4173		30	Saccade	67			481	296			0.281	0.252
4207		30	Saccade	67			478	292			0.276	0.242
4240			Unclassified	33			477	291			0.274	0.240
4273		31	Saccade	33			470	288			0.262	0.232
4307			Unclassified	33			469	291			0.260	0.239
4340		32	Saccade	200			478	294			0.276	0.247
4373		32	Saccade	200			488	298			0.293	0.257
