RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (ADCSpx)	FixationPointY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)
27	9		Fixation	800	645	456	652	466	0.410	0.504	0.424	0.529
60	9		Fixation	800	645	456	648	469	0.410	0.504	0.417	0.536
93		16	Saccade	33			660	437			0.438	0.457
127			Unclassified	100								
160			Unclassified	100								
193			Unclassified	100								
227			Unclassified	33			653	403			0.423	0.373
260		17	Saccade	33			655	413			0.427	0.397
293	10		Fixation	233	659	417	657	416	0.435	0.407	0.431	0.405
327	10		Fixation	233	659	417	662	420	0.435	0.407	0.441	0.414
360	10		Fixation	233	659	417	659	419	0.435	0.407	0.435	0.412
393	10		Fixation	233	659	417	657	418	0.435	0.407	0.431	0.410
427	10		Fixation	233	659	417	657	418	0.435	0.407	0.431	0.410
460	10		Fixation	233	659	417	659	417	0.435	0.407	0.435	0.407
493	10		Fixation	233	659	417	660	413	0.435	0.407	0.437	0.397
527		18	Saccade	33			641	427			0.402	0.433
560			Unclassified	100								
593			Unclassified	100								
627			Unclassified	100								
660			Unclassified	33			634	501			0.392	0.616
693		19	Saccade	17			638	449			0.397	0.487
760			Unclassified	17			635	478			0.393	0.559
793			Unclassified	50			637	479			0.396	0.562
827			Unclassified	50			636	477			0.394	0.557
893			Unclassified	17			642	477			0.406	0.557
927	11		Fixation	633	648	504	644	481	0.418	0.623	0.410	0.566
960	11		Fixation	633	648	504	645	485	0.418	0.623	0.412	0.576
993	11		Fixation	633	648	504	645	488	0.418	0.623	0.412	0.584
1027	11		Fixation	633	648	504	643	489	0.418	0.623	0.408	0.586
1060	11		Fixation	633	648	504	648	494	0.418	0.623	0.418	0.598
1093	11		Fixation	633	648	504	647	495	0.418	0.623	0.416	0.601
1127	11		Fixation	633	648	504	646	498	0.418	0.623	0.414	0.608
1160	11		Fixation	633	648	504	646	502	0.418	0.623	0.414	0.618
1193	11		Fixation	633	648	504	645	507	0.418	0.623	0.412	0.631
1227	11		Fixation	633	648	504	652	510	0.418	0.623	0.426	0.638
1260	11		Fixation	633	648	504	654	513	0.418	0.623	0.430	0.645
1293	11		Fixation	633	648	504	654	513	0.418	0.623	0.430	0.645
1327	11		Fixation	633	648	504	650	513	0.418	0.623	0.422	0.645
1360	11		Fixation	633	648	504	653	515	0.418	0.623	0.428	0.650
1393	11		Fixation	633	648	504	648	513	0.418	0.623	0.418	0.645
1427	11		Fixation	633	648	504	649	513	0.418	0.623	0.420	0.645
1460	11		Fixation	633	648	504	649	514	0.418	0.623	0.420	0.648
1493	11		Fixation	633	648	504	651	515	0.418	0.623	0.424	0.650
1527	11		Fixation	633	648	504	651	519	0.418	0.623	0.424	0.660
1560		20	Saccade	33			634	516			0.392	0.654
1593			Unclassified	100								
1627			Unclassified	100								
1660			Unclassified	100								
1693			Unclassified	33			784	427			0.670	0.425
1727		21	Saccade	133			783	414			0.668	0.393
1760		21	Saccade	133			786	404			0.673	0.368
1793		21	Saccade	133			787	389			0.674	0.331
1827		21	Saccade	133			772	368			0.645	0.280
1860	12		Fixation	200	755	363	768	360	0.613	0.268	0.637	0.260
1893	12		Fixation	200	755	363	764	362	0.613	0.268	0.630	0.265
1927	12		Fixation	200	755	363	760	361	0.613	0.268	0.622	0.263
1960	12		Fixation	200	755	363	753	361	0.613	0.268	0.609	0.263
1993	12		Fixation	200	755	363	747	365	0.613	0.268	0.598	0.274
2027	12		Fixation	200	755	363	741	368	0.613	0.268	0.587	0.281
2060		22	Saccade	133			734	378			0.574	0.306
2093		22	Saccade	133			727	384			0.561	0.322
2127		22	Saccade	133			718	392			0.545	0.342
2160		22	Saccade	133			706	399			0.523	0.360
2193	13		Fixation	233	693	411	698	403	0.499	0.390	0.508	0.370
2227	13		Fixation	233	693	411	694	407	0.499	0.390	0.500	0.380
2260	13		Fixation	233	693	411	691	410	0.499	0.390	0.495	0.388
2293	13		Fixation	233	693	411	691	413	0.499	0.390	0.495	0.395
2327	13		Fixation	233	693	411	691	412	0.499	0.390	0.495	0.393
2360	13		Fixation	233	693	411	692	413	0.499	0.390	0.497	0.395
2393	13		Fixation	233	693	411	695	416	0.499	0.390	0.503	0.403
2427		23	Saccade	67			666	443			0.449	0.471
2460		23	Saccade	67			654	453			0.427	0.497
2493	14		Fixation	200	644	461	650	455	0.409	0.517	0.420	0.502
2527	14		Fixation	200	644	461	649	458	0.409	0.517	0.418	0.509
2560	14		Fixation	200	644	461	648	462	0.409	0.517	0.416	0.519
2593	14		Fixation	200	644	461	642	462	0.409	0.517	0.405	0.519
2627	14		Fixation	200	644	461	640	464	0.409	0.517	0.401	0.524
2660	14		Fixation	200	644	461	634	468	0.409	0.517	0.390	0.535
