RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (ADCSpx)	FixationPointY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)
1728406		48	Saccade	100			710	350			0.555	0.283
1728439			Unclassified	33			725	358			0.579	0.299
1728473		49	Saccade	100			684	361			0.514	0.307
1728506		49	Saccade	100			669	375			0.491	0.337
1728539		49	Saccade	100			663	389			0.482	0.367
1728573			Unclassified	33			655	381			0.469	0.351
1728606		50	Saccade	167			673	385			0.498	0.358
1728639		50	Saccade	167			675	365			0.500	0.316
1728673		50	Saccade	167			715	396			0.564	0.379
1728706		50	Saccade	167			609	398			0.397	0.389
1728739		50	Saccade	167			685	402			0.517	0.393
1728773			Unclassified	100								
1728806			Unclassified	100								
1728839			Unclassified	100								
1728873			Unclassified	33			616	503			0.412	0.608
1728906		51	Saccade	100			619	406			0.413	0.405
1728939		51	Saccade	100			645	357			0.453	0.301
1728973		51	Saccade	100			673	360			0.497	0.306
1729006	21		Fixation	100	689	370	685	367	0.522	0.326	0.516	0.320
1729039	21		Fixation	100	689	370			0.522	0.326		
1729073	21		Fixation	100	689	370	692	373	0.522	0.326	0.527	0.332
1729106		52	Saccade	33			692	366			0.527	0.317
1729139	22		Fixation	100	700	371	694	365	0.540	0.328	0.530	0.315
1729173	22		Fixation	100	700	371	703	372	0.540	0.328	0.545	0.329
1729206	22		Fixation	100	700	371	702	376	0.540	0.328	0.543	0.338
1729239		53	Saccade	100			669	356			0.490	0.298
1729273		53	Saccade	100			711	372			0.557	0.329
1729306		53	Saccade	100			683	358			0.513	0.301
1729339	23		Fixation	67	700	364	698	365	0.540	0.313	0.536	0.315
1729373	23		Fixation	67	700	364	702	362	0.540	0.313	0.543	0.309
1729406		54	Saccade	33			736	383			0.597	0.351
1729439			Unclassified	33			740	387			0.603	0.359
1729473		55	Saccade	100			758	364			0.631	0.310
1729506		55	Saccade	100			754	355			0.624	0.291
1729539		55	Saccade	100			733	354			0.591	0.290
1729573	24		Fixation	100	745	364	748	361	0.610	0.311	0.615	0.304
1729606	24		Fixation	100	745	364	746	367	0.610	0.311	0.612	0.317
1729639	24		Fixation	100	745	364	740	365	0.610	0.311	0.603	0.313
1729673		56	Saccade	33			716	353			0.564	0.289
1729706	25		Fixation	67	738	356			0.599	0.294		
1729739	25		Fixation	67	738	356	745	357	0.599	0.294	0.610	0.296
1729773		57	Saccade	67			746	369			0.612	0.321
1729806		57	Saccade	67			706	353			0.549	0.290
1729839			Unclassified	133								
1729873			Unclassified	133								
1729906			Unclassified	133								
1729939			Unclassified	133								
1729973			Unclassified	33			625	407			0.423	0.407
1730006		58	Saccade	167			651	338			0.462	0.261
1730039		58	Saccade	167			709	329			0.553	0.239
1730073		58	Saccade	167			717	339			0.565	0.260
1730106		58	Saccade	167			684	320			0.513	0.222
1730139		58	Saccade	167			726	340			0.580	0.261
1730173	26		Fixation	133	723	338	722	338	0.575	0.257	0.573	0.257
1730206	26		Fixation	133	723	338	730	336	0.575	0.257	0.586	0.253
1730239	26		Fixation	133	723	338	723	337	0.575	0.257	0.575	0.255
1730273	26		Fixation	133	723	338	716	341	0.575	0.257	0.564	0.264
1730306		59	Saccade	233			692	328			0.526	0.238
1730339		59	Saccade	233			721	347			0.572	0.276
1730373		59	Saccade	233			718	355			0.568	0.293
1730406		59	Saccade	233			695	345			0.531	0.273
1730439		59	Saccade	233			721	357			0.572	0.297
1730473		59	Saccade	233			682	339			0.510	0.261
1730506		59	Saccade	233			722	350			0.574	0.282
1730539			Unclassified	33			720	355			0.571	0.293
1730573		60	Saccade	33			689	330			0.521	0.242
1730606			Unclassified	33			692	328			0.526	0.238
1730639		61	Saccade	100			719	335			0.568	0.251
1730673		61	Saccade	100			708	326			0.551	0.233
1730706		61	Saccade	100			730	334			0.586	0.249
1730739	27		Fixation	233	722	328	727	328	0.573	0.236	0.581	0.236
1730773	27		Fixation	233	722	328	733	332	0.573	0.236	0.590	0.244
1730806	27		Fixation	233	722	328	724	324	0.573	0.236	0.576	0.228
1730839	27		Fixation	233	722	328	723	326	0.573	0.236	0.574	0.232
1730873	27		Fixation	233	722	328	720	328	0.573	0.236	0.570	0.237
1730906	27		Fixation	233	722	328	716	331	0.573	0.236	0.564	0.243
1730939	27		Fixation	233	722	328	713	328	0.573	0.236	0.559	0.237
1730973		62	Saccade	33			696	317			0.532	0.215
1731006	28		Fixation	133	713	323	705	317	0.559	0.226	0.546	0.214
1731039	28		Fixation	133	713	323	718	324	0.559	0.226	0.567	0.228
1731073	28		Fixation	133	713	323	718	327	0.559	0.226	0.567	0.235
1731106	28		Fixation	133	713	323	711	323	0.559	0.226	0.555	0.227
1731139		63	Saccade	33			712	331			0.557	0.243
1731173	29		Fixation	67	708	333	706	334	0.551	0.248	0.548	0.250
1731206	29		Fixation	67	708	333	710	332	0.551	0.248	0.554	0.245
1731239		64	Saccade	100			694	318			0.529	0.217
1731273		64	Saccade	100			685	307			0.514	0.194
1731306		64	Saccade	100			726	324			0.579	0.228
1731339	30		Fixation	167	712	320	720	321	0.557	0.220	0.570	0.222
1731373	30		Fixation	167	712	320	718	323	0.557	0.220	0.567	0.226
1731406	30		Fixation	167	712	320	713	321	0.557	0.220	0.559	0.222
1731439	30		Fixation	167	712	320			0.557	0.220		
1731473	30		Fixation	167	712	320	702	316	0.557	0.220	0.541	0.212
1731506		65	Saccade	33			668	322			0.488	0.227
1731539			Unclassified	133								
1731573			Unclassified	133								
1731606			Unclassified	133								
1731639			Unclassified	133								
1731673			Unclassified	33			717	354			0.566	0.291
1731706		66	Saccade	167			668	321			0.488	0.224
1731739		66	Saccade	167			719	326			0.568	0.232
1731773		66	Saccade	167			696	306			0.531	0.192
1731806		66	Saccade	167			737	317			0.596	0.213
1731839		66	Saccade	167			712	314			0.557	0.208
1731873	31		Fixation	67	718	311			0.566	0.201		
1731906	31		Fixation	67	718	311	720	310	0.566	0.201	0.569	0.199
1731939		67	Saccade	33			750	320			0.617	0.218
1731973	32		Fixation	100	734	322	744	327	0.592	0.223	0.608	0.233
1732006	32		Fixation	100	734	322	733	321	0.592	0.223	0.590	0.221
1732039	32		Fixation	100	734	322	724	319	0.592	0.223	0.576	0.218
1732073		68	Saccade	33			754	333			0.624	0.245
1732106	33		Fixation	67	748	333	744	333	0.614	0.246	0.608	0.246
1732139	33		Fixation	67	748	333	752	333	0.614	0.246	0.620	0.245
1732173		69	Saccade	33			708	315			0.551	0.210
1732206			Unclassified	33			721	313			0.571	0.205
1732239		70	Saccade	33			753	331			0.622	0.241
1732273	34		Fixation	167	739	333			0.600	0.246		
1732306	34		Fixation	167	739	333	736	332	0.600	0.246	0.595	0.244
1732339	34		Fixation	167	739	333	743	333	0.600	0.246	0.606	0.246
1732373	34		Fixation	167	739	333	733	331	0.600	0.246	0.590	0.242
1732406	34		Fixation	167	739	333	738	336	0.600	0.246	0.598	0.252
1732439		71	Saccade	100			711	342			0.556	0.266
1732473		71	Saccade	100			685	370			0.516	0.326
1732506		71	Saccade	100			634	358			0.435	0.304
1732539	35		Fixation	133	645	352	640	354	0.453	0.291	0.445	0.295
1732573	35		Fixation	133	645	352	641	351	0.453	0.291	0.446	0.289
1732606	35		Fixation	133	645	352	647	351	0.453	0.291	0.456	0.288
1732639	35		Fixation	133	645	352	652	350	0.453	0.291	0.464	0.286
1732673		72	Saccade	200			658	344			0.473	0.273
1732706		72	Saccade	200			696	362			0.533	0.309
1732739		72	Saccade	200			663	347			0.481	0.279
1732773		72	Saccade	200			695	363			0.532	0.311
1732806		72	Saccade	200								
1732839		72	Saccade	200			762	304			0.635	0.184
1732873	36		Fixation	67	760	303	767	305	0.632	0.182	0.643	0.186
1732906	36		Fixation	67	760	303	753	300	0.632	0.182	0.621	0.176
1732939		73	Saccade	33			776	309			0.657	0.194
1732973	37		Fixation	267	780	315	781	308	0.664	0.206	0.665	0.192
1733006	37		Fixation	267	780	315	785	313	0.664	0.206	0.672	0.202
1733039	37		Fixation	267	780	315	780	312	0.664	0.206	0.664	0.200
1733073	37		Fixation	267	780	315	777	309	0.664	0.206	0.659	0.194
1733106	37		Fixation	267	780	315	785	317	0.664	0.206	0.672	0.210
1733139	37		Fixation	267	780	315	766	318	0.664	0.206	0.642	0.213
1733173	37		Fixation	267	780	315	784	320	0.664	0.206	0.670	0.217
1733206	37		Fixation	267	780	315	779	323	0.664	0.206	0.663	0.223
1733239		74	Saccade	167			663	374			0.482	0.336
1733273		74	Saccade	167			686	352			0.517	0.288
1733306		74	Saccade	167			705	347			0.547	0.277
1733339		74	Saccade	167			724	341			0.577	0.264
1733373		74	Saccade	167			793	367			0.686	0.315
1733406	38		Fixation	100	750	362			0.618	0.306		
1733439	38		Fixation	100	750	362	743	360	0.618	0.306	0.607	0.302
1733473	38		Fixation	100	750	362	739	363	0.618	0.306	0.601	0.309
1733506		75	Saccade	33			724	368			0.577	0.320
1733539			Unclassified	33			724	370			0.578	0.324
1733573		76	Saccade	100			659	348			0.474	0.281
1733606		76	Saccade	100			720	331			0.570	0.243
1733639		76	Saccade	100			755	337			0.625	0.254
1733673	39		Fixation	167	750	340	755	341	0.617	0.260	0.625	0.262
1733706	39		Fixation	167	750	340	754	346	0.617	0.260	0.624	0.273
1733739	39		Fixation	167	750	340	715	326	0.617	0.260	0.562	0.233
1733773	39		Fixation	167	750	340	762	340	0.617	0.260	0.636	0.260
1733806	39		Fixation	167	750	340	766	344	0.617	0.260	0.643	0.268
1733839		77	Saccade	67			718	318			0.566	0.216
1733873		77	Saccade	67			785	345			0.673	0.269
1733906	40		Fixation	233	785	347	772	343	0.673	0.273	0.652	0.265
1733939	40		Fixation	233	785	347	794	348	0.673	0.273	0.687	0.275
1733973	40		Fixation	233	785	347	785	353	0.673	0.273	0.673	0.286
1734006	40		Fixation	233	785	347	788	347	0.673	0.273	0.677	0.273
1734039	40		Fixation	233	785	347	791	349	0.673	0.273	0.682	0.277
1734073	40		Fixation	233	785	347	788	350	0.673	0.273	0.678	0.279
