RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (ADCSpx)	FixationPointY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)
1906501			Unclassified	200								
1906534			Unclassified	200								
1906567			Unclassified	200								
1906601			Unclassified	200								
1906634			Unclassified	200								
1906667			Unclassified	200								
1906701			Unclassified	33			715	357			0.567	0.319
1906734		64	Saccade	100			730	371			0.600	0.358
1906767		64	Saccade	100			721	356			0.580	0.316
1906801		64	Saccade	100			728	369			0.595	0.353
1906834	36		Fixation	100	725	366	728	368	0.589	0.344	0.595	0.350
1906867	36		Fixation	100	725	366			0.589	0.344		
1906901	36		Fixation	100	725	366	722	363	0.589	0.344	0.582	0.336
1906934		65	Saccade	33			716	558			0.576	0.887
1906967			Unclassified	633								
1907001			Unclassified	633								
1907034			Unclassified	633								
1907067			Unclassified	633								
1907101			Unclassified	633								
1907134			Unclassified	633								
1907167			Unclassified	633								
1907201			Unclassified	633								
1907234			Unclassified	633								
1907267			Unclassified	633								
1907301			Unclassified	633								
1907334			Unclassified	633								
1907367			Unclassified	633								
1907401			Unclassified	633								
1907434			Unclassified	633								
1907467			Unclassified	633								
1907501			Unclassified	633								
1907534			Unclassified	633								
1907567			Unclassified	633								
1907601			Unclassified	33			682	384			0.498	0.397
1907634			Unclassified	100								
1907667			Unclassified	100								
1907701			Unclassified	100								
1907734			Unclassified	33			575	440			0.273	0.560
1907767		66	Saccade	233								
1907801		66	Saccade	233			538	438			0.195	0.556
1907834		66	Saccade	233								
1907867		66	Saccade	233								
1907901		66	Saccade	233			728	483			0.599	0.674
1907934		66	Saccade	233			760	517			0.668	0.769
1907967		66	Saccade	233			737	451			0.617	0.584
1908001	37		Fixation	67	731	458	734	455	0.605	0.604	0.611	0.595
1908034	37		Fixation	67	731	458	728	460	0.605	0.604	0.598	0.609
1908067		67	Saccade	100								
1908101		67	Saccade	100			639	585			0.414	0.966
1908134		67	Saccade	100			643	575			0.422	0.938
1908167	38		Fixation	100	646	571	646	576	0.428	0.926	0.428	0.941
1908201	38		Fixation	100	646	571	643	566	0.428	0.926	0.422	0.912
1908234	38		Fixation	100	646	571	648	572	0.428	0.926	0.432	0.929
1908267		68	Saccade	33			640	577			0.416	0.944
1908301			Unclassified	33			639	580			0.414	0.952
1908334		69	Saccade	100			646	633			0.430	1.102
1908367		69	Saccade	100								
1908401		69	Saccade	100			805	561			0.765	0.891
1908434	39		Fixation	333	802	544	808	557	0.758	0.843	0.771	0.880
1908467	39		Fixation	333	802	544	814	555	0.758	0.843	0.784	0.874
1908501	39		Fixation	333	802	544	809	545	0.758	0.843	0.773	0.846
1908534	39		Fixation	333	802	544	806	542	0.758	0.843	0.766	0.838
1908567	39		Fixation	333	802	544	797	538	0.758	0.843	0.747	0.827
1908601	39		Fixation	333	802	544	799	538	0.758	0.843	0.751	0.827
1908634	39		Fixation	333	802	544	800	538	0.758	0.843	0.754	0.826
1908667	39		Fixation	333	802	544			0.758	0.843		
1908701	39		Fixation	333	802	544	798	541	0.758	0.843	0.749	0.835
1908734	39		Fixation	333	802	544	790	546	0.758	0.843	0.733	0.850
1908767		70	Saccade	100			819	573			0.795	0.924
1908801		70	Saccade	100			619	563			0.371	0.905
1908834		70	Saccade	100			619	544			0.370	0.851
1908867	40		Fixation	233	607	548	613	545	0.345	0.863	0.357	0.855
1908901	40		Fixation	233	607	548	608	547	0.345	0.863	0.347	0.860
1908934	40		Fixation	233	607	548	611	549	0.345	0.863	0.353	0.866
1908967	40		Fixation	233	607	548			0.345	0.863		
1909001	40		Fixation	233	607	548	603	546	0.345	0.863	0.336	0.858
1909034	40		Fixation	233	607	548	603	551	0.345	0.863	0.336	0.872
1909067	40		Fixation	233	607	548	606	550	0.345	0.863	0.343	0.869
1909101		71	Saccade	33			613	545			0.357	0.855
1909134	41		Fixation	133	613	544	613	541	0.357	0.852	0.357	0.843
1909167	41		Fixation	133	613	544	615	545	0.357	0.852	0.362	0.854
1909201	41		Fixation	133	613	544	613	546	0.357	0.852	0.357	0.857
1909234	41		Fixation	133	613	544	611	546	0.357	0.852	0.353	0.857
1909267		72	Saccade	67			590	539			0.308	0.839
1909301		72	Saccade	67			543	691			0.214	1.270
1909334			Unclassified	167								
1909367			Unclassified	167								
1909401			Unclassified	167								
1909434			Unclassified	167								
1909467			Unclassified	167								
1909501			Unclassified	33			500	546			0.118	0.862
