RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (ADCSpx)	FixationPointY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)
1910027	4639		Fixation	167	657	456	661	448	0.428	0.586	0.435	0.563
1910060	4639		Fixation	167	657	456	662	456	0.428	0.586	0.438	0.585
1910093	4639		Fixation	167	657	456	659	460	0.428	0.586	0.432	0.597
1910127	4639		Fixation	167	657	456	655	461	0.428	0.586	0.424	0.601
1910160	4639		Fixation	167	657	456	650	454	0.428	0.586	0.412	0.581
1910193		5992	Saccade	33			652	443			0.416	0.549
1910227	4640		Fixation	133	666	447	658	442	0.446	0.559	0.429	0.546
1910260	4640		Fixation	133	666	447	666	446	0.446	0.559	0.446	0.556
1910293	4640		Fixation	133	666	447	667	450	0.446	0.559	0.449	0.568
1910327	4640		Fixation	133	666	447	674	449	0.446	0.559	0.464	0.564
1910360		5993	Saccade	33			677	441			0.469	0.541
1910393			Unclassified	33			679	433			0.473	0.517
1910427		5994	Saccade	33			688	429			0.492	0.505
1910460	4641		Fixation	67	699	431	696	429	0.516	0.509	0.509	0.504
1910493	4641		Fixation	67	699	431	702	433	0.516	0.509	0.523	0.515
1910527		5995	Saccade	33			676	447			0.468	0.558
1910560	4642		Fixation	67	675	450	674	450	0.466	0.567	0.464	0.567
1910593	4642		Fixation	67	675	450	676	450	0.466	0.567	0.468	0.567
1910627		5996	Saccade	33			686	447			0.489	0.557
1910660			Unclassified	33			693	446			0.504	0.553
1910693		5997	Saccade	100			699	457			0.518	0.584
1910727		5997	Saccade	100			655	296			0.410	0.126
1910760		5997	Saccade	100			661	304			0.423	0.148
1910793	4643		Fixation	133	664	296	663	302	0.429	0.125	0.427	0.142
1910827	4643		Fixation	133	664	296	666	297	0.429	0.125	0.433	0.128
1910860	4643		Fixation	133	664	296	664	293	0.429	0.125	0.429	0.116
1910893	4643		Fixation	133	664	296	664	292	0.429	0.125	0.429	0.113
1910927		5998	Saccade	33			665	302			0.432	0.142
1910960	4644		Fixation	100	662	305	662	304	0.426	0.151	0.425	0.148
1910993	4644		Fixation	100	662	305	661	306	0.426	0.151	0.423	0.154
1911027	4644		Fixation	100	662	305	663	306	0.426	0.151	0.428	0.154
1911060		5999	Saccade	67			678	289			0.459	0.103
1911093		5999	Saccade	67			674	437			0.463	0.529
1911127	4645		Fixation	200	672	437	674	434	0.458	0.530	0.462	0.521
1911160	4645		Fixation	200	672	437	675	443	0.458	0.530	0.465	0.547
1911193	4645		Fixation	200	672	437	679	442	0.458	0.530	0.474	0.543
1911227	4645		Fixation	200	672	437	673	439	0.458	0.530	0.461	0.535
1911260	4645		Fixation	200	672	437	666	433	0.458	0.530	0.445	0.519
1911293	4645		Fixation	200	672	437	666	428	0.458	0.530	0.445	0.504
1911327		6000	Saccade	33			627	435			0.361	0.529
1911360			Unclassified	100								
1911393			Unclassified	100								
1911427			Unclassified	100								
1911460			Unclassified	33			551	542			0.206	0.846
1911493		6001	Saccade	33			607	448			0.319	0.569
1911527	4646		Fixation	300	615	449	602	441	0.336	0.571	0.308	0.549
1911560	4646		Fixation	300	615	449	614	444	0.336	0.571	0.334	0.556
1911593	4646		Fixation	300	615	449	621	449	0.336	0.571	0.349	0.570
1911627	4646		Fixation	300	615	449	619	454	0.336	0.571	0.346	0.585
1911660	4646		Fixation	300	615	449	614	453	0.336	0.571	0.335	0.582
1911693	4646		Fixation	300	615	449	613	451	0.336	0.571	0.332	0.577
1911727	4646		Fixation	300	615	449	615	447	0.336	0.571	0.336	0.565
1911760	4646		Fixation	300	615	449	620	450	0.336	0.571	0.347	0.573
1911793	4646		Fixation	300	615	449	618	456	0.336	0.571	0.344	0.590
1911827		6002	Saccade	33			550	480			0.199	0.667
1911860	4647		Fixation	167	556	479	555	481	0.212	0.664	0.210	0.670
1911893	4647		Fixation	167	556	479	551	476	0.212	0.664	0.201	0.656
1911927	4647		Fixation	167	556	479	552	476	0.212	0.664	0.203	0.656
1911960	4647		Fixation	167	556	479	557	479	0.212	0.664	0.214	0.664
1911993	4647		Fixation	167	556	479	567	482	0.212	0.664	0.236	0.671
1912027		6003	Saccade	67			546	479			0.190	0.665
1912060		6003	Saccade	67			648	443			0.407	0.550
1912093	4648		Fixation	233	660	447	648	447	0.433	0.560	0.407	0.561
1912127	4648		Fixation	233	660	447	647	448	0.433	0.560	0.405	0.564
1912160	4648		Fixation	233	660	447	659	449	0.433	0.560	0.431	0.566
1912193	4648		Fixation	233	660	447	662	447	0.433	0.560	0.438	0.560
1912227	4648		Fixation	233	660	447	667	449	0.433	0.560	0.449	0.565
1912260	4648		Fixation	233	660	447	669	443	0.433	0.560	0.452	0.547
1912293	4648		Fixation	233	660	447	668	446	0.433	0.560	0.450	0.556
1912327		6004	Saccade	133			649	364			0.403	0.322
1912360		6004	Saccade	133			646	324			0.393	0.208
1912393		6004	Saccade	133			659	314			0.420	0.177
1912427		6004	Saccade	133			670	304			0.443	0.147
1912460			Unclassified	33			668	298			0.438	0.130
1912493		6005	Saccade	33			657	301			0.414	0.140
1912527	4649		Fixation	333	673	310	666	305	0.450	0.164	0.434	0.151
1912560	4649		Fixation	333	673	310	672	306	0.450	0.164	0.447	0.153
1912593	4649		Fixation	333	673	310	676	308	0.450	0.164	0.456	0.158
1912627	4649		Fixation	333	673	310	673	311	0.450	0.164	0.450	0.167
1912660	4649		Fixation	333	673	310	675	309	0.450	0.164	0.454	0.161
1912693	4649		Fixation	333	673	310	676	311	0.450	0.164	0.456	0.167
1912727	4649		Fixation	333	673	310	680	313	0.450	0.164	0.465	0.172
1912760	4649		Fixation	333	673	310	672	313	0.450	0.164	0.448	0.173
1912793	4649		Fixation	333	673	310	669	315	0.450	0.164	0.441	0.179
1912827	4649		Fixation	333	673	310	667	314	0.450	0.164	0.437	0.176
1912860		6006	Saccade	67			655	373			0.416	0.347
1912893		6006	Saccade	67			633	396			0.371	0.416
1912927	4650		Fixation	100	616	390	624	393	0.334	0.401	0.351	0.409
1912960	4650		Fixation	100	616	390	617	391	0.334	0.401	0.336	0.404
1912993	4650		Fixation	100	616	390	608	387	0.334	0.401	0.316	0.393
1913027		6007	Saccade	33			649	396			0.405	0.414
1913060			Unclassified	100								
1913093			Unclassified	100								
1913127			Unclassified	100								
1913160			Unclassified	33			657	413			0.424	0.462
1913193		6008	Saccade	67			618	397			0.339	0.421
1913227		6008	Saccade	67			603	405			0.307	0.446
1913260	4651		Fixation	100	596	402	597	400	0.292	0.438	0.294	0.432
1913293	4651		Fixation	100	596	402	596	404	0.292	0.438	0.292	0.443
1913327	4651		Fixation	100	596	402	595	401	0.292	0.438	0.289	0.435
1913360		6009	Saccade	67			615	391			0.332	0.404
1913393		6009	Saccade	67			655	379			0.417	0.365
1913427	4652		Fixation	367	661	400	657	378	0.431	0.424	0.421	0.362
1913460	4652		Fixation	367	661	400	661	386	0.431	0.424	0.430	0.384
1913493	4652		Fixation	367	661	400	665	395	0.431	0.424	0.440	0.410
1913527	4652		Fixation	367	661	400	671	398	0.431	0.424	0.453	0.418
1913560	4652		Fixation	367	661	400	667	402	0.431	0.424	0.445	0.430
1913593	4652		Fixation	367	661	400	666	402	0.431	0.424	0.442	0.430
1913627	4652		Fixation	367	661	400	666	405	0.431	0.424	0.443	0.438
1913660	4652		Fixation	367	661	400	659	405	0.431	0.424	0.428	0.439
1913693	4652		Fixation	367	661	400	657	406	0.431	0.424	0.423	0.442
1913727	4652		Fixation	367	661	400	654	407	0.431	0.424	0.417	0.445
1913760	4652		Fixation	367	661	400	650	410	0.431	0.424	0.409	0.454
1913793		6010	Saccade	33			658	402			0.425	0.431
