RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (ADCSpx)	FixationPointY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)
1906481	37		Fixation	467	713	315	714	313	0.554	0.244	0.556	0.238
1906514	37		Fixation	467	713	315	714	316	0.554	0.244	0.557	0.246
1906547	37		Fixation	467	713	315	714	316	0.554	0.244	0.557	0.246
1906581	37		Fixation	467	713	315	713	317	0.554	0.244	0.555	0.249
1906614	37		Fixation	467	713	315	713	317	0.554	0.244	0.555	0.249
1906647	37		Fixation	467	713	315	710	317	0.554	0.244	0.548	0.250
1906681	37		Fixation	467	713	315	707	317	0.554	0.244	0.542	0.250
1906714	37		Fixation	467	713	315	708	315	0.554	0.244	0.544	0.244
1906747		48	Saccade	33			675	441			0.485	0.600
1906781	38		Fixation	100	665	439	669	442	0.464	0.596	0.473	0.604
1906814	38		Fixation	100	665	439	669	440	0.464	0.596	0.472	0.598
1906847	38		Fixation	100	665	439	657	435	0.464	0.596	0.447	0.585
1906881			Unclassified	100								
1906914			Unclassified	100								
1906947			Unclassified	100								
1906981			Unclassified	33			635	563			0.411	0.946
1907014		49	Saccade	67			642	459			0.417	0.654
1907047		49	Saccade	67			639	428			0.408	0.568
1907081	39		Fixation	100	640	416	639	420	0.410	0.534	0.408	0.546
1907114	39		Fixation	100	640	416	639	417	0.410	0.534	0.408	0.537
1907147	39		Fixation	100	640	416	641	410	0.410	0.534	0.411	0.517
1907181		50	Saccade	33			629	386			0.384	0.452
1907214			Unclassified	50			632	384			0.390	0.446
1907247			Unclassified	50			631	382			0.388	0.440
1907314			Unclassified	17			632	385			0.390	0.449
1907347	40		Fixation	100	635	387	635	385	0.397	0.454	0.397	0.448
1907381	40		Fixation	100	635	387	633	386	0.397	0.454	0.392	0.451
1907414	40		Fixation	100	635	387	636	391	0.397	0.454	0.399	0.465
1907447		51	Saccade	33			717	355			0.566	0.355
1907481	41		Fixation	233	704	358	702	355	0.539	0.365	0.535	0.357
1907514	41		Fixation	233	704	358	703	355	0.539	0.365	0.537	0.357
1907547	41		Fixation	233	704	358	703	357	0.539	0.365	0.537	0.362
1907581	41		Fixation	233	704	358	705	359	0.539	0.365	0.541	0.368
1907614	41		Fixation	233	704	358	707	359	0.539	0.365	0.545	0.367
1907647	41		Fixation	233	704	358	705	361	0.539	0.365	0.541	0.373
1907681	41		Fixation	233	704	358	702	361	0.539	0.365	0.535	0.373
1907714		52	Saccade	67			723	364			0.579	0.379
1907747		52	Saccade	67			592	378			0.306	0.433
1907781	42		Fixation	100	596	376	593	376	0.314	0.427	0.308	0.428
1907814	42		Fixation	100	596	376	596	375	0.314	0.427	0.314	0.425
1907847	42		Fixation	100	596	376	599	377	0.314	0.427	0.320	0.430
1907881		53	Saccade	33			578	378			0.276	0.435
1907914			Unclassified	100								
1907947			Unclassified	100								
1907981			Unclassified	100								
1908014			Unclassified	33			702	528			0.549	0.840
1908047		54	Saccade	33			701	512			0.546	0.796
1908081	43		Fixation	200	688	509	703	511	0.518	0.789	0.550	0.793
1908114	43		Fixation	200	688	509	701	509	0.518	0.789	0.545	0.787
1908147	43		Fixation	200	688	509	695	509	0.518	0.789	0.533	0.788
1908181	43		Fixation	200	688	509	687	511	0.518	0.789	0.516	0.795
1908214	43		Fixation	200	688	509	674	510	0.518	0.789	0.489	0.793
