filename,length,delay,skip
pororo_s03p01_jhkim,1728406,2530,0
pororo_s03p02_jhkim,4070866,-1716906,11500
pororo_s03p01_kwon,4070866,5033,0
pororo_s03p01_jhryu,1906481,4500,0
pororo_s03p01_bjlee,4070866,-1906,0
pororo_s03p01_yrseo,1906374,4340,0
pororo_s03p01_mhseo,1906494,7700,0
pororo_s03p01_cylee,4070866,5780,0
pororo_s03p01_yhlee,4070866,15660,0
pororo_s03p01_jhlee,1908501,4220,0
pororo_s03p01_swlee,1906427,4460,0
pororo_s03p01_dsbaek,1906494,4140,0
pororo_s03p01_jkim,1906481,7220,0
pororo_s03p02_yrseo,4070866,-1893574,12800
pororo_s03p01_yspark,1906481,2700,0
pororo_s03p02_mhseo,4070866,-1892494,14000
pororo_s03p01_cekim,1906474,4540,0
pororo_s03p02_bjlee,4070866,-1890934,15440
pororo_s03p02_yhlee,4070866,-1900574,-1
pororo_s03p02_jhlee,4070866,-1890134,18360
pororo_s03p01_hhkim,1906454,10300,0
pororo_s03p01_sbryu,1906474,2900,0
pororo_s03p01_kwpark,4070866,5140,0
pororo_s03p02_swlee,4070866,-1889094,17320
pororo_s03p02_dsbaek,4070866,-1890894,15600
pororo_s03p02_sbryu,4070866,-1890974,15480
pororo_s03p02_yspark,4070866,-1892214,14240
pororo_s03p02_hhkim,4070866,-1892054,14400
pororo_s03p02_jhryu,4070866,-1892814,13640
pororo_s03p02_cekim,4070866,-1892174,14280
pororo_s03p02_jkim,4070866,-1879214,27240
pororo_s03p01_eskim,1906427,66060,0
pororo_s03p02_kwon,4070866,-1786014,120520
pororo_s03p02_eskim,4070866,-1882094,24320
pororo_s03p02_cylee,4070866,-1838494,68040
