filename	leftTopX	leftTopY	rightTopX	rightTopY	rightBottomX	rightBottomY	leftBottomX	leftBottomY
pororo_s03p01_jhkim	159	158	1120	178	1080	700	175	686
pororo_s03p02_jhkim	248	206	1108	222	1091	704	245	679
pororo_s03p01_kwon	318	243	1053	229	1046	638	335	632
pororo_s03p01_jhryu	196	149	1094	173	1056	670	204	633
pororo_s03p01_bjlee	285	216	994	258	960	251	269	609
pororo_s03p01_yrseo	336	248	1058	259	1043	667	334	647
pororo_s03p01_mhseo	308	205	1097	204	1074	640	313	631
pororo_s03p01_cylee	382	273	1066	292	1044	677	376	639
pororo_s03p01_yhlee	247	276	985	299	969	710	242	683
pororo_s03p01_jhlee	413	204	1050	193	1044	551	420	546
pororo_s03p01_swlee	214	197	993	176	989	610	237	616
pororo_s03p01_dsbaek	234	204	1011	197	1001	626	250	626
pororo_s03p01_jkim	270	195	908	216	891	571	265	546
pororo_s03p02_yrseo	288	298	921	301	919	651	291	650
pororo_s03p01_yspark	393	225	1051	252	1026	620	381	582
pororo_s03p02_mhseo	281	195	1031	224	1003	642	275	602
pororo_s03p01_cekim	310	283	933	296	924	649	303	627
pororo_s03p02_bjlee	380	259	1024	297	993	662	362	609
pororo_s03p02_yhlee	311	249	951	269	935	624	307	602
pororo_s03p02_jhlee	366	242	1004	245	994	606	365	589
pororo_s03p01_hhkim	410	247	1035	266	1018	621	399	588
pororo_s03p01_sbryu	251	236	868	239	864	579	256	579
pororo_s03p01_kwpark	384	245	1013	263	993	617	377	585
pororo_s03p02_swlee	325	219	982	192	984	559	347	575
pororo_s03p02_dsbaek	358	207	996	189	993	546	376	551
pororo_s03p02_sbryu	337	288	943	273	949	615	344	623
pororo_s03p02_yspark	367	217	1014	237	992	600	361	568
pororo_s03p02_hhkim	338	233	973	220	973	576	347	579
pororo_s03p02_jhryu	385	284	1018	322	991	680	366	627
pororo_s03p02_cekim	348	308	967	339	947	692	328	649
pororo_s03p02_jkim	359	209	1015	215	997	584	361	559
pororo_s03p01_eskim	328	203	1043	192	1036	593	340	590
pororo_s03p01_eskim_170	328	203	1043	192	1036	593	340	590
pororo_s03p02_kwon	348	237	1041	244	1026	632	349	612
