pid,regtime,L_1,L_2,L_3,L_4,L_5,L_6,L_7,L_8,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,C_1,C_2,C_3,C_4
hhkim,2014-08-03 15:47:29,2,5,5,1,5,1,2,1,1,4,5,5,1,4,5,1,5,2,2,3
jkim,2014-08-04 11:59:07,1,3,5,5,4,2,5,4,5,5,4,4,5,5,5,5,1,1,2,1
swlee,2014-08-04 12:16:27,3,2,2,5,4,5,4,4,4,5,5,4,4,4,4,5,4,3,2,1
jhryu,2014-08-04 14:35:00,5,5,4,5,5,5,5,1,5,4,5,4,1,5,5,5,1,1,1,1
dsbaek,2014-08-04 14:42:46,5,5,4,5,4,5,5,5,1,3,3,4,2,3,5,5,1,5,3,1
kwpark,2014-08-04 15:57:45,1,4,3,1,4,3,5,4,4,4,3,5,3,4,3,1,4,2,1,1
yspark,2014-08-04 16:24:55,5,5,5,2,5,4,2,2,5,2,5,5,5,5,5,5,5,1,1,2
mhseo,2014-08-06 11:48:05,5,5,5,5,1,5,2,2,5,5,4,4,5,3,5,5,1,1,1,2
yhlee,2014-08-05 12:28:08,4,5,1,5,4,5,3,5,4,1,4,2,5,5,5,4,1,1,3,1
jhlee,2014-08-05 12:32:00,5,5,5,5,5,3,5,5,3,1,1,3,5,5,5,5,1,1,5,3
cekim,2014-08-07 14:12:26,4,5,4,4,5,5,4,5,5,5,5,4,5,5,5,5,3,2,2,1
