RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	
0			Unclassified	17			520	333	
33		1	Saccade	67			515	324	
67		1	Saccade	67			519	334	
100	1		Fixation	133	521	332	519	331	
133	1		Fixation	133	521	332	519	334	
167	1		Fixation	133	521	332	526	330	
200	1		Fixation	133	521	332	520	332	
233		2	Saccade	133			513	337	
267		2	Saccade	133			515	329	
300		2	Saccade	133			526	331	
333		2	Saccade	133			518	335	
367	2		Fixation	133	517	334	515	330	
400	2		Fixation	133	517	334	517	335	
433	2		Fixation	133	517	334	517	336	
467	2		Fixation	133	517	334	518	333	
500		3	Saccade	33			517	339	
533	3		Fixation	133	521	335	518	334	
567	3		Fixation	133	521	335	519	336	
600	3		Fixation	133	521	335	523	335	
633	3		Fixation	133	521	335	524	334	
667		4	Saccade	33			483	333	
700			Unclassified	133					
733			Unclassified	133					
767			Unclassified	133					
800			Unclassified	133					
833			Unclassified	33			534	558	
867			Unclassified	33			541	572	
900		5	Saccade	33			550	569	
933	4		Fixation	117	564	572	553	570	
967	4		Fixation	117	564	572	564	575	
1000	4		Fixation	117	564	572	568	575	
1033	4		Fixation	117	564	572	570	568	
1100			Unclassified	17			565	448	
1133		6	Saccade	33			551	444	
1167			Unclassified	17			555	440	
1233			Unclassified	17			568	331	
1267			Unclassified	33			576	335	
1300		7	Saccade	17			586	336	
1367			Unclassified	17			593	344	
1400		8	Saccade	50			597	351	
1433		8	Saccade	50			567	433	
1500			Unclassified	17			562	518	
1533		9	Saccade	33			557	528	
1567			Unclassified	17			562	538	
1633			Unclassified	17			576	538	
1667			Unclassified	33			581	541	
1700		10	Saccade	33			600	468	
1733	5		Fixation	167	600	466	603	469	
1767	5		Fixation	167	600	466	601	468	
1800	5		Fixation	167	600	466	603	466	
1833	5		Fixation	167	600	466	598	462	
1867	5		Fixation	167	600	466	598	466	
1900		11	Saccade	67			668	474	
1933		11	Saccade	67			731	447	
1967	6		Fixation	133	742	461	744	457	
2000	6		Fixation	133	742	461	745	459	
2033	6		Fixation	133	742	461	740	464	
2067	6		Fixation	133	742	461	740	464	
2100		12	Saccade	67			588	406	
2133		12	Saccade	67			555	455	
2167			Unclassified	33			560	464	
