RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	
0			Unclassified	17			511	402	
33		1	Saccade	67			444	436	
67		1	Saccade	67			477	446	
100			Unclassified	17					
167			Unclassified	17			489	439	
200		2	Saccade	167			476	449	
233		2	Saccade	167			468	443	
267		2	Saccade	167			479	447	
300		2	Saccade	167			493	437	
333		2	Saccade	167			475	449	
367	1		Fixation	67	474	451	473	452	
400	1		Fixation	67	474	451	476	451	
433		3	Saccade	67			511	416	
467		3	Saccade	67			502	422	
500	2		Fixation	233	504	415	499	417	
533	2		Fixation	233	504	415	502	418	
567	2		Fixation	233	504	415	503	416	
600	2		Fixation	233	504	415	509	418	
633	2		Fixation	233	504	415	505	413	
667	2		Fixation	233	504	415	505	412	
700	2		Fixation	233	504	415	502	411	
733		4	Saccade	67			539	404	
767		4	Saccade	67			612	347	
800	3		Fixation	100	619	353	615	350	
833	3		Fixation	100	619	353	622	353	
867	3		Fixation	100	619	353	618	356	
900		5	Saccade	33			601	361	
933			Unclassified	167					
967			Unclassified	167					
1000			Unclassified	167					
1033			Unclassified	167					
1067			Unclassified	167					
1100			Unclassified	33			481	452	
1133		6	Saccade	67			483	398	
1167		6	Saccade	67			493	394	
1200			Unclassified	33			496	396	
1233		7	Saccade	33			506	398	
1267	4		Fixation	67	504	393	506	393	
1300	4		Fixation	67	504	393	503	392	
1333		8	Saccade	67			478	426	
1367		8	Saccade	67			484	422	
1400	5		Fixation	500	485	429	489	423	
1433	5		Fixation	500	485	429	486	421	
1467	5		Fixation	500	485	429	485	422	
1500	5		Fixation	500	485	429	485	423	
1533	5		Fixation	500	485	429	484	425	
1567	5		Fixation	500	485	429	486	425	
1600	5		Fixation	500	485	429	490	431	
1633	5		Fixation	500	485	429	486	429	
1667	5		Fixation	500	485	429	488	432	
1700	5		Fixation	500	485	429	483	433	
1733	5		Fixation	500	485	429	481	432	
1767	5		Fixation	500	485	429	483	433	
1800	5		Fixation	500	485	429	485	434	
1833	5		Fixation	500	485	429	486	438	
1867	5		Fixation	500	485	429	483	438	
1900		9	Saccade	67			518	401	
1933		9	Saccade	67			631	378	
1967	6		Fixation	300	631	383	628	379	
2000	6		Fixation	300	631	383	632	383	
2033	6		Fixation	300	631	383	628	381	
2067	6		Fixation	300	631	383	626	379	
2100	6		Fixation	300	631	383	631	386	
2133	6		Fixation	300	631	383	632	386	
2167	6		Fixation	300	631	383	632	385	
2200	6		Fixation	300	631	383	633	386	
2233	6		Fixation	300	631	383	637	385	
2267		10	Saccade	67					
2300		10	Saccade	67			541	440	
2333	7		Fixation	67	543	444	540	442	
2367	7		Fixation	67	543	444	546	446	
2400		11	Saccade	33			534	439	
2433	8		Fixation	67	532	441	532	441	
2467	8		Fixation	67	532	441	531	441	
2500		12	Saccade	33			523	432	
2533			Unclassified	200					
2567			Unclassified	200					
2600			Unclassified	200					
2633			Unclassified	200					
2667			Unclassified	200					
2700			Unclassified	200					
2733			Unclassified	33			491	435	
2767		13	Saccade	33			469	432	
2800	9		Fixation	200	482	433			
2833	9		Fixation	200	482	433	480	435	
2867	9		Fixation	200	482	433	480	433	
2900	9		Fixation	200	482	433	484	431	
2933	9		Fixation	200	482	433	486	431	
2967	9		Fixation	200	482	433	488	432	
3000		14	Saccade	100			481	432	
3033		14	Saccade	100			569	379	
3067		14	Saccade	100			552	382	
3100	10		Fixation	233	558	388	556	385	
3133	10		Fixation	233	558	388	559	385	
3167	10		Fixation	233	558	388	554	386	
3200	10		Fixation	233	558	388	555	386	
