RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	
0			Unclassified	17			669	518	
33	1		Fixation	267	668	520	669	519	
67	1		Fixation	267	668	520	663	523	
100	1		Fixation	267	668	520	664	521	
133	1		Fixation	267	668	520	670	515	
167	1		Fixation	267	668	520	661	517	
200	1		Fixation	267	668	520	674	520	
233	1		Fixation	267	668	520	663	521	
267	1		Fixation	267	668	520	677	527	
300		1	Saccade	33			698	534	
333	2		Fixation	700	684	524	683	524	
367	2		Fixation	700	684	524	682	525	
400	2		Fixation	700	684	524	681	522	
433	2		Fixation	700	684	524	681	522	
467	2		Fixation	700	684	524	681	523	
500	2		Fixation	700	684	524	684	527	
533	2		Fixation	700	684	524	684	526	
567	2		Fixation	700	684	524	684	525	
600	2		Fixation	700	684	524	687	527	
633	2		Fixation	700	684	524	685	525	
667	2		Fixation	700	684	524	684	526	
700	2		Fixation	700	684	524	683	524	
733	2		Fixation	700	684	524	682	521	
767	2		Fixation	700	684	524	685	523	
800	2		Fixation	700	684	524	681	522	
833	2		Fixation	700	684	524	682	521	
867	2		Fixation	700	684	524	683	520	
900	2		Fixation	700	684	524	686	523	
933	2		Fixation	700	684	524	689	524	
967	2		Fixation	700	684	524	689	522	
1000	2		Fixation	700	684	524	686	521	
1033		2	Saccade	67			695	425	
1067		2	Saccade	67			697	436	
1100	3		Fixation	233	700	434	694	434	
1133	3		Fixation	233	700	434	698	435	
1167	3		Fixation	233	700	434	699	435	
1200	3		Fixation	233	700	434	700	435	
1233	3		Fixation	233	700	434	703	435	
1267	3		Fixation	233	700	434	701	433	
1300	3		Fixation	233	700	434	702	433	
1333		3	Saccade	33			690	448	
1367			Unclassified	167					
1400			Unclassified	167					
1433			Unclassified	167					
1467			Unclassified	167					
1500			Unclassified	167					
1533			Unclassified	33			692	478	
1567		4	Saccade	33			687	466	
1600	4		Fixation	300	700	471	686	457	
1633	4		Fixation	300	700	471	689	464	
1667	4		Fixation	300	700	471	696	466	
1700	4		Fixation	300	700	471	699	469	
