RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	
0			Unclassified	50					
33			Unclassified	50					
67			Unclassified	33			623	567	
100		1	Saccade	100			646	386	
133		1	Saccade	100			648	367	
167		1	Saccade	100			663	368	
200			Unclassified	33			669	375	
233		2	Saccade	33			668	391	
267	1		Fixation	67	672	388	674	391	
300	1		Fixation	67	672	388	670	386	
333		3	Saccade	67			649	398	
367		3	Saccade	67			650	388	
400			Unclassified	100					
433			Unclassified	100					
467			Unclassified	100					
500			Unclassified	33			658	458	
533		4	Saccade	67			635	410	
567		4	Saccade	67			619	410	
600	2		Fixation	67	617	406	617	408	
633	2		Fixation	67	617	406	617	404	
667		5	Saccade	100			623	400	
700		5	Saccade	100			559	439	
733		5	Saccade	100			571	429	
767	3		Fixation	67	571	429	571	428	
800	3		Fixation	67	571	429	571	431	
833		6	Saccade	33			558	429	
867			Unclassified	167					
900			Unclassified	167					
933			Unclassified	167					
967			Unclassified	167					
1000			Unclassified	167					
1033			Unclassified	33			564	436	
1067			Unclassified	33			568	436	
1100		7	Saccade	33			580	429	
1133	4		Fixation	100	590	432	587	432	
1167	4		Fixation	100	590	432	590	431	
1200	4		Fixation	100	590	432	595	434	
1233		8	Saccade	33			581	435	
1267			Unclassified	167					
1300			Unclassified	167					
1333			Unclassified	167					
1367			Unclassified	167					
1400			Unclassified	167					
1433			Unclassified	33			618	437	
1467		9	Saccade	67			619	427	
1500		9	Saccade	67			622	416	
1533	5		Fixation	67	624	422	622	424	
1567	5		Fixation	67	624	422	626	421	
1600		10	Saccade	33			636	412	
1633	6		Fixation	67	634	408	634	408	
1667	6		Fixation	67	634	408	634	407	
1700		11	Saccade	33			706	490	
1733			Unclassified	133					
1767			Unclassified	133					
1800			Unclassified	133					
1833			Unclassified	133					
1867			Unclassified	33			628	472	
1900		12	Saccade	33			637	420	
1933	7		Fixation	167	652	415	641	414	
1967	7		Fixation	167	652	415	649	419	
2000	7		Fixation	167	652	415	652	418	
2033	7		Fixation	167	652	415	658	415	
2067	7		Fixation	167	652	415	659	407	
2100			Unclassified	467					
2133			Unclassified	467					
2167			Unclassified	467					
2200			Unclassified	467					
2233			Unclassified	467					
2267			Unclassified	467					
2300			Unclassified	467					
2333			Unclassified	467					
2367			Unclassified	467					
2400			Unclassified	467					
2433			Unclassified	467					
2467			Unclassified	467					
2500			Unclassified	467					
2533			Unclassified	467					
2567			Unclassified	33			584	1047	
2600	8		Fixation	433			576	1048	
2633	8		Fixation	433			581	1051	
2667	8		Fixation	433			580	1051	
2700	8		Fixation	433			586	1053	
2733	8		Fixation	433			580	1054	
2767	8		Fixation	433			578	1052	
2800	8		Fixation	433			587	1056	
2833	8		Fixation	433			600	1052	
2867	8		Fixation	433			601	1053	
2900	8		Fixation	433			603	1056	
2933	8		Fixation	433			603	1054	
2967	8		Fixation	433			593	1052	
3000	8		Fixation	433			596	1048	
3033		13	Saccade	33			571	1045	
3067			Unclassified	167					
3100			Unclassified	167					
3133			Unclassified	167					
3167			Unclassified	167					
3200			Unclassified	167					
3233			Unclassified	33			523	531	
3267	9		Fixation	67	520	524	520	526	
3300	9		Fixation	67	520	524	521	521	
3333		14	Saccade	133			528	513	
3367		14	Saccade	133			518	502	
3400		14	Saccade	133			498	495	
3433		14	Saccade	133			603	607	
3467	10		Fixation	167	609	604	610	602	
3500	10		Fixation	167	609	604	611	603	
3533	10		Fixation	167	609	604	610	607	
3567	10		Fixation	167	609	604	606	606	
3600	10		Fixation	167	609	604	607	605	
3633		15	Saccade	33			604	623	
3667	11		Fixation	367	610	621	608	617	
3700	11		Fixation	367	610	621	612	610	
