RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	
0			Unclassified	17			562	394	
33	1		Fixation	67	558	391	556	387	
67	1		Fixation	67	558	391	561	394	
100		1	Saccade	133			562	385	
133		1	Saccade	133			561	393	
167		1	Saccade	133			554	380	
200		1	Saccade	133			564	385	
233			Unclassified	33			557	382	
267		2	Saccade	33			568	386	
300			Unclassified	33			562	387	
333		3	Saccade	33			561	375	
367	2		Fixation	67	559	373	559	375	
400	2		Fixation	67	559	373	559	371	
433		4	Saccade	33			560	378	
467	3		Fixation	300	564	371	565	377	
500	3		Fixation	300	564	371	561	373	
533	3		Fixation	300	564	371	565	370	
567	3		Fixation	300	564	371	562	367	
600	3		Fixation	300	564	371	567	369	
633	3		Fixation	300	564	371	564	367	
667	3		Fixation	300	564	371	565	367	
700	3		Fixation	300	564	371	563	374	
733	3		Fixation	300	564	371	563	371	
767		5	Saccade	33			561	378	
800	4		Fixation	133	561	375	562	375	
833	4		Fixation	133	561	375	559	376	
867	4		Fixation	133	561	375	562	376	
900	4		Fixation	133	561	375	559	374	
933		6	Saccade	33			565	370	
967	5		Fixation	367	561	370	561	372	
1000	5		Fixation	367	561	370	559	369	
1033	5		Fixation	367	561	370	560	372	
1067	5		Fixation	367	561	370	561	370	
1100	5		Fixation	367	561	370	556	367	
1133	5		Fixation	367	561	370	562	367	
1167	5		Fixation	367	561	370	560	367	
1200	5		Fixation	367	561	370	563	371	
1233	5		Fixation	367	561	370	562	370	
1267	5		Fixation	367	561	370	563	371	
1300	5		Fixation	367	561	370	560	371	
1333		7	Saccade	33			563	366	
1367	6		Fixation	300	564	366	560	365	
1400	6		Fixation	300	564	366	565	367	
1433	6		Fixation	300	564	366	562	365	
1467	6		Fixation	300	564	366	564	363	
1500	6		Fixation	300	564	366	563	367	
1533	6		Fixation	300	564	366	566	367	
1567	6		Fixation	300	564	366	565	368	
1600	6		Fixation	300	564	366	567	365	
1633	6		Fixation	300	564	366	567	366	
1667		8	Saccade	67			555	355	
1700		8	Saccade	67			542	321	
1733			Unclassified	100					
1767			Unclassified	100					
1800			Unclassified	100					
1833			Unclassified	33			494	293	
1867		9	Saccade	100			550	301	
1900		9	Saccade	100			555	323	
1933		9	Saccade	100			557	335	
1967			Unclassified	33			553	338	
2000		10	Saccade	33			561	328	
2033			Unclassified	33			559	328	
2067		11	Saccade	100			570	334	
2100		11	Saccade	100			567	328	
2133		11	Saccade	100			574	320	
2167	7		Fixation	100	569	322	567	320	
2200	7		Fixation	100	569	322	570	321	
2233	7		Fixation	100	569	322	570	324	
2267		12	Saccade	67			577	315	
2300		12	Saccade	67			574	322	
2333	8		Fixation	233	574	322	576	323	
2367	8		Fixation	233	574	322	571	323	
2400	8		Fixation	233	574	322	573	321	
2433	8		Fixation	233	574	322	576	324	
2467	8		Fixation	233	574	322	576	323	
2500	8		Fixation	233	574	322	573	321	
2533	8		Fixation	233	574	322	575	322	
2567		13	Saccade	300			582	314	
2600		13	Saccade	300			573	325	
2633		13	Saccade	300			595	156	
2667		13	Saccade	300			580	164	
2700		13	Saccade	300			588	171	
2733		13	Saccade	300			577	166	
2767		13	Saccade	300			584	159	
2800		13	Saccade	300			580	168	
2833		13	Saccade	300			584	161	
2867	9		Fixation	100	584	159	582	162	
2900	9		Fixation	100	584	159	588	157	
2933	9		Fixation	100	584	159	582	159	
2967		14	Saccade	33			593	147	
3000			Unclassified	33			584	151	
3033		15	Saccade	33			583	145	
3067			Unclassified	33			577	145	
