RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)
0			Unclassified	17			1111	341
33	1		Fixation	133	1117	347	1117	347
67	1		Fixation	133	1117	347	1120	350
100	1		Fixation	133	1117	347	1118	346
133	1		Fixation	133	1117	347	1114	346
167		1	Saccade	33			1099	410
200			Unclassified	117				
233			Unclassified	117				
267			Unclassified	117				
300			Unclassified	117				
367			Unclassified	0				
2100			Unclassified	0				
2167			Unclassified	0				
2233			Unclassified	0				
2300			Unclassified	0				
2367			Unclassified	0				
2433			Unclassified	0				
2500			Unclassified	0				
2567			Unclassified	0				
2633			Unclassified	0				
2700			Unclassified	0				
2767			Unclassified	0				
2833			Unclassified	67				
2867			Unclassified	67				
2900			Unclassified	67				
2967			Unclassified	67				
3000			Unclassified	67				
3033			Unclassified	67				
3100			Unclassified	67				
3133			Unclassified	67				
3167			Unclassified	67				
3233			Unclassified	950				
3267			Unclassified	950				
3300			Unclassified	950				
3333			Unclassified	950				
3367			Unclassified	950				
3400			Unclassified	950				
3433			Unclassified	950				
3467			Unclassified	950				
3500			Unclassified	950				
3533			Unclassified	950				
3567			Unclassified	950				
3600			Unclassified	950				
3633			Unclassified	950				
3667			Unclassified	950				
3700			Unclassified	950				
3733			Unclassified	950				
3767			Unclassified	950				
3800			Unclassified	950				
3833			Unclassified	950				
3867			Unclassified	950				
3900			Unclassified	950				
3933			Unclassified	950				
3967			Unclassified	950				
4000			Unclassified	950				
4033			Unclassified	950				
4067			Unclassified	950				
4100			Unclassified	950				
4133			Unclassified	950				
4167			Unclassified	950				
4200			Unclassified	33			589	424
4233		2	Saccade	100			580	392
4267		2	Saccade	100			599	385
4300		2	Saccade	100			603	395
4333			Unclassified	33			607	395
4367		3	Saccade	33			610	388
4400			Unclassified	33			608	382
4433		4	Saccade	133			616	365
4467		4	Saccade	133			609	344
4500		4	Saccade	133			673	304
4533		4	Saccade	133			671	242
4567			Unclassified	33			670	241
4600		5	Saccade	200			654	237
4633		5	Saccade	200			655	216
4667		5	Saccade	200			644	199
4700		5	Saccade	200			629	182
4733		5	Saccade	200			618	175
4767		5	Saccade	200			624	165
4800	2		Fixation	67	623	161	627	162
4833	2		Fixation	67	623	161	618	160
4867		6	Saccade	33			627	152
4900			Unclassified	33			620	152
4933		7	Saccade	100			632	142
4967		7	Saccade	100			611	312
5000		7	Saccade	100			602	305
5033			Unclassified	17			596	308
5100			Unclassified	0			596	319
5167			Unclassified	0			603	330
5233			Unclassified	0			636	477
5300			Unclassified	0			635	475
5367			Unclassified	0			636	483
5433			Unclassified	0			639	501
5500			Unclassified	17			619	398
5533			Unclassified	50			618	391
5567			Unclassified	50			615	392
5633			Unclassified	17			619	386
5667			Unclassified	33			617	381
5700		8	Saccade	17			614	367
5767			Unclassified	67				
5800			Unclassified	67				
5833			Unclassified	67				
5900			Unclassified	17			630	350
5933		9	Saccade	50			633	340
5967		9	Saccade	50			648	353
6033			Unclassified	17			648	352
6067		10	Saccade	33			633	349
6100			Unclassified	17			641	347
6167			Unclassified	17			636	357
6200	3		Fixation	100	642	352	640	354
6233	3		Fixation	100	642	352	640	353
6267	3		Fixation	100	642	352	645	350
6300		11	Saccade	100			642	332
6333		11	Saccade	100				
6367		11	Saccade	100			660	551
6400	4		Fixation	100	666	557	660	557
6433	4		Fixation	100	666	557	670	557
6467	4		Fixation	100	666	557	669	558
6500		12	Saccade	100			663	531
6533		12	Saccade	100			627	601
6567		12	Saccade	100			636	594
6600	5		Fixation	300	637	599	632	604
6633	5		Fixation	300	637	599	630	597
6667	5		Fixation	300	637	599	638	604
6700	5		Fixation	300	637	599	636	609
6733	5		Fixation	300	637	599	641	603
6767	5		Fixation	300	637	599	637	601
6800	5		Fixation	300	637	599	640	596
6833	5		Fixation	300	637	599	636	591
6867	5		Fixation	300	637	599	642	588
6900		13	Saccade	33			646	575
6933	6		Fixation	67	648	575	649	573
6967	6		Fixation	67	648	575	646	577
7000		14	Saccade	33			646	590
7033	7		Fixation	300	644	595	646	595
7067	7		Fixation	300	644	595	638	598
7100	7		Fixation	300	644	595	640	600
7133	7		Fixation	300	644	595	642	596
7167	7		Fixation	300	644	595	643	592
7200	7		Fixation	300	644	595	647	589
7233	7		Fixation	300	644	595	646	593
7267	7		Fixation	300	644	595	649	596
7300	7		Fixation	300	644	595	647	597
7333		15	Saccade	100			620	604
7367		15	Saccade	100			693	349
7400		15	Saccade	100			680	355
7433	8		Fixation	67	689	350	690	352
7467	8		Fixation	67	689	350	688	348
7500		16	Saccade	100			692	338
7533		16	Saccade	100			685	374
7567		16	Saccade	100			644	400
7600	9		Fixation	67	637	398	636	401
7633	9		Fixation	67	637	398	637	395
7667		17	Saccade	100			706	433
7700		17	Saccade	100			678	403
7733		17	Saccade	100			643	398
7767			Unclassified	33			649	403
7800		18	Saccade	33			645	409
7833	10		Fixation	133	639	419	640	415
7867	10		Fixation	133	639	419	642	416
7900	10		Fixation	133	639	419	640	422
7933	10		Fixation	133	639	419	634	423
7967		19	Saccade	33			585	452
8000	11		Fixation	67	583	454	586	452
8033	11		Fixation	67	583	454	580	456
8067		20	Saccade	33			575	462
8100	12		Fixation	100	575	466	574	466
8133	12		Fixation	100	575	466	571	464
8167	12		Fixation	100	575	466	580	466
8200		21	Saccade	33			540	450
8233	13		Fixation	100	544	457	541	451
