RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	
0			Unclassified	17					
33			Unclassified	33			617	419	
67		1	Saccade	133			674	423	
100		1	Saccade	133			674	368	
133		1	Saccade	133			675	377	
167		1	Saccade	133			674	394	
200			Unclassified	33			668	395	
233		2	Saccade	33			686	398	
267	1		Fixation	700	683	398	689	405	
300	1		Fixation	700	683	398	687	390	
333	1		Fixation	700	683	398	680	398	
367	1		Fixation	700	683	398	682	399	
400	1		Fixation	700	683	398	692	406	
433	1		Fixation	700	683	398	686	395	
467	1		Fixation	700	683	398	688	397	
500	1		Fixation	700	683	398	686	397	
533	1		Fixation	700	683	398	685	398	
567	1		Fixation	700	683	398	682	398	
600	1		Fixation	700	683	398	681	397	
633	1		Fixation	700	683	398	678	398	
667	1		Fixation	700	683	398	677	397	
700	1		Fixation	700	683	398	681	398	
733	1		Fixation	700	683	398	679	399	
767	1		Fixation	700	683	398	682	400	
800	1		Fixation	700	683	398	678	398	
833	1		Fixation	700	683	398	678	398	
867	1		Fixation	700	683	398	679	395	
900	1		Fixation	700	683	398	683	397	
933	1		Fixation	700	683	398	680	398	
967		3	Saccade	33			672	452	
1000			Unclassified	200					
1033			Unclassified	200					
1067			Unclassified	200					
1100			Unclassified	200					
1133			Unclassified	200					
1167			Unclassified	200					
1200			Unclassified	33			664	467	
1233		4	Saccade	67			673	434	
1267		4	Saccade	67			661	406	
1300	2		Fixation	500	675	404	659	404	
1333	2		Fixation	500	675	404	668	403	
1367	2		Fixation	500	675	404	670	401	
1400	2		Fixation	500	675	404	677	408	
1433	2		Fixation	500	675	404	677	410	
1467	2		Fixation	500	675	404	675	405	
1500	2		Fixation	500	675	404	677	403	
1533	2		Fixation	500	675	404	676	405	
1567	2		Fixation	500	675	404	675	406	
1600	2		Fixation	500	675	404	676	405	
1633	2		Fixation	500	675	404	676	404	
1667	2		Fixation	500	675	404	675	401	
1700	2		Fixation	500	675	404	678	401	
1733	2		Fixation	500	675	404	678	400	
1767	2		Fixation	500	675	404	681	400	
1800		5	Saccade	33			678	391	
1833	3		Fixation	333	680	399	679	393	
1867	3		Fixation	333	680	399	679	390	
1900	3		Fixation	333	680	399	679	398	
1933	3		Fixation	333	680	399	680	395	
1967	3		Fixation	333	680	399	678	399	
2000	3		Fixation	333	680	399	682	402	
2033	3		Fixation	333	680	399	682	402	
2067	3		Fixation	333	680	399	681	402	
2100	3		Fixation	333	680	399	682	404	
2133	3		Fixation	333	680	399	676	404	
2167		6	Saccade	33			672	388	
2200			Unclassified	200					
2233			Unclassified	200					
2267			Unclassified	200					
2300			Unclassified	200					
2333			Unclassified	200					
2367			Unclassified	200					
2400			Unclassified	33			672	375	
2433		7	Saccade	33			677	359	
2467			Unclassified	33			679	357	
2500		8	Saccade	33			688	374	
2533			Unclassified	33			689	367	
2567		9	Saccade	67			690	382	
2600		9	Saccade	67			679	400	
2633	4		Fixation	400	683	394	676	397	
2667	4		Fixation	400	683	394	678	393	
2700	4		Fixation	400	683	394	684	391	
2733	4		Fixation	400	683	394	686	391	
2767	4		Fixation	400	683	394	685	391	
2800	4		Fixation	400	683	394	688	393	
2833	4		Fixation	400	683	394	683	393	
2867	4		Fixation	400	683	394	682	394	
2900	4		Fixation	400	683	394	683	393	
2933	4		Fixation	400	683	394	686	393	
2967	4		Fixation	400	683	394	687	399	
3000	4		Fixation	400	683	394	682	402	
3033		10	Saccade	33			680	469	
3067			Unclassified	200					
3100			Unclassified	200					
3133			Unclassified	200					
3167			Unclassified	200					
3200			Unclassified	200					
3233			Unclassified	200					
3267			Unclassified	33			671	489	
3300		11	Saccade	100			674	443	
3333		11	Saccade	100			664	399	
3367		11	Saccade	100			660	388	
3400			Unclassified	33			664	385	
3433		12	Saccade	100			677	397	
3467		12	Saccade	100			677	389	
3500		12	Saccade	100			679	397	
3533	5		Fixation	400	683	392	681	395	
3567	5		Fixation	400	683	392	680	388	
3600	5		Fixation	400	683	392	683	386	
3633	5		Fixation	400	683	392	685	388	
3667	5		Fixation	400	683	392	688	393	
3700	5		Fixation	400	683	392	688	391	
3733	5		Fixation	400	683	392	690	393	
3767	5		Fixation	400	683	392	694	396	
3800	5		Fixation	400	683	392	682	394	
3833	5		Fixation	400	683	392	680	393	
3867	5		Fixation	400	683	392	679	395	
3900	5		Fixation	400	683	392	667	391	
3933			Unclassified	300					
3967			Unclassified	300					
4000			Unclassified	300					
4033			Unclassified	300					
4067			Unclassified	300					
4100			Unclassified	300					
4133			Unclassified	300					
4167			Unclassified	300					
4200			Unclassified	300					
4233			Unclassified	33			668	442	
4267		13	Saccade	67			670	418	
4300		13	Saccade	67			667	400	
4333			Unclassified	33			672	396	
4367		14	Saccade	33			672	388	
4400	6		Fixation	67	672	383	672	385	
4433	6		Fixation	67	672	383	672	381	
4467		15	Saccade	33			674	395	
4500	7		Fixation	467	687	393	672	394	
4533	7		Fixation	467	687	393	675	393	
4567	7		Fixation	467	687	393	676	393	
4600	7		Fixation	467	687	393	684	391	
4633	7		Fixation	467	687	393	685	393	
4667	7		Fixation	467	687	393	684	393	
4700	7		Fixation	467	687	393	685	393	
4733	7		Fixation	467	687	393	688	392	
4767	7		Fixation	467	687	393	691	393	
4800	7		Fixation	467	687	393	695	393	
4833	7		Fixation	467	687	393	697	392	
4867	7		Fixation	467	687	393	697	392	
4900	7		Fixation	467	687	393	695	393	
4933	7		Fixation	467	687	393	689	396	
4967		16	Saccade	33			678	490	
5000			Unclassified	233					
5033			Unclassified	233					
5067			Unclassified	233					
5100			Unclassified	233					
5133			Unclassified	233					
5167			Unclassified	233					
5200			Unclassified	233					
5233			Unclassified	33			666	436	
5267		17	Saccade	200			663	416	
5300		17	Saccade	200			669	408	
5333		17	Saccade	200			677	402	
5367		17	Saccade	200			675	391	
5400		17	Saccade	200			684	384	
5433		17	Saccade	200			677	391	
5467	8		Fixation	400	687	395	679	392	
5500	8		Fixation	400	687	395	687	396	
5533	8		Fixation	400	687	395	687	394	
5567	8		Fixation	400	687	395	684	393	
5600	8		Fixation	400	687	395	682	393	
5633	8		Fixation	400	687	395	682	395	
5667	8		Fixation	400	687	395	683	394	
5700	8		Fixation	400	687	395	688	395	
5733	8		Fixation	400	687	395	691	396	
5767	8		Fixation	400	687	395	693	397	
5800	8		Fixation	400	687	395	692	398	
5833	8		Fixation	400	687	395	691	401	
5867		18	Saccade	67			673	392	
5900		18	Saccade	67			688	495	
5933			Unclassified	200					
5967			Unclassified	200					
6000			Unclassified	200					
6033			Unclassified	200					
6067			Unclassified	200					
6100			Unclassified	200					
6133			Unclassified	33			649	462	
6167		19	Saccade	133			674	426	
6200		19	Saccade	133			672	402	
6233		19	Saccade	133			671	394	
6267		19	Saccade	133			684	391	
6300	9		Fixation	100	682	388	682	391	
6333	9		Fixation	100	682	388	679	385	
6367	9		Fixation	100	682	388	686	389	
6400		20	Saccade	67			690	374	
6433		20	Saccade	67			692	386	
6467	10		Fixation	333	684	382	691	388	
6500	10		Fixation	333	684	382	683	384	
6533	10		Fixation	333	684	382	683	383	
6567	10		Fixation	333	684	382	682	382	
6600	10		Fixation	333	684	382	677	379	
6633	10		Fixation	333	684	382	684	381	
6667	10		Fixation	333	684	382	684	381	
6700	10		Fixation	333	684	382	685	381	
6733	10		Fixation	333	684	382	685	382	
6767	10		Fixation	333	684	382	681	380	
6800		21	Saccade	100			723	391	
6833		21	Saccade	100			830	509	
6867		21	Saccade	100			836	530	
6900	11		Fixation	100	829	533	831	530	
6933	11		Fixation	100	829	533	829	534	
6967	11		Fixation	100	829	533	826	535	
7000			Unclassified	167					
7033			Unclassified	167					
7067			Unclassified	167					
7100			Unclassified	167					
7133			Unclassified	167					
7167			Unclassified	33			659	423	
7200		22	Saccade	67			654	366	
7233		22	Saccade	67			653	352	
7267			Unclassified	33			654	347	
7300		23	Saccade	67			660	362	
7333		23	Saccade	67			672	383	
7367			Unclassified	33			676	389	
7400		24	Saccade	33			671	377	
7433	12		Fixation	1133	669	369	681	383	
7467	12		Fixation	1133	669	369	682	385	
7500	12		Fixation	1133	669	369	684	386	
7533	12		Fixation	1133	669	369	681	386	
7567	12		Fixation	1133	669	369	680	387	
7600	12		Fixation	1133	669	369	678	383	
7633	12		Fixation	1133	669	369	682	384	
7667	12		Fixation	1133	669	369	679	382	
7700	12		Fixation	1133	669	369	678	379	
7733	12		Fixation	1133	669	369	677	375	
7767	12		Fixation	1133	669	369	676	375	
7800	12		Fixation	1133	669	369	671	373	
7833	12		Fixation	1133	669	369	666	371	
7867	12		Fixation	1133	669	369	662	371	
7900	12		Fixation	1133	669	369	662	370	
7933	12		Fixation	1133	669	369	666	370	
7967	12		Fixation	1133	669	369	668	367	
8000	12		Fixation	1133	669	369	667	364	
8033	12		Fixation	1133	669	369	666	363	
