RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	
0			Unclassified	17			541	326	
33		1	Saccade	267			551	334	
67		1	Saccade	267			529	329	
100		1	Saccade	267			544	331	
133		1	Saccade	267			548	342	
167		1	Saccade	267			543	330	
200		1	Saccade	267			536	326	
233		1	Saccade	267			547	335	
267		1	Saccade	267			529	327	
300			Unclassified	33			535	331	
333		2	Saccade	67			544	329	
367		2	Saccade	67			569	314	
400	1		Fixation	200	573	316	574	316	
433	1		Fixation	200	573	316	576	318	
467	1		Fixation	200	573	316	576	318	
500	1		Fixation	200	573	316	574	318	
533	1		Fixation	200	573	316	571	314	
567	1		Fixation	200	573	316	565	311	
600		3	Saccade	33			541	323	
633	2		Fixation	200	546	320	548	323	
667	2		Fixation	200	546	320	548	321	
700	2		Fixation	200	546	320	545	318	
733	2		Fixation	200	546	320	548	320	
767	2		Fixation	200	546	320	547	320	
800	2		Fixation	200	546	320	544	319	
833		4	Saccade	67			531	317	
867		4	Saccade	67			541	321	
900	3		Fixation	400	540	320	541	319	
933	3		Fixation	400	540	320	539	320	
967	3		Fixation	400	540	320	542	322	
1000	3		Fixation	400	540	320	539	322	
1033	3		Fixation	400	540	320	537	317	
1067	3		Fixation	400	540	320	540	318	
1100	3		Fixation	400	540	320	540	318	
1133	3		Fixation	400	540	320	541	317	
1167	3		Fixation	400	540	320	543	319	
1200	3		Fixation	400	540	320	544	320	
1233	3		Fixation	400	540	320	539	321	
1267	3		Fixation	400	540	320	539	325	
1300		5	Saccade	67			545	330	
1333		5	Saccade	67			536	328	
1367			Unclassified	233					
1400			Unclassified	233					
1433			Unclassified	233					
1467			Unclassified	233					
1500			Unclassified	233					
1533			Unclassified	233					
1567			Unclassified	233					
1600			Unclassified	33			537	353	
1633		6	Saccade	100			543	343	
1667		6	Saccade	100			539	357	
1700		6	Saccade	100			535	361	
1733			Unclassified	200					
1767			Unclassified	200					
1800			Unclassified	200					
1833			Unclassified	200					
1867			Unclassified	200					
1900			Unclassified	200					
1933			Unclassified	33			575	460	
1967		7	Saccade	67			593	381	
2000		7	Saccade	67			570	334	
2033			Unclassified	33			571	339	
2067		8	Saccade	67			570	322	
2100		8	Saccade	67			571	335	
2133			Unclassified	367					
2167			Unclassified	367					
2200			Unclassified	367					
2233			Unclassified	367					
2267			Unclassified	367					
2300			Unclassified	367					
2333			Unclassified	367					
2367			Unclassified	367					
2400			Unclassified	367					
