RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	
0			Unclassified	17			669	408	
33		1	Saccade	67			688	402	
67		1	Saccade	67			680	407	
100	1		Fixation	200	673	406	679	405	
133	1		Fixation	200	673	406	674	406	
167	1		Fixation	200	673	406	668	409	
200	1		Fixation	200	673	406	674	408	
233	1		Fixation	200	673	406	672	406	
267	1		Fixation	200	673	406	671	404	
300		2	Saccade	67			682	435	
333		2	Saccade	67			674	414	
367	2		Fixation	300	675	417	674	415	
400	2		Fixation	300	675	417	673	414	
433	2		Fixation	300	675	417	676	414	
467	2		Fixation	300	675	417	676	415	
500	2		Fixation	300	675	417	676	417	
533	2		Fixation	300	675	417	675	417	
567	2		Fixation	300	675	417	674	418	
600	2		Fixation	300	675	417	674	420	
633	2		Fixation	300	675	417	673	420	
667		3	Saccade	200			691	406	
700		3	Saccade	200					
733		3	Saccade	200					
767		3	Saccade	200			635	581	
800		3	Saccade	200					
833		3	Saccade	200			683	412	
867	3		Fixation	567	701	402	689	413	
900	3		Fixation	567	701	402	694	411	
933	3		Fixation	567	701	402	695	407	
967	3		Fixation	567	701	402	699	407	
1000	3		Fixation	567	701	402	703	405	
1033	3		Fixation	567	701	402	702	404	
1067	3		Fixation	567	701	402	698	403	
1100	3		Fixation	567	701	402	701	401	
1133	3		Fixation	567	701	402	702	400	
1167	3		Fixation	567	701	402	701	399	
1200	3		Fixation	567	701	402	702	398	
1233	3		Fixation	567	701	402	702	396	
1267	3		Fixation	567	701	402	702	397	
1300	3		Fixation	567	701	402	702	396	
1333	3		Fixation	567	701	402	703	394	
1367	3		Fixation	567	701	402	708	405	
1400	3		Fixation	567	701	402	708	405	
1433		4	Saccade	67			714	392	
1467		4	Saccade	67			734	387	
1500	4		Fixation	133	729	391	733	389	
1533	4		Fixation	133	729	391	730	390	
1567	4		Fixation	133	729	391	729	391	
1600	4		Fixation	133	729	391	724	393	
1633		5	Saccade	33			706	431	
1667			Unclassified	300					
1700			Unclassified	300					
1733			Unclassified	300					
1767			Unclassified	300					
1800			Unclassified	300					
1833			Unclassified	300					
1867			Unclassified	300					
1900			Unclassified	300					
1933			Unclassified	300					
1967			Unclassified	33			564	335	
2000		6	Saccade	33			613	367	
2033			Unclassified	33			610	372	
2067		7	Saccade	33			615	384	
2100	5		Fixation	100	626	384	622	386	
2133	5		Fixation	100	626	384	626	384	
2167	5		Fixation	100	626	384	632	383	
2200		8	Saccade	67			541	391	
2233		8	Saccade	67			417	414	
2267			Unclassified	33			418	417	
2300		9	Saccade	33			389	417	
2333			Unclassified	133					
2367			Unclassified	133					
2400			Unclassified	133					
2433			Unclassified	133					
2467			Unclassified	33			511	472	
2500		10	Saccade	67			516	409	
2533		10	Saccade	67			510	386	
2567			Unclassified	33			513	388	
2600		11	Saccade	67			515	382	
2633		11	Saccade	67			521	392	
2667	6		Fixation	67	527	392	526	392	
2700	6		Fixation	67	527	392	529	391	
2733		12	Saccade	67			506	372	
2767		12	Saccade	67			721	377	
