RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	
0			Unclassified	17			644	573	
33	1		Fixation	2500	662	580	657	578	
67	1		Fixation	2500	662	580	651	581	
100	1		Fixation	2500	662	580	659	582	
133	1		Fixation	2500	662	580	658	578	
167	1		Fixation	2500	662	580	660	573	
200	1		Fixation	2500	662	580	655	575	
233	1		Fixation	2500	662	580	650	576	
267	1		Fixation	2500	662	580	652	575	
300	1		Fixation	2500	662	580	657	583	
333	1		Fixation	2500	662	580	659	579	
367	1		Fixation	2500	662	580	660	579	
400	1		Fixation	2500	662	580	661	578	
433	1		Fixation	2500	662	580	665	580	
467	1		Fixation	2500	662	580	659	579	
500	1		Fixation	2500	662	580	664	581	
533	1		Fixation	2500	662	580	664	583	
567	1		Fixation	2500	662	580	667	584	
600	1		Fixation	2500	662	580	665	584	
633	1		Fixation	2500	662	580	666	583	
667	1		Fixation	2500	662	580	663	578	
700	1		Fixation	2500	662	580	662	576	
733	1		Fixation	2500	662	580	661	573	
767	1		Fixation	2500	662	580	660	572	
800	1		Fixation	2500	662	580	659	574	
833	1		Fixation	2500	662	580	661	576	
867	1		Fixation	2500	662	580	664	577	
900	1		Fixation	2500	662	580	668	576	
933	1		Fixation	2500	662	580	669	575	
967	1		Fixation	2500	662	580	668	575	
1000	1		Fixation	2500	662	580	669	578	
1033	1		Fixation	2500	662	580	672	579	
1067	1		Fixation	2500	662	580	672	578	
1100	1		Fixation	2500	662	580	670	576	
1133	1		Fixation	2500	662	580	671	575	
1167	1		Fixation	2500	662	580	670	572	
1200	1		Fixation	2500	662	580	669	572	
1233	1		Fixation	2500	662	580	670	576	
1267	1		Fixation	2500	662	580	664	575	
1300	1		Fixation	2500	662	580	662	575	
1333	1		Fixation	2500	662	580	665	575	
1367	1		Fixation	2500	662	580	662	574	
1400	1		Fixation	2500	662	580	662	577	
1433	1		Fixation	2500	662	580	660	577	
1467	1		Fixation	2500	662	580	657	580	
1500	1		Fixation	2500	662	580	655	580	
1533	1		Fixation	2500	662	580	655	582	
1567	1		Fixation	2500	662	580	659	582	
1600	1		Fixation	2500	662	580	658	580	
1633	1		Fixation	2500	662	580	660	579	
1667	1		Fixation	2500	662	580	663	582	
1700	1		Fixation	2500	662	580	664	583	
1733	1		Fixation	2500	662	580	663	583	
1767	1		Fixation	2500	662	580	659	585	
1800	1		Fixation	2500	662	580	658	585	
1833	1		Fixation	2500	662	580	661	584	
1867	1		Fixation	2500	662	580	661	585	
1900	1		Fixation	2500	662	580	662	589	
1933	1		Fixation	2500	662	580	660	588	
1967	1		Fixation	2500	662	580	663	587	
2000	1		Fixation	2500	662	580	664	586	
2033	1		Fixation	2500	662	580	666	587	
2067	1		Fixation	2500	662	580	665	585	
2100	1		Fixation	2500	662	580	664	587	
2133	1		Fixation	2500	662	580	662	585	
2167	1		Fixation	2500	662	580	662	588	
2200	1		Fixation	2500	662	580	661	586	
2233	1		Fixation	2500	662	580	664	588	
2267	1		Fixation	2500	662	580	661	584	
2300	1		Fixation	2500	662	580	664	586	
2333	1		Fixation	2500	662	580	663	582	
2367	1		Fixation	2500	662	580	661	582	
2400	1		Fixation	2500	662	580	660	580	
2433	1		Fixation	2500	662	580	662	577	
2467	1		Fixation	2500	662	580	655	579	
2500	1		Fixation	2500	662	580	651	586	
2533			Unclassified	200					
2567			Unclassified	200					
2600			Unclassified	200					
2633			Unclassified	200					
2667			Unclassified	200					
2700			Unclassified	200					
2733			Unclassified	33			650	593	
2767			Unclassified	33			645	581	
2800		1	Saccade	33			657	581	
2833	2		Fixation	1733	666	582	660	581	
2867	2		Fixation	1733	666	582	668	579	
2900	2		Fixation	1733	666	582	666	581	
2933	2		Fixation	1733	666	582	668	583	
2967	2		Fixation	1733	666	582	667	582	
3000	2		Fixation	1733	666	582	666	581	
3033	2		Fixation	1733	666	582	659	578	
3067	2		Fixation	1733	666	582	659	579	
3100	2		Fixation	1733	666	582	659	577	
3133	2		Fixation	1733	666	582	660	578	
3167	2		Fixation	1733	666	582	664	577	
3200	2		Fixation	1733	666	582	665	577	
3233	2		Fixation	1733	666	582	663	578	
3267	2		Fixation	1733	666	582	663	579	
3300	2		Fixation	1733	666	582	664	582	
3333	2		Fixation	1733	666	582	661	583	
3367	2		Fixation	1733	666	582	662	587	
3400	2		Fixation	1733	666	582	660	589	
3433	2		Fixation	1733	666	582	662	591	
3467	2		Fixation	1733	666	582	663	589	
3500	2		Fixation	1733	666	582	665	587	
3533	2		Fixation	1733	666	582	665	585	
3567	2		Fixation	1733	666	582	668	581	
3600	2		Fixation	1733	666	582	670	582	
3633	2		Fixation	1733	666	582	669	582	
3667	2		Fixation	1733	666	582	673	582	
3700	2		Fixation	1733	666	582	679	582	
3733	2		Fixation	1733	666	582	679	582	
3767	2		Fixation	1733	666	582	676	582	
3800	2		Fixation	1733	666	582	668	580	
3833	2		Fixation	1733	666	582	670	583	
3867	2		Fixation	1733	666	582	666	584	
3900	2		Fixation	1733	666	582	662	588	
3933	2		Fixation	1733	666	582	664	589	
3967	2		Fixation	1733	666	582	662	588	
4000	2		Fixation	1733	666	582	663	588	
4033	2		Fixation	1733	666	582	661	586	
4067	2		Fixation	1733	666	582	662	587	
4100	2		Fixation	1733	666	582	669	585	
4133	2		Fixation	1733	666	582	668	585	
4167	2		Fixation	1733	666	582	667	584	
4200	2		Fixation	1733	666	582	674	588	
4233	2		Fixation	1733	666	582	672	583	
4267	2		Fixation	1733	666	582	670	578	
4300	2		Fixation	1733	666	582	667	577	
4333	2		Fixation	1733	666	582	669	579	
4367	2		Fixation	1733	666	582	668	579	
4400	2		Fixation	1733	666	582	667	580	
4433	2		Fixation	1733	666	582	667	579	
4467	2		Fixation	1733	666	582	664	578	
4500	2		Fixation	1733	666	582	663	578	
4533	2		Fixation	1733	666	582	665	576	
4567		2	Saccade	100			660	585	
4600		2	Saccade	100					
4633		2	Saccade	100			715	343	
4667	3		Fixation	267	712	347	707	338	
4700	3		Fixation	267	712	347	708	343	
4733	3		Fixation	267	712	347	708	344	
4767	3		Fixation	267	712	347	712	348	
4800	3		Fixation	267	712	347	711	349	
4833	3		Fixation	267	712	347	712	351	
4867	3		Fixation	267	712	347	717	351	
4900	3		Fixation	267	712	347	718	352	
4933		3	Saccade	67			693	372	
4967		3	Saccade	67			662	390	
5000			Unclassified	50			664	393	
5033			Unclassified	50			658	389	
5100			Unclassified	17			665	395	
5133			Unclassified	50			671	401	
5167			Unclassified	50			673	403	
5233			Unclassified	17			666	396	
5267			Unclassified	50			667	397	
5300			Unclassified	50			665	396	
5367			Unclassified	17			638	419	
5400	4		Fixation	167	641	422	639	422	
5433	4		Fixation	167	641	422	639	423	
5467	4		Fixation	167	641	422	639	421	
5500	4		Fixation	167	641	422	641	422	
5533	4		Fixation	167	641	422	646	424	
5567		4	Saccade	33			555	454	
5600	5		Fixation	667	545	445	551	448	
5633	5		Fixation	667	545	445	555	450	
5667	5		Fixation	667	545	445	555	452	
5700	5		Fixation	667	545	445	554	453	
5733	5		Fixation	667	545	445	550	451	
5767	5		Fixation	667	545	445	550	451	
5800	5		Fixation	667	545	445	551	450	
5833	5		Fixation	667	545	445	548	445	
5867	5		Fixation	667	545	445	550	447	
5900	5		Fixation	667	545	445	544	444	
5933	5		Fixation	667	545	445	543	446	
5967	5		Fixation	667	545	445	541	446	
6000	5		Fixation	667	545	445	538	445	
6033	5		Fixation	667	545	445	541	445	
6067	5		Fixation	667	545	445	545	443	
6100	5		Fixation	667	545	445	544	442	
6133	5		Fixation	667	545	445	540	439	
6167	5		Fixation	667	545	445	535	439	
6200	5		Fixation	667	545	445	529	432	
6233	5		Fixation	667	545	445	531	428	
6267		5	Saccade	33			530	420	
6300	6		Fixation	100	529	410	524	412	
6333	6		Fixation	100	529	410	531	412	
6367	6		Fixation	100	529	410	531	406	
6400		6	Saccade	300			530	397	
6433		6	Saccade	300			538	390	
6467		6	Saccade	300			541	384	
6500		6	Saccade	300			554	385	
6533		6	Saccade	300			572	383	
6567		6	Saccade	300			581	370	
6600		6	Saccade	300			589	359	
6633		6	Saccade	300			587	349	
6667		6	Saccade	300			592	357	
6700	7		Fixation	433	597	361	594	361	
6733	7		Fixation	433	597	361	591	361	
6767	7		Fixation	433	597	361	588	363	
6800	7		Fixation	433	597	361	594	364	
6833	7		Fixation	433	597	361	594	363	
6867	7		Fixation	433	597	361	599	364	
6900	7		Fixation	433	597	361	600	362	
6933	7		Fixation	433	597	361	609	364	
6967	7		Fixation	433	597	361	599	356	
7000	7		Fixation	433	597	361	600	360	
7033	7		Fixation	433	597	361	598	359	
7067	7		Fixation	433	597	361	595	361	
7100	7		Fixation	433	597	361	599	364	
7133		7	Saccade	67			681	370	
7167		7	Saccade	67			681	362	
7200	8		Fixation	467	716	363	693	368	
7233	8		Fixation	467	716	363	696	369	
7267	8		Fixation	467	716	363	697	365	
7300	8		Fixation	467	716	363	702	365	
7333	8		Fixation	467	716	363	705	363	
7367	8		Fixation	467	716	363	709	362	
7400	8		Fixation	467	716	363	712	362	
7433	8		Fixation	467	716	363	720	364	
7467	8		Fixation	467	716	363	722	361	
7500	8		Fixation	467	716	363	729	361	
7533	8		Fixation	467	716	363	737	363	
7567	8		Fixation	467	716	363	736	360	
7600	8		Fixation	467	716	363	738	360	
7633	8		Fixation	467	716	363	733	356	
7667		8	Saccade	33			831	466	
7700			Unclassified	100					
7733			Unclassified	100					
7767			Unclassified	100					
7800			Unclassified	33			811	392	
7833		9	Saccade	100					
7867		9	Saccade	100					
7900		9	Saccade	100			801	329	
7933	9		Fixation	267	815	339	809	337	
7967	9		Fixation	267	815	339	811	342	
8000	9		Fixation	267	815	339	811	345	
8033	9		Fixation	267	815	339	818	339	
8067	9		Fixation	267	815	339	809	334	
8100	9		Fixation	267	815	339	815	343	
8133	9		Fixation	267	815	339	820	337	
8167	9		Fixation	267	815	339	826	337	
8200		10	Saccade	67					
8233		10	Saccade	67			644	375	
8267	10		Fixation	133	639	382	642	377	
8300	10		Fixation	133	639	382	640	380	
8333	10		Fixation	133	639	382	638	384	
8367	10		Fixation	133	639	382	637	389	
8400		11	Saccade	67			657	387	
8433		11	Saccade	67			654	497	
8467	11		Fixation	100	653	506	652	503	
8500	11		Fixation	100	653	506	650	505	
8533	11		Fixation	100	653	506	656	509	
8567		12	Saccade	33			658	499	
8600	12		Fixation	467	665	501	660	502	
8633	12		Fixation	467	665	501	659	502	
8667	12		Fixation	467	665	501	661	502	
8700	12		Fixation	467	665	501	659	502	
8733	12		Fixation	467	665	501	659	503	
8767	12		Fixation	467	665	501	663	497	
8800	12		Fixation	467	665	501	671	501	
8833	12		Fixation	467	665	501	670	500	
8867	12		Fixation	467	665	501	669	500	
8900	12		Fixation	467	665	501	669	501	
8933	12		Fixation	467	665	501	667	501	
8967	12		Fixation	467	665	501	664	500	
9000	12		Fixation	467	665	501	667	504	
9033	12		Fixation	467	665	501	675	504	
9067		13	Saccade	33			647	547	
9100	13		Fixation	1100	659	548	647	547	
9133	13		Fixation	1100	659	548	647	546	
9167	13		Fixation	1100	659	548	649	543	
9200	13		Fixation	1100	659	548	651	541	
9233	13		Fixation	1100	659	548	650	541	
9267	13		Fixation	1100	659	548	649	541	
9300	13		Fixation	1100	659	548	648	541	
9333	13		Fixation	1100	659	548	650	540	
9367	13		Fixation	1100	659	548	648	540	
9400	13		Fixation	1100	659	548	648	546	
9433	13		Fixation	1100	659	548	646	549	
9467	13		Fixation	1100	659	548	648	551	
9500	13		Fixation	1100	659	548	651	552	
9533	13		Fixation	1100	659	548	650	551	
9567	13		Fixation	1100	659	548	650	552	
9600	13		Fixation	1100	659	548	654	549	
9633	13		Fixation	1100	659	548	655	543	
9667	13		Fixation	1100	659	548	658	544	
9700	13		Fixation	1100	659	548	658	545	
9733	13		Fixation	1100	659	548	660	546	
9767	13		Fixation	1100	659	548	662	545	
9800	13		Fixation	1100	659	548	661	545	
9833	13		Fixation	1100	659	548	668	547	
9867	13		Fixation	1100	659	548	673	553	
9900	13		Fixation	1100	659	548	672	553	
9933	13		Fixation	1100	659	548	675	553	
9967	13		Fixation	1100	659	548	676	554	
10000	13		Fixation	1100	659	548	678	556	
10033	13		Fixation	1100	659	548	675	556	
10067	13		Fixation	1100	659	548	674	554	
10100	13		Fixation	1100	659	548	672	553	
10133	13		Fixation	1100	659	548	672	553	
10167	13		Fixation	1100	659	548	672	555	
10200		14	Saccade	33			656	554	
10233			Unclassified	167					
10267			Unclassified	167					
10300			Unclassified	167					
10333			Unclassified	167					
10367			Unclassified	167					
10400			Unclassified	33			649	462	
10433		15	Saccade	67			633	441	
10467		15	Saccade	67			627	431	
10500	14		Fixation	100	637	432	636	433	
10533	14		Fixation	100	637	432	639	435	
10567	14		Fixation	100	637	432	637	428	
10600		16	Saccade	33			689	437	
10633	15		Fixation	367	689	435	691	439	
10667	15		Fixation	367	689	435	693	434	
10700	15		Fixation	367	689	435	690	436	
10733	15		Fixation	367	689	435	692	436	
10767	15		Fixation	367	689	435	691	436	
10800	15		Fixation	367	689	435	689	435	
10833	15		Fixation	367	689	435	686	434	
10867	15		Fixation	367	689	435	688	435	
10900	15		Fixation	367	689	435	688	436	
10933	15		Fixation	367	689	435	685	434	
10967	15		Fixation	367	689	435	686	433	
11000		17	Saccade	33			642	422	
11033	16		Fixation	800	651	427	645	421	
11067	16		Fixation	800	651	427	647	420	
11100	16		Fixation	800	651	427	654	425	
11133	16		Fixation	800	651	427	655	423	
11167	16		Fixation	800	651	427	661	427	
11200	16		Fixation	800	651	427	657	424	
11233	16		Fixation	800	651	427	653	426	
11267	16		Fixation	800	651	427	650	426	
11300	16		Fixation	800	651	427	650	426	
11333	16		Fixation	800	651	427	650	424	
11367	16		Fixation	800	651	427	650	422	
11400	16		Fixation	800	651	427	653	425	
11433	16		Fixation	800	651	427	651	424	
11467	16		Fixation	800	651	427	650	428	
11500	16		Fixation	800	651	427	650	429	
11533	16		Fixation	800	651	427	644	429	
11567	16		Fixation	800	651	427	649	432	
11600	16		Fixation	800	651	427	650	431	
11633	16		Fixation	800	651	427	650	432	
11667	16		Fixation	800	651	427	648	430	
11700	16		Fixation	800	651	427	650	431	
11733	16		Fixation	800	651	427	649	432	
11767	16		Fixation	800	651	427	654	435	
11800	16		Fixation	800	651	427	659	436	
11833		18	Saccade	67			571	452	
11867		18	Saccade	67			539	457	
11900	17		Fixation	67	544	457	545	457	
11933	17		Fixation	67	544	457	543	456	
11967		19	Saccade	67			553	460	
12000		19	Saccade	67			567	463	
12033			Unclassified	33			571	460	
12067		20	Saccade	33			578	452	
12100	18		Fixation	233	578	448	585	452	
12133	18		Fixation	233	578	448	587	451	
12167	18		Fixation	233	578	448	577	446	
12200	18		Fixation	233	578	448	575	443	
12233	18		Fixation	233	578	448	574	445	
