RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	
0			Unclassified	17			729	496	
33		1	Saccade	100			725	506	
67		1	Saccade	100			784	495	
100		1	Saccade	100			935	539	
133	1		Fixation	133	931	542	929	535	
167	1		Fixation	133	931	542	925	540	
200	1		Fixation	133	931	542	927	544	
233	1		Fixation	133	931	542	942	549	
267		2	Saccade	200					
300		2	Saccade	200					
333		2	Saccade	200			736	584	
367		2	Saccade	200			734	508	
400		2	Saccade	200			718	510	
433		2	Saccade	200			720	476	
467	2		Fixation	67	710	470	713	472	
500	2		Fixation	67	710	470	706	469	
533		3	Saccade	33			704	480	
567			Unclassified	33			705	488	
600		4	Saccade	33			690	494	
633			Unclassified	133					
667			Unclassified	133					
700			Unclassified	133					
733			Unclassified	133					
767			Unclassified	33			685	568	
800		5	Saccade	67			691	498	
833		5	Saccade	67			703	487	
867			Unclassified	33			705	482	
900		6	Saccade	33			700	465	
933			Unclassified	33			708	472	
967		7	Saccade	33			676	662	
1000	3		Fixation	133	676	652	677	651	
1033	3		Fixation	133	676	652	680	650	
1067	3		Fixation	133	676	652	677	649	
1100	3		Fixation	133	676	652	672	658	
1133		8	Saccade	33			664	671	
1167			Unclassified	33			659	678	
1200		9	Saccade	67			669	576	
1233		9	Saccade	67			686	451	
1267	4		Fixation	167	683	455	682	448	
1300	4		Fixation	167	683	455	682	451	
1333	4		Fixation	167	683	455	682	455	
1367	4		Fixation	167	683	455	681	462	
1400	4		Fixation	167	683	455	685	461	
1433		10	Saccade	33			694	456	
1467	5		Fixation	67	707	460	699	457	
1500	5		Fixation	67	707	460	714	462	
1533		11	Saccade	33			708	471	
1567	6		Fixation	133	707	469	706	472	
1600	6		Fixation	133	707	469	707	470	
1633	6		Fixation	133	707	469	710	469	
1667	6		Fixation	133	707	469	707	463	
1700		12	Saccade	33			695	466	
1733			Unclassified	500					
1767			Unclassified	500					
1800			Unclassified	500					
1833			Unclassified	500					
1867			Unclassified	500					
1900			Unclassified	500					
1933			Unclassified	500					
1967			Unclassified	500					
2000			Unclassified	500					
2033			Unclassified	500					
2067			Unclassified	500					
2100			Unclassified	500					
2133			Unclassified	500					
2167			Unclassified	500					
2200			Unclassified	500					
2233			Unclassified	33			703	538	
2267		13	Saccade	67			701	463	
2300		13	Saccade	67			703	438	
2333	7		Fixation	67	705	445	706	446	
2367	7		Fixation	67	705	445	705	444	
2400		14	Saccade	33			700	427	
2433	8		Fixation	67	715	435	711	430	
2467	8		Fixation	67	715	435	719	440	
2500		15	Saccade	67			719	451	
2533		15	Saccade	67			715	466	
2567	9		Fixation	533	699	460	704	467	
2600	9		Fixation	533	699	460	691	458	
2633	9		Fixation	533	699	460	688	453	
2667	9		Fixation	533	699	460	688	450	
2700	9		Fixation	533	699	460	689	450	
2733	9		Fixation	533	699	460	694	452	
2767	9		Fixation	533	699	460	703	458	
2800	9		Fixation	533	699	460	714	466	
2833	9		Fixation	533	699	460	723	478	
2867	9		Fixation	533	699	460	715	469	
2900	9		Fixation	533	699	460	702	465	
2933	9		Fixation	533	699	460	698	460	
2967	9		Fixation	533	699	460	693	452	
3000	9		Fixation	533	699	460	691	456	
3033	9		Fixation	533	699	460	692	453	
3067	9		Fixation	533	699	460	701	465	
3100		16	Saccade	100			569	570	
3133		16	Saccade	100			501	673	
3167		16	Saccade	100			519	671	
3200			Unclassified	33			514	667	
3233		17	Saccade	167					
3267		17	Saccade	167					
3300		17	Saccade	167			674	467	
3333		17	Saccade	167			686	464	
3367		17	Saccade	167			683	447	
3400	10		Fixation	100	683	455	680	448	
3433	10		Fixation	100	683	455	685	454	
3467	10		Fixation	100	683	455	684	462	
3500		18	Saccade	33			691	482	
3533			Unclassified	33			697	480	
3567		19	Saccade	233			701	458	
3600		19	Saccade	233			694	431	
3633		19	Saccade	233			683	437	
3667		19	Saccade	233			670	468	
3700		19	Saccade	233			689	425	
3733		19	Saccade	233			682	442	
3767		19	Saccade	233			676	451	
3800			Unclassified	33			677	453	
3833		20	Saccade	67			675	503	
3867		20	Saccade	67			644	628	
3900	11		Fixation	167	639	634	642	632	
3933	11		Fixation	167	639	634	641	638	
3967	11		Fixation	167	639	634	635	635	
4000	11		Fixation	167	639	634	643	635	
4033	11		Fixation	167	639	634	636	632	
4067		21	Saccade	100			646	623	
4100		21	Saccade	100			662	538	
4133		21	Saccade	100			661	452	
4167			Unclassified	33			664	455	
4200		22	Saccade	333			646	450	
4233		22	Saccade	333					
4267		22	Saccade	333					
4300		22	Saccade	333			594	499	
4333		22	Saccade	333			421	559	
4367		22	Saccade	333					
4400		22	Saccade	333					
4433		22	Saccade	333			532	435	
4467		22	Saccade	333			619	424	
4500		22	Saccade	333			632	411	
4533			Unclassified	33			626	406	
4567		23	Saccade	33			649	386	
4600			Unclassified	33			647	391	
4633		24	Saccade	67			642	497	
4667		24	Saccade	67			619	538	
4700	12		Fixation	267	631	541	617	539	
4733	12		Fixation	267	631	541	616	540	
4767	12		Fixation	267	631	541	622	540	
4800	12		Fixation	267	631	541	629	538	
4833	12		Fixation	267	631	541	636	542	
4867	12		Fixation	267	631	541	641	545	
4900	12		Fixation	267	631	541	641	546	
4933	12		Fixation	267	631	541	642	541	
