RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	
0			Unclassified	150					
33			Unclassified	150					
67			Unclassified	150					
100			Unclassified	150					
133			Unclassified	150					
167			Unclassified	33			678	533	
200		1	Saccade	33			683	478	
233			Unclassified	33			680	486	
267		2	Saccade	100			693	419	
300		2	Saccade	100					
333		2	Saccade	100			623	327	
367	1		Fixation	67	622	323	624	321	
400	1		Fixation	67	622	323	621	324	
433		3	Saccade	200			626	319	
467		3	Saccade	200			625	305	
500		3	Saccade	200			630	314	
533		3	Saccade	200			615	314	
567		3	Saccade	200			758	248	
600		3	Saccade	200			915	337	
633	2		Fixation	600	923	342	908	331	
667	2		Fixation	600	923	342	907	328	
700	2		Fixation	600	923	342	915	333	
733	2		Fixation	600	923	342	919	338	
767	2		Fixation	600	923	342	918	341	
800	2		Fixation	600	923	342	925	346	
833	2		Fixation	600	923	342	926	348	
867	2		Fixation	600	923	342	931	353	
900	2		Fixation	600	923	342	925	347	
933	2		Fixation	600	923	342	931	352	
967	2		Fixation	600	923	342	929	350	
1000	2		Fixation	600	923	342	930	346	
1033	2		Fixation	600	923	342	931	346	
1067	2		Fixation	600	923	342	927	341	
1100	2		Fixation	600	923	342	928	341	
1133	2		Fixation	600	923	342	935	345	
1167	2		Fixation	600	923	342	929	343	
1200	2		Fixation	600	923	342	904	334	
1233		4	Saccade	33			1156	372	
1267	3		Fixation	700	1169	369	1165	366	
1300	3		Fixation	700	1169	369	1162	365	
1333	3		Fixation	700	1169	369	1162	365	
1367	3		Fixation	700	1169	369	1162	366	
1400	3		Fixation	700	1169	369	1163	364	
1433	3		Fixation	700	1169	369	1164	362	
1467	3		Fixation	700	1169	369	1163	366	
1500	3		Fixation	700	1169	369	1163	367	
1533	3		Fixation	700	1169	369	1166	369	
1567	3		Fixation	700	1169	369	1166	370	
1600	3		Fixation	700	1169	369	1171	373	
1633	3		Fixation	700	1169	369	1168	372	
1667	3		Fixation	700	1169	369	1170	368	
1700	3		Fixation	700	1169	369	1172	370	
1733	3		Fixation	700	1169	369	1173	369	
1767	3		Fixation	700	1169	369	1174	371	
1800	3		Fixation	700	1169	369	1175	370	
1833	3		Fixation	700	1169	369	1174	372	
1867	3		Fixation	700	1169	369	1174	372	
1900	3		Fixation	700	1169	369	1175	374	
1933	3		Fixation	700	1169	369	1179	380	
1967		5	Saccade	67			971	279	
2000		5	Saccade	67			854	348	
2033			Unclassified	33			865	353	
2067			Unclassified	200					
2100			Unclassified	200					
2133			Unclassified	200					
2167			Unclassified	200					
2200			Unclassified	200					
2233			Unclassified	200					
2267			Unclassified	33			629	536	
2300		6	Saccade	67			619	489	
