RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	
0			Unclassified	17			539	345	
33		1	Saccade	67			534	336	
67		1	Saccade	67			538	346	
100	1		Fixation	133	540	344	538	343	
133	1		Fixation	133	540	344	538	346	
167	1		Fixation	133	540	344	545	342	
200	1		Fixation	133	540	344	539	344	
233		2	Saccade	133			532	349	
267		2	Saccade	133			534	341	
300		2	Saccade	133			545	343	
333		2	Saccade	133			537	347	
367	2		Fixation	133	536	346	534	342	
400	2		Fixation	133	536	346	535	347	
433	2		Fixation	133	536	346	536	348	
467	2		Fixation	133	536	346	537	345	
500		3	Saccade	33			536	350	
533	3		Fixation	133	540	347	537	346	
567	3		Fixation	133	540	347	538	348	
600	3		Fixation	133	540	347	542	346	
633	3		Fixation	133	540	347	543	346	
667		4	Saccade	33			502	345	
700			Unclassified	133					
733			Unclassified	133					
767			Unclassified	133					
800			Unclassified	133					
833			Unclassified	33			553	566	
867			Unclassified	33			560	580	
900		5	Saccade	33			568	577	
933	4		Fixation	117	582	580	572	578	
967	4		Fixation	117	582	580	582	583	
1000	4		Fixation	117	582	580	586	583	
1033	4		Fixation	117	582	580	588	576	
1100			Unclassified	17			580	458	
1133		6	Saccade	33			566	454	
1167			Unclassified	17			570	450	
1233			Unclassified	17			583	343	
1267			Unclassified	50			592	346	
1300			Unclassified	50			601	347	
1367			Unclassified	17			607	355	
1400		7	Saccade	50			612	362	
1433		7	Saccade	50			582	443	
1500			Unclassified	17			577	527	
1533		8	Saccade	33			573	537	
1567			Unclassified	17			578	547	
1633			Unclassified	17			592	547	
1667			Unclassified	33			597	550	
1700		9	Saccade	33			616	478	
1733	5		Fixation	167	616	476	618	479	
1767	5		Fixation	167	616	476	617	478	
1800	5		Fixation	167	616	476	618	476	
1833	5		Fixation	167	616	476	614	472	
1867	5		Fixation	167	616	476	613	476	
1900		10	Saccade	67			683	484	
1933		10	Saccade	67			745	458	
1967	6		Fixation	133	756	472	757	468	
2000	6		Fixation	133	756	472	759	470	
2033	6		Fixation	133	756	472	753	474	
2067	6		Fixation	133	756	472	753	475	
2100		11	Saccade	67			604	417	
2133		11	Saccade	67			571	466	
2167			Unclassified	33			576	474	
2200		12	Saccade	33			574	509	
2233			Unclassified	200					
2267			Unclassified	200					
2300			Unclassified	200					
2333			Unclassified	200					
2367			Unclassified	200					
2400			Unclassified	200					
2433			Unclassified	33			620	489	
2467		13	Saccade	67			618	477	
2500		13	Saccade	67			615	465	
2533	7		Fixation	167	628	470	612	464	
2567	7		Fixation	167	628	470	621	466	
