RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	
0							679	349	
67			Unclassified	17			681	351	
100	1		Fixation	267	681	350	677	350	
133	1		Fixation	267	681	350	682	347	
167	1		Fixation	267	681	350	678	349	
200	1		Fixation	267	681	350	682	347	
233	1		Fixation	267	681	350	681	347	
267	1		Fixation	267	681	350	686	355	
300	1		Fixation	267	681	350	678	354	
333	1		Fixation	267	681	350	683	351	
367		1	Saccade	33			668	347	
400			Unclassified	167					
433			Unclassified	167					
467			Unclassified	167					
500			Unclassified	167					
533			Unclassified	167					
567			Unclassified	33			637	432	
600		2	Saccade	100			650	423	
633		2	Saccade	100			671	369	
667		2	Saccade	100			663	347	
700	2		Fixation	1200	681	360	664	351	
733	2		Fixation	1200	681	360	671	354	
767	2		Fixation	1200	681	360	670	354	
800	2		Fixation	1200	681	360	669	354	
833	2		Fixation	1200	681	360	672	353	
867	2		Fixation	1200	681	360	668	351	
900	2		Fixation	1200	681	360	672	351	
933	2		Fixation	1200	681	360	674	353	
967	2		Fixation	1200	681	360	675	354	
1000	2		Fixation	1200	681	360	677	357	
1033	2		Fixation	1200	681	360	681	355	
1067	2		Fixation	1200	681	360	680	361	
1100	2		Fixation	1200	681	360	680	360	
1133	2		Fixation	1200	681	360	682	362	
1167	2		Fixation	1200	681	360	682	363	
1200	2		Fixation	1200	681	360	684	362	
1233	2		Fixation	1200	681	360	684	364	
1267	2		Fixation	1200	681	360	684	362	
1300	2		Fixation	1200	681	360	686	364	
1333	2		Fixation	1200	681	360	684	365	
1367	2		Fixation	1200	681	360	683	363	
1400	2		Fixation	1200	681	360	684	365	
1433	2		Fixation	1200	681	360	684	362	
1467	2		Fixation	1200	681	360	683	364	
1500	2		Fixation	1200	681	360	684	365	
1533	2		Fixation	1200	681	360	684	364	
1567	2		Fixation	1200	681	360	684	365	
1600	2		Fixation	1200	681	360	686	366	
1633	2		Fixation	1200	681	360	688	365	
1667	2		Fixation	1200	681	360	684	362	
1700	2		Fixation	1200	681	360	690	363	
1733	2		Fixation	1200	681	360	686	362	
1767	2		Fixation	1200	681	360	690	363	
1800	2		Fixation	1200	681	360	690	363	
1833	2		Fixation	1200	681	360	688	363	
1867	2		Fixation	1200	681	360	686	362	
1900		3	Saccade	33			667	349	
1933			Unclassified	167					
1967			Unclassified	167					
2000			Unclassified	167					
2033			Unclassified	167					
2067			Unclassified	167					
2100			Unclassified	33			644	485	
2133		4	Saccade	100			657	387	
2167		4	Saccade	100			660	357	
2200		4	Saccade	100			653	348	
2233	3		Fixation	833	674	348	659	352	
2267	3		Fixation	833	674	348	662	350	
2300	3		Fixation	833	674	348	665	350	
2333	3		Fixation	833	674	348	669	349	
2367	3		Fixation	833	674	348	672	349	
2400	3		Fixation	833	674	348	674	347	
2433	3		Fixation	833	674	348	677	348	
2467	3		Fixation	833	674	348	678	347	
2500	3		Fixation	833	674	348	675	346	
2533	3		Fixation	833	674	348	677	345	
2567	3		Fixation	833	674	348	676	346	
2600	3		Fixation	833	674	348	675	342	
2633	3		Fixation	833	674	348	673	344	
2667	3		Fixation	833	674	348	674	345	
2700	3		Fixation	833	674	348	671	345	
2733	3		Fixation	833	674	348	673	346	
2767	3		Fixation	833	674	348	672	346	
2800	3		Fixation	833	674	348	672	345	
2833	3		Fixation	833	674	348	677	346	
2867	3		Fixation	833	674	348	675	347	
2900	3		Fixation	833	674	348	677	349	
2933	3		Fixation	833	674	348	678	350	
2967	3		Fixation	833	674	348	683	353	
3000	3		Fixation	833	674	348	681	351	
3033	3		Fixation	833	674	348	683	353	
3067		5	Saccade	67			679	365	
3100		5	Saccade	67			695	376	
3133	4		Fixation	533	685	366	688	374	
3167	4		Fixation	533	685	366	683	369	
3200	4		Fixation	533	685	366	681	366	
3233	4		Fixation	533	685	366	675	358	
3267	4		Fixation	533	685	366	679	362	
3300	4		Fixation	533	685	366	685	364	
3333	4		Fixation	533	685	366	686	365	
3367	4		Fixation	533	685	366	687	365	
3400	4		Fixation	533	685	366	688	365	
3433	4		Fixation	533	685	366	688	364	
3467	4		Fixation	533	685	366	690	366	
3500	4		Fixation	533	685	366	687	367	
3533	4		Fixation	533	685	366	687	366	
3567	4		Fixation	533	685	366	686	367	
3600	4		Fixation	533	685	366	688	366	
3633	4		Fixation	533	685	366	682	367	
3667		6	Saccade	33			671	409	
3700			Unclassified	133					
3733			Unclassified	133					
3767			Unclassified	133					
3800			Unclassified	133					
3833			Unclassified	33			636	574	
3867		7	Saccade	67			650	502	
3900		7	Saccade	67			651	465	
3933	5		Fixation	100	657	467	654	466	
3967	5		Fixation	100	657	467	658	468	
4000	5		Fixation	100	657	467	660	467	
4033		8	Saccade	67			666	462	
4067		8	Saccade	67			623	540	
4100	6		Fixation	400	633	538	626	533	
4133	6		Fixation	400	633	538	631	534	
4167	6		Fixation	400	633	538	631	536	
4200	6		Fixation	400	633	538	631	538	
4233	6		Fixation	400	633	538	630	537	
4267	6		Fixation	400	633	538	636	541	
4300	6		Fixation	400	633	538	635	540	
4333	6		Fixation	400	633	538	636	540	
4367	6		Fixation	400	633	538	636	539	
4400	6		Fixation	400	633	538	634	538	
4433	6		Fixation	400	633	538	633	539	
4467	6		Fixation	400	633	538	632	537	
4500		9	Saccade	67			561	511	
4533		9	Saccade	67			482	462	
4567	7		Fixation	100	486	468	484	465	
4600	7		Fixation	100	486	468	486	467	
4633	7		Fixation	100	486	468	489	473	
4667		10	Saccade	67			587	448	
4700		10	Saccade	67			704	409	
4733	8		Fixation	133	709	421	710	412	
4767	8		Fixation	133	709	421	713	420	
4800	8		Fixation	133	709	421	704	421	
4833	8		Fixation	133	709	421	708	429	
4867		11	Saccade	33			694	431	
4900	9		Fixation	267	697	434	687	427	
4933	9		Fixation	267	697	434	689	430	
4967	9		Fixation	267	697	434	695	433	
5000	9		Fixation	267	697	434	697	435	
5033	9		Fixation	267	697	434	702	437	
5067	9		Fixation	267	697	434	703	439	
5100	9		Fixation	267	697	434	705	439	
5133	9		Fixation	267	697	434	700	434	
5167			Unclassified	133					
5200			Unclassified	133					
5233			Unclassified	133					
5267			Unclassified	133					
5300			Unclassified	33			659	518	
5333		12	Saccade	67			671	469	
5367		12	Saccade	67			667	434	
5400	10		Fixation	267	676	436	674	440	
5433	10		Fixation	267	676	436	676	436	
5467	10		Fixation	267	676	436	681	436	
5500	10		Fixation	267	676	436	681	439	
5533	10		Fixation	267	676	436	677	437	
5567	10		Fixation	267	676	436	680	438	
5600	10		Fixation	267	676	436	676	436	
5633	10		Fixation	267	676	436	666	429	
5667		13	Saccade	33			654	418	
