RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	
0									
67			Unclassified	117					
100			Unclassified	117					
133			Unclassified	117					
167			Unclassified	117					
200			Unclassified	33			658	1065	
233	1		Fixation	167					
267	1		Fixation	167			686	1083	
300	1		Fixation	167					
333	1		Fixation	167					
367	1		Fixation	167			698	1092	
400			Unclassified	100					
433			Unclassified	100					
467			Unclassified	100					
500			Unclassified	33			615	1018	
533		1	Saccade	33			658	1043	
567	2		Fixation	400			646	1029	
600	2		Fixation	400					
633	2		Fixation	400					
667	2		Fixation	400			616	1013	
700	2		Fixation	400			634	1023	
733	2		Fixation	400			626	1026	
767	2		Fixation	400			652	1044	
800	2		Fixation	400			633	1036	
833	2		Fixation	400			627	1041	
867	2		Fixation	400			641	1051	
900	2		Fixation	400					
933	2		Fixation	400			623	1024	
967		2	Saccade	83			596	998	
1000		2	Saccade	83			638	1015	
1033		2	Saccade	83			605	825	
1100			Unclassified	67					
1133			Unclassified	67					
1167			Unclassified	67					
1233			Unclassified	867					
1267			Unclassified	867					
1300			Unclassified	867					
1333			Unclassified	867					
1367			Unclassified	867					
1400			Unclassified	867					
1433			Unclassified	867					
1467			Unclassified	867					
1500			Unclassified	867					
1533			Unclassified	867					
1567			Unclassified	867					
1600			Unclassified	867					
1633			Unclassified	867					
1667			Unclassified	867					
1700			Unclassified	867					
1733			Unclassified	867					
1767			Unclassified	867					
1800			Unclassified	867					
1833			Unclassified	867					
1867			Unclassified	867					
1900			Unclassified	867					
1933			Unclassified	867					
1967			Unclassified	867					
2000			Unclassified	867					
2033			Unclassified	867					
2067			Unclassified	867					
2100			Unclassified	867					
2167			Unclassified	17			589	451	
2200		3	Saccade	133			593	401	
2233		3	Saccade	133			632	386	
2267		3	Saccade	133			644	367	
2300		3	Saccade	133			627	350	
2333			Unclassified	33			631	351	
2367		4	Saccade	33			618	355	
2400	3		Fixation	100	608	353			
2433	3		Fixation	100	608	353	608	354	
2467	3		Fixation	100	608	353	603	351	
2500		5	Saccade	167			596	363	
2533		5	Saccade	167			561	351	
2567		5	Saccade	167			575	343	
2600		5	Saccade	167			620	351	
2633		5	Saccade	167			626	367	
2667			Unclassified	133					
2700			Unclassified	133					
2733			Unclassified	133					
2767			Unclassified	133					
2800			Unclassified	33			575	354	
2833		6	Saccade	200			569	364	
2867		6	Saccade	200					
2900		6	Saccade	200			581	356	
2933		6	Saccade	200			598	364	
2967		6	Saccade	200			572	350	
3000		6	Saccade	200			584	362	
3033	4		Fixation	67	583	360	583	361	
3067	4		Fixation	67	583	360	582	359	
3100		7	Saccade	67			578	352	
3133		7	Saccade	67			588	357	
3167			Unclassified	33			588	356	
3200		8	Saccade	33			609	360	
3233	5		Fixation	67	601	360	605	363	
3267	5		Fixation	67	601	360			
3300		9	Saccade	67			587	351	
3333		9	Saccade	67			597	359	
3367	6		Fixation	100	591	350	590	352	
3400	6		Fixation	100	591	350	591	349	
