RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	
0			Unclassified	100					
33			Unclassified	100					
67			Unclassified	100					
100			Unclassified	100					
167			Unclassified	17			630	505	
200		1	Saccade	67			431	544	
233		1	Saccade	67			625	515	
267			Unclassified	200					
300			Unclassified	200					
333			Unclassified	200					
367			Unclassified	200					
400			Unclassified	200					
433			Unclassified	200					
467			Unclassified	33			693	390	
500		2	Saccade	100			688	356	
533		2	Saccade	100			703	378	
567		2	Saccade	100			713	390	
600	1		Fixation	167	713	388	711	392	
633	1		Fixation	167	713	388	713	395	
667	1		Fixation	167	713	388	714	390	
700	1		Fixation	167	713	388	714	384	
733	1		Fixation	167	713	388	713	379	
767		3	Saccade	33			715	391	
800	2		Fixation	100	693	391	706	394	
833	2		Fixation	100	693	391	691	392	
867	2		Fixation	100	693	391	682	387	
900		4	Saccade	33			669	378	
933			Unclassified	33			664	379	
967		5	Saccade	50			665	425	
1000		5	Saccade	50			713	436	
1067			Unclassified	17			668	424	
1100			Unclassified	17			668	423	
1167			Unclassified	17			667	425	
1200			Unclassified	33			664	427	
1233		6	Saccade	167					
1267		6	Saccade	167			742	437	
1300		6	Saccade	167			731	442	
1333		6	Saccade	167			745	460	
1367		6	Saccade	167			745	448	
1400			Unclassified	33			744	442	
1433		7	Saccade	133			754	456	
1467		7	Saccade	133			738	440	
1500		7	Saccade	133					
1533		7	Saccade	133			1106	393	
1567	3		Fixation	67	1097	393			
1600	3		Fixation	67	1097	393	1094	393	
1633		8	Saccade	133					
1667		8	Saccade	133					
1700		8	Saccade	133			996	434	
1733		8	Saccade	133			926	820	
1767			Unclassified	333					
1800			Unclassified	333					
1833			Unclassified	333					
1867			Unclassified	333					
1900			Unclassified	333					
1933			Unclassified	333					
1967			Unclassified	333					
2000			Unclassified	333					
2033			Unclassified	333					
2067			Unclassified	333					
2100			Unclassified	33			783	398	
2133		9	Saccade	67					
2167		9	Saccade	67			901	364	
2200			Unclassified	33			898	369	
2233			Unclassified	667					
2267			Unclassified	667					
2300			Unclassified	667					
2333			Unclassified	667					
2367			Unclassified	667					
2400			Unclassified	667					
2433			Unclassified	667					
