RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	
0			Unclassified	17					
33			Unclassified	33			671	264	
67	1		Fixation	200	674	266	672	263	
100	1		Fixation	200	674	266	672	264	
133	1		Fixation	200	674	266	676	267	
167	1		Fixation	200	674	266	675	271	
200	1		Fixation	200	674	266	677	264	
233	1		Fixation	200	674	266	674	267	
267		1	Saccade	33			675	257	
300	2		Fixation	133	680	263	673	262	
333	2		Fixation	133	680	263	679	261	
367	2		Fixation	133	680	263	680	265	
400	2		Fixation	133	680	263	686	264	
433		2	Saccade	33			689	272	
467	3		Fixation	100	682	269	688	270	
500	3		Fixation	100	682	269	685	268	
533	3		Fixation	100	682	269	673	268	
567			Unclassified	133					
600			Unclassified	133					
633			Unclassified	133					
667			Unclassified	133					
700			Unclassified	33			677	284	
733		3	Saccade	33			670	278	
767			Unclassified	33			670	273	
800		4	Saccade	33			668	255	
833			Unclassified	33			663	257	
867		5	Saccade	33			671	265	
900			Unclassified	33			674	267	
933		6	Saccade	33			687	260	
967	4		Fixation	133	684	259	689	258	
1000	4		Fixation	133	684	259	689	256	
1033	4		Fixation	133	684	259	680	261	
1067	4		Fixation	133	684	259	676	260	
1100		7	Saccade	33			671	266	
1133			Unclassified	33			667	261	
1167		8	Saccade	67			669	254	
1200		8	Saccade	67			667	260	
1233	5		Fixation	100	674	258	670	259	
1267	5		Fixation	100	674	258	673	256	
1300	5		Fixation	100	674	258	678	258	
1333		9	Saccade	67			687	265	
1367		9	Saccade	67			667	263	
1400			Unclassified	133					
1433			Unclassified	133					
1467			Unclassified	133					
1500			Unclassified	133					
1533			Unclassified	33			680	298	
1567		10	Saccade	67			670	279	
1600		10	Saccade	67			669	290	
1633			Unclassified	133					
1667			Unclassified	133					
1700			Unclassified	133					
1733			Unclassified	133					
1767			Unclassified	33			675	285	
1800		11	Saccade	100			671	269	
1833		11	Saccade	100			671	250	
1867		11	Saccade	100			676	258	
1900			Unclassified	33			676	261	
1933		12	Saccade	67			680	272	
1967		12	Saccade	67			684	262	
2000	6		Fixation	83	682	265	681	264	
2033	6		Fixation	83	682	265	689	264	
2067	6		Fixation	83	682	265	677	267	
2500			Unclassified	0			757	388	
2567			Unclassified	0			769	396	
2633			Unclassified	0			776	382	
2700			Unclassified	0			774	386	
2767			Unclassified	0			767	387	
2833			Unclassified	0			772	385	
2900			Unclassified	0			770	376	
2967			Unclassified	0			774	389	
3033			Unclassified	0					
3100			Unclassified	67					
3133			Unclassified	67					
3167			Unclassified	67					
3233			Unclassified	17			635	381	
3267		13	Saccade	50			635	394	
3300		13	Saccade	50			641	375	
3367			Unclassified	17			648	387	
3400		14	Saccade	33			633	388	
3433			Unclassified	17			640	387	
3500			Unclassified	150					
3533			Unclassified	150					
3567			Unclassified	150					
3600			Unclassified	150					
3633			Unclassified	150					
3667			Unclassified	33			627	419	
3700		15	Saccade	67			629	368	
3733		15	Saccade	67			644	409	
3767	7		Fixation	100	645	402	643	402	
3800	7		Fixation	100	645	402			
3833	7		Fixation	100	645	402	648	402	
3867			Unclassified	167					
3900			Unclassified	167					
3933			Unclassified	167					
3967			Unclassified	167					
4000			Unclassified	167					
4033			Unclassified	33			663	432	
4067		16	Saccade	167			652	401	
4100		16	Saccade	167			645	389	
4133		16	Saccade	167			645	433	
4167		16	Saccade	167			641	416	
4200		16	Saccade	167			644	385	
4233			Unclassified	33			649	381	
4267		17	Saccade	33			643	395	
4300	8		Fixation	100	645	399	643	400	
4333	8		Fixation	100	645	399	649	398	
4367	8		Fixation	100	645	399	644	398	
4400		18	Saccade	33			661	404	
4433			Unclassified	33			663	403	
4467		19	Saccade	33			682	464	
4500			Unclassified	167					
4533			Unclassified	167					
4567			Unclassified	167					
4600			Unclassified	167					
4633			Unclassified	167					
4667			Unclassified	33			643	369	
4700		20	Saccade	100			636	338	
4733		20	Saccade	100			639	351	
4767		20	Saccade	100			642	360	
4800			Unclassified	33			642	359	
4833		21	Saccade	33			640	350	
4867	9		Fixation	67	652	358	648	356	
4900	9		Fixation	67	652	358	657	360	
4933		22	Saccade	83			655	348	
4967		22	Saccade	83			661	335	
5000		22	Saccade	83			683	364	
5367			Unclassified	0					
5433			Unclassified	0			604	393	
5500			Unclassified	0			600	399	
5567			Unclassified	0			612	408	
5633			Unclassified	0			503	404	
5700			Unclassified	0			491	415	
5767			Unclassified	0			529	413	
5833			Unclassified	0			510	412	
5900			Unclassified	17			513	414	
5933		23	Saccade	50			519	411	
5967		23	Saccade	50			565	376	
6033			Unclassified	17			578	379	
6067			Unclassified	33			582	386	
6100		24	Saccade	17			574	389	
6167			Unclassified	17			588	392	
6200		25	Saccade	33			496	414	
6233			Unclassified	17					
6300			Unclassified	67					
6333			Unclassified	67					
6367			Unclassified	67					
6433			Unclassified	83					
6467			Unclassified	83					
6500			Unclassified	83					
6533			Unclassified	33			323	570	
6567			Unclassified	1433					
6600			Unclassified	1433					
6633			Unclassified	1433					
6667			Unclassified	1433					
6700			Unclassified	1433					
6733			Unclassified	1433					
6767			Unclassified	1433					
6800			Unclassified	1433					
6833			Unclassified	1433					
6867			Unclassified	1433					
6900			Unclassified	1433					
6933			Unclassified	1433					
6967			Unclassified	1433					
7000			Unclassified	1433					
7033			Unclassified	1433					
7067			Unclassified	1433					
7100			Unclassified	1433					
7133			Unclassified	1433					
7167			Unclassified	1433					
7200			Unclassified	1433					
7233			Unclassified	1433					
7267			Unclassified	1433					
7300			Unclassified	1433					
7333			Unclassified	1433					
7367			Unclassified	1433					
7400			Unclassified	1433					
7433			Unclassified	1433					
7467			Unclassified	1433					
7500			Unclassified	1433					
7533			Unclassified	1433					
7567			Unclassified	1433					
7600			Unclassified	1433					
7633			Unclassified	1433					
7667			Unclassified	1433					
7700			Unclassified	1433					
7733			Unclassified	1433					
7767			Unclassified	1433					
7800			Unclassified	1433					
7833			Unclassified	1433					
7867			Unclassified	1433					
7900			Unclassified	1433					
7933			Unclassified	1433					
7967			Unclassified	1433					
8000			Unclassified	33			587	601	
8033		26	Saccade	33			580	548	
8067	10		Fixation	67	583	539			
8100	10		Fixation	67	583	539	584	536	
8133		27	Saccade	133			639	422	
8167		27	Saccade	133			582	531	
8200		27	Saccade	133			563	524	
8233		27	Saccade	133			551	528	
8267	11		Fixation	100	561	528			
8300	11		Fixation	100	561	528			
8333	11		Fixation	100	561	528	567	528	
8367		28	Saccade	33			577	523	
8400			Unclassified	33			584	525	
8433		29	Saccade	167			565	526	
8467		29	Saccade	167					
8500		29	Saccade	167					
8533		29	Saccade	167			590	491	
8567		29	Saccade	167			609	399	
8600			Unclassified	33			623	406	
8633		30	Saccade	67			640	410	
8667		30	Saccade	67			645	402	
8700	12		Fixation	100	652	406	651	409	
8733	12		Fixation	100	652	406	652	406	
8767	12		Fixation	100	652	406	655	402	
8800		31	Saccade	33			652	392	
8833			Unclassified	33			649	391	
8867		32	Saccade	100			633	378	
8900		32	Saccade	100			617	380	
8933		32	Saccade	100			545	598	
8967			Unclassified	133					
9000			Unclassified	133					
9033			Unclassified	133					
9067			Unclassified	133					
9100			Unclassified	33			618	376	
9133		33	Saccade	233			619	369	
9167		33	Saccade	233			619	382	
9200		33	Saccade	233			612	447	
9233		33	Saccade	233			616	430	
9267		33	Saccade	233			612	395	
9300		33	Saccade	233			613	407	
9333		33	Saccade	233			626	440	
9367			Unclassified	133					
9400			Unclassified	133					
9433			Unclassified	133					
9467			Unclassified	133					
9500			Unclassified	33			626	416	
9533		34	Saccade	67			623	405	
9567		34	Saccade	67			630	395	
9600			Unclassified	33			634	395	
9633		35	Saccade	33			634	387	
9667	13		Fixation	133	629	384	632	385	
9700	13		Fixation	133	629	384	631	382	
9733	13		Fixation	133	629	384	629	384	
9767	13		Fixation	133	629	384	626	388	
9800		36	Saccade	33			618	396	
9833	14		Fixation	67	622	392	622	393	
9867	14		Fixation	67	622	392	622	390	
9900		37	Saccade	67			623	382	
9933		37	Saccade	67			620	391	
9967	15		Fixation	150	627	400	623	391	
10000	15		Fixation	150	627	400	625	395	
10033	15		Fixation	150	627	400	625	400	
10067	15		Fixation	150	627	400	630	407	
10100	15		Fixation	150	627	400	629	409	
10167			Unclassified	17			614	394	
10200			Unclassified	50			611	387	
10233			Unclassified	50			609	381	
10300			Unclassified	17			616	389	
10333		38	Saccade	33			614	396	
10367			Unclassified	17			617	400	
10433			Unclassified	17			631	405	
10467	16		Fixation	100	634	406	633	404	
10500	16		Fixation	100	634	406	633	406	
10533	16		Fixation	100	634	406	635	409	
10567		39	Saccade	33			625	414	
10600	17		Fixation	133	624	413	623	411	
10633	17		Fixation	133	624	413	622	413	
10667	17		Fixation	133	624	413	625	417	
10700	17		Fixation	133	624	413	627	413	
10733		40	Saccade	33			630	406	
10767	18		Fixation	167	643	406	640	406	
10800	18		Fixation	167	643	406	647	407	
10833	18		Fixation	167	643	406	648	407	
10867	18		Fixation	167	643	406	640	405	
10900	18		Fixation	167	643	406	639	407	
10933		41	Saccade	33			633	397	
10967	19		Fixation	300	624	397	624	393	
11000	19		Fixation	300	624	397	619	390	
11033	19		Fixation	300	624	397	618	390	
11067	19		Fixation	300	624	397	615	391	
11100	19		Fixation	300	624	397	616	391	
11133	19		Fixation	300	624	397	619	398	
11167	19		Fixation	300	624	397	630	404	
11200	19		Fixation	300	624	397	636	407	
11233	19		Fixation	300	624	397	642	406	
11267		42	Saccade	33			641	413	
11300			Unclassified	33			641	413	
11333		43	Saccade	67			638	422	
11367		43	Saccade	67			625	427	
11400			Unclassified	133					
11433			Unclassified	133					
11467			Unclassified	133					
11500			Unclassified	133					
11533			Unclassified	33			629	451	
11567		44	Saccade	67			618	415	
11600		44	Saccade	67			622	402	
11633	20		Fixation	900	629	401	629	400	
11667	20		Fixation	900	629	401	632	399	
11700	20		Fixation	900	629	401	632	399	
11733	20		Fixation	900	629	401	629	394	
11767	20		Fixation	900	629	401	631	395	
11800	20		Fixation	900	629	401	633	398	
11833	20		Fixation	900	629	401	632	399	
11867	20		Fixation	900	629	401	633	400	
11900	20		Fixation	900	629	401	632	401	
11933	20		Fixation	900	629	401	635	404	
11967	20		Fixation	900	629	401	634	406	
12000	20		Fixation	900	629	401	632	408	
12033	20		Fixation	900	629	401	632	408	
12067	20		Fixation	900	629	401	628	406	
12100	20		Fixation	900	629	401	627	403	
12133	20		Fixation	900	629	401	624	402	
12167	20		Fixation	900	629	401	625	402	
12200	20		Fixation	900	629	401	624	400	
12233	20		Fixation	900	629	401	621	401	
12267	20		Fixation	900	629	401	624	402	
12300	20		Fixation	900	629	401	622	398	
12333	20		Fixation	900	629	401	628	400	
12367	20		Fixation	900	629	401	628	401	
12400	20		Fixation	900	629	401	628	401	
12433	20		Fixation	900	629	401	625	398	
12467	20		Fixation	900	629	401	627	398	
12500	20		Fixation	900	629	401	640	406	
12533		45	Saccade	33			486	292	
12567	21		Fixation	267	489	297	489	295	
12600	21		Fixation	267	489	297	489	294	
12633	21		Fixation	267	489	297	487	297	
12667	21		Fixation	267	489	297	488	300	
12700	21		Fixation	267	489	297	492	299	
12733	21		Fixation	267	489	297	490	299	
12767	21		Fixation	267	489	297	490	299	
12800	21		Fixation	267	489	297	488	297	
12833		46	Saccade	33			493	301	
12867	22		Fixation	567	497	300	497	302	
12900	22		Fixation	567	497	300	495	299	
12933	22		Fixation	567	497	300	493	299	
12967	22		Fixation	567	497	300	493	298	
13000	22		Fixation	567	497	300	493	297	
13033	22		Fixation	567	497	300	494	298	
13067	22		Fixation	567	497	300	495	298	
13100	22		Fixation	567	497	300	496	299	
13133	22		Fixation	567	497	300	497	302	
13167	22		Fixation	567	497	300	495	299	
13200	22		Fixation	567	497	300	497	301	
13233	22		Fixation	567	497	300	501	304	
13267	22		Fixation	567	497	300	499	301	
13300	22		Fixation	567	497	300	501	301	
13333	22		Fixation	567	497	300	500	303	
13367	22		Fixation	567	497	300	501	303	
13400	22		Fixation	567	497	300	499	301	
13433		47	Saccade	33			502	307	
13467	23		Fixation	433	502	304	502	305	
13500	23		Fixation	433	502	304	501	305	
13533	23		Fixation	433	502	304	503	305	
13567	23		Fixation	433	502	304	504	305	
13600	23		Fixation	433	502	304	500	304	
13633	23		Fixation	433	502	304	500	305	
13667	23		Fixation	433	502	304	497	303	
13700	23		Fixation	433	502	304	497	302	
13733	23		Fixation	433	502	304	499	302	
13767	23		Fixation	433	502	304	502	302	
13800	23		Fixation	433	502	304	506	305	
13833	23		Fixation	433	502	304	505	305	
13867	23		Fixation	433	502	304	505	302	
13900		48	Saccade	33			503	297	
13933	24		Fixation	67	507	295	506	296	
13967	24		Fixation	67	507	295	507	295	
14000		49	Saccade	33			511	302	
14033			Unclassified	33			509	300	
14067		50	Saccade	33			510	305	
14100	25		Fixation	100	512	307	509	305	
14133	25		Fixation	100	512	307	512	306	
14167	25		Fixation	100	512	307	516	310	
14200		51	Saccade	33			507	305	
14233	26		Fixation	533	502	301	506	305	
14267	26		Fixation	533	502	301	504	305	
14300	26		Fixation	533	502	301	503	304	
14333	26		Fixation	533	502	301	502	303	
14367	26		Fixation	533	502	301	506	303	
14400	26		Fixation	533	502	301	504	299	
14433	26		Fixation	533	502	301	505	302	
14467	26		Fixation	533	502	301	502	300	
14500	26		Fixation	533	502	301	502	300	
14533	26		Fixation	533	502	301	499	299	
14567	26		Fixation	533	502	301	497	300	
14600	26		Fixation	533	502	301	496	298	
14633	26		Fixation	533	502	301	499	300	
14667	26		Fixation	533	502	301	498	299	
14700	26		Fixation	533	502	301	504	301	
14733	26		Fixation	533	502	301	503	302	
14767		52	Saccade	167			493	292	
14800		52	Saccade	167					
14833		52	Saccade	167					
14867		52	Saccade	167			469	481	
14900		52	Saccade	167			496	305	
14933	27		Fixation	133	496	301	496	301	
14967	27		Fixation	133	496	301	494	302	
15000	27		Fixation	133	496	301	495	300	
15033	27		Fixation	133	496	301	499	302	
15067		53	Saccade	33			505	306	
15100	28		Fixation	67	509	304	508	305	
15133	28		Fixation	67	509	304	510	304	
15167		54	Saccade	33			509	299	
15200	29		Fixation	300	504	297	507	298	
15233	29		Fixation	300	504	297	504	296	
15267	29		Fixation	300	504	297	501	294	
15300	29		Fixation	300	504	297	502	295	
15333	29		Fixation	300	504	297	502	295	
15367	29		Fixation	300	504	297	502	297	
15400	29		Fixation	300	504	297	504	297	
15433	29		Fixation	300	504	297	507	297	
15467	29		Fixation	300	504	297	509	300	
15500		55	Saccade	67			610	290	
15533		55	Saccade	67			762	290	
15567	30		Fixation	300	773	296	773	296	
15600	30		Fixation	300	773	296	776	297	
15633	30		Fixation	300	773	296	779	298	
15667	30		Fixation	300	773	296	774	298	
15700	30		Fixation	300	773	296	769	295	
15733	30		Fixation	300	773	296	770	296	
15767	30		Fixation	300	773	296	772	296	
15800	30		Fixation	300	773	296	772	295	
15833	30		Fixation	300	773	296	770	294	
15867		56	Saccade	33			770	286	
15900			Unclassified	133					
15933			Unclassified	133					
15967			Unclassified	133					
16000			Unclassified	133					
16033			Unclassified	33			766	293	
16067	31		Fixation	1067	778	297	767	295	
16100	31		Fixation	1067	778	297	769	301	
16133	31		Fixation	1067	778	297	772	302	
16167	31		Fixation	1067	778	297	775	300	
16200	31		Fixation	1067	778	297	776	302	
16233	31		Fixation	1067	778	297	778	300	
16267	31		Fixation	1067	778	297	780	298	
16300	31		Fixation	1067	778	297	781	295	
16333	31		Fixation	1067	778	297	779	292	
16367	31		Fixation	1067	778	297	774	289	
16400	31		Fixation	1067	778	297	777	290	
16433	31		Fixation	1067	778	297	780	294	
16467	31		Fixation	1067	778	297	774	294	
16500	31		Fixation	1067	778	297	780	296	
16533	31		Fixation	1067	778	297	784	297	
16567	31		Fixation	1067	778	297	782	297	
16600	31		Fixation	1067	778	297	785	298	
16633	31		Fixation	1067	778	297	777	296	
16667	31		Fixation	1067	778	297	781	298	
16700	31		Fixation	1067	778	297	774	295	
16733	31		Fixation	1067	778	297	777	296	
16767	31		Fixation	1067	778	297	778	298	
16800	31		Fixation	1067	778	297	777	297	
16833	31		Fixation	1067	778	297	779	298	
16867	31		Fixation	1067	778	297	781	297	
16900	31		Fixation	1067	778	297	784	302	
16933	31		Fixation	1067	778	297	780	298	
16967	31		Fixation	1067	778	297	778	298	
17000	31		Fixation	1067	778	297	781	299	
17033	31		Fixation	1067	778	297	783	299	
17067	31		Fixation	1067	778	297	782	298	
17100	31		Fixation	1067	778	297	765	298	
17133			Unclassified	100					
17167			Unclassified	100					
17200			Unclassified	100					
17233			Unclassified	33			756	335	
17267		57	Saccade	33			762	306	
17300	32		Fixation	1233	779	291	761	298	
17333	32		Fixation	1233	779	291	764	291	
17367	32		Fixation	1233	779	291	772	291	
17400	32		Fixation	1233	779	291	774	291	
17433	32		Fixation	1233	779	291	776	290	
17467	32		Fixation	1233	779	291	775	289	
17500	32		Fixation	1233	779	291	780	289	
17533	32		Fixation	1233	779	291	780	292	
17567	32		Fixation	1233	779	291	781	292	
17600	32		Fixation	1233	779	291	785	288	
17633	32		Fixation	1233	779	291	794	294	
17667	32		Fixation	1233	779	291	785	293	
17700	32		Fixation	1233	779	291	787	293	
17733	32		Fixation	1233	779	291	785	292	
17767	32		Fixation	1233	779	291	784	290	
17800	32		Fixation	1233	779	291	785	291	
17833	32		Fixation	1233	779	291	789	294	
17867	32		Fixation	1233	779	291	784	290	
17900	32		Fixation	1233	779	291	781	290	
17933	32		Fixation	1233	779	291	782	291	
17967	32		Fixation	1233	779	291	783	291	
18000	32		Fixation	1233	779	291	782	289	
18033	32		Fixation	1233	779	291	779	288	
18067	32		Fixation	1233	779	291	781	290	
18100	32		Fixation	1233	779	291	778	289	
18133	32		Fixation	1233	779	291	778	287	
18167	32		Fixation	1233	779	291	777	287	
18200	32		Fixation	1233	779	291	778	290	
18233	32		Fixation	1233	779	291	777	290	
18267	32		Fixation	1233	779	291	777	291	
18300	32		Fixation	1233	779	291	777	292	
18333	32		Fixation	1233	779	291	775	294	
18367	32		Fixation	1233	779	291	777	295	
18400	32		Fixation	1233	779	291	775	295	
18433	32		Fixation	1233	779	291	778	295	
18467	32		Fixation	1233	779	291	775	294	
18500	32		Fixation	1233	779	291	777	297	
18533		58	Saccade	100			776	286	
18567		58	Saccade	100			758	523	
18600		58	Saccade	100			761	505	
18633	33		Fixation	667	757	504	757	502	
18667	33		Fixation	667	757	504	759	504	
18700	33		Fixation	667	757	504	756	505	
18733	33		Fixation	667	757	504	755	505	
18767	33		Fixation	667	757	504	757	504	
18800	33		Fixation	667	757	504	759	508	
18833	33		Fixation	667	757	504	764	507	
18867	33		Fixation	667	757	504	755	507	
18900	33		Fixation	667	757	504	758	505	
18933	33		Fixation	667	757	504	756	502	
18967	33		Fixation	667	757	504	757	505	
19000	33		Fixation	667	757	504	756	506	
19033	33		Fixation	667	757	504	756	505	
19067	33		Fixation	667	757	504	756	504	
19100	33		Fixation	667	757	504	751	501	
19133	33		Fixation	667	757	504	760	504	
19167	33		Fixation	667	757	504	753	503	
19200	33		Fixation	667	757	504	760	501	
19233	33		Fixation	667	757	504	760	504	
19267	33		Fixation	667	757	504	745	499	
19300			Unclassified	100					
19333			Unclassified	100					
19367			Unclassified	100					
19400			Unclassified	33			748	514	
19433	34		Fixation	100	748	501	749	506	
19467	34		Fixation	100	748	501	743	498	
19500	34		Fixation	100	748	501	752	500	
19533		59	Saccade	33			757	490	
19567	35		Fixation	1967	758	499	758	492	
19600	35		Fixation	1967	758	499	758	495	
19633	35		Fixation	1967	758	499	757	495	
19667	35		Fixation	1967	758	499	758	496	
19700	35		Fixation	1967	758	499	763	497	
19733	35		Fixation	1967	758	499	758	495	
19767	35		Fixation	1967	758	499	760	496	
19800	35		Fixation	1967	758	499	753	495	
19833	35		Fixation	1967	758	499	755	494	
19867	35		Fixation	1967	758	499	755	494	
19900	35		Fixation	1967	758	499	765	497	
19933	35		Fixation	1967	758	499	759	497	
19967	35		Fixation	1967	758	499	759	499	
20000	35		Fixation	1967	758	499	766	502	
20033	35		Fixation	1967	758	499	756	502	
20067	35		Fixation	1967	758	499	758	504	
20100	35		Fixation	1967	758	499	761	504	
20133	35		Fixation	1967	758	499	762	506	
