RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	
0			Unclassified	17			596	410	
33		1	Saccade	17			589	422	
100			Unclassified	17			566	422	
133		2	Saccade	33			597	417	
167	1		Fixation	3700	597	409	592	420	
200	1		Fixation	3700	597	409	593	423	
233	1		Fixation	3700	597	409	593	417	
267	1		Fixation	3700	597	409	596	421	
300	1		Fixation	3700	597	409	601	421	
333	1		Fixation	3700	597	409	594	418	
367	1		Fixation	3700	597	409	592	416	
400	1		Fixation	3700	597	409	595	416	
433	1		Fixation	3700	597	409	590	416	
467	1		Fixation	3700	597	409	596	416	
500	1		Fixation	3700	597	409	597	416	
533	1		Fixation	3700	597	409	598	419	
567	1		Fixation	3700	597	409	596	415	
600	1		Fixation	3700	597	409	595	415	
633	1		Fixation	3700	597	409	597	416	
667	1		Fixation	3700	597	409	599	415	
700	1		Fixation	3700	597	409	597	414	
733	1		Fixation	3700	597	409	598	414	
767	1		Fixation	3700	597	409	597	411	
800	1		Fixation	3700	597	409	599	412	
833	1		Fixation	3700	597	409	596	409	
867	1		Fixation	3700	597	409	597	410	
900	1		Fixation	3700	597	409	597	410	
933	1		Fixation	3700	597	409	598	412	
967	1		Fixation	3700	597	409	595	413	
1000	1		Fixation	3700	597	409	596	413	
1033	1		Fixation	3700	597	409	594	411	
1067	1		Fixation	3700	597	409	594	414	
1100	1		Fixation	3700	597	409	593	409	
1133	1		Fixation	3700	597	409	594	411	
1167	1		Fixation	3700	597	409	595	410	
1200	1		Fixation	3700	597	409	594	408	
1233	1		Fixation	3700	597	409	595	409	
1267	1		Fixation	3700	597	409	596	410	
1300	1		Fixation	3700	597	409	592	407	
1333	1		Fixation	3700	597	409	594	413	
1367	1		Fixation	3700	597	409	596	412	
1400	1		Fixation	3700	597	409	594	409	
1433	1		Fixation	3700	597	409	598	412	
1467	1		Fixation	3700	597	409	596	408	
1500	1		Fixation	3700	597	409	595	409	
1533	1		Fixation	3700	597	409	596	409	
1567	1		Fixation	3700	597	409	597	410	
1600	1		Fixation	3700	597	409	597	408	
1633	1		Fixation	3700	597	409	600	410	
1667	1		Fixation	3700	597	409	597	406	
1700	1		Fixation	3700	597	409	597	407	
1733	1		Fixation	3700	597	409	595	405	
1767	1		Fixation	3700	597	409	593	409	
1800	1		Fixation	3700	597	409	597	409	
1833	1		Fixation	3700	597	409	595	411	
1867	1		Fixation	3700	597	409	596	410	
1900	1		Fixation	3700	597	409	597	412	
1933	1		Fixation	3700	597	409	596	410	
1967	1		Fixation	3700	597	409	594	409	
2000	1		Fixation	3700	597	409	595	409	
2033	1		Fixation	3700	597	409	595	407	
2067	1		Fixation	3700	597	409	597	407	
2100	1		Fixation	3700	597	409	599	406	
2133	1		Fixation	3700	597	409	600	405	
2167	1		Fixation	3700	597	409	598	405	
2200	1		Fixation	3700	597	409	599	406	
2233	1		Fixation	3700	597	409	601	407	
2267	1		Fixation	3700	597	409	598	405	
2300	1		Fixation	3700	597	409	599	406	
2333	1		Fixation	3700	597	409	594	405	
2367	1		Fixation	3700	597	409	600	408	
2400	1		Fixation	3700	597	409	597	406	
2433	1		Fixation	3700	597	409	602	408	
2467	1		Fixation	3700	597	409	602	405	
2500	1		Fixation	3700	597	409	603	406	
2533	1		Fixation	3700	597	409	601	408	
2567	1		Fixation	3700	597	409	597	404	
2600	1		Fixation	3700	597	409	597	407	
2633	1		Fixation	3700	597	409	599	408	
2667	1		Fixation	3700	597	409	597	410	
2700	1		Fixation	3700	597	409	597	410	
2733	1		Fixation	3700	597	409	597	408	
2767	1		Fixation	3700	597	409	595	406	
2800	1		Fixation	3700	597	409	595	408	
2833	1		Fixation	3700	597	409	595	407	
2867	1		Fixation	3700	597	409	596	406	
2900	1		Fixation	3700	597	409	593	408	
2933	1		Fixation	3700	597	409	595	406	
2967	1		Fixation	3700	597	409	595	408	
3000	1		Fixation	3700	597	409	597	405	
3033	1		Fixation	3700	597	409	596	407	
3067	1		Fixation	3700	597	409	598	406	
3100	1		Fixation	3700	597	409	596	401	
3133	1		Fixation	3700	597	409	595	404	
3167	1		Fixation	3700	597	409	595	405	
3200	1		Fixation	3700	597	409	597	406	
3233	1		Fixation	3700	597	409	597	403	
3267	1		Fixation	3700	597	409	598	404	
3300	1		Fixation	3700	597	409	598	402	
3333	1		Fixation	3700	597	409	599	403	
3367	1		Fixation	3700	597	409	596	399	
3400	1		Fixation	3700	597	409	599	403	
3433	1		Fixation	3700	597	409	593	401	
3467	1		Fixation	3700	597	409	599	405	
3500	1		Fixation	3700	597	409	598	403	
3533	1		Fixation	3700	597	409	596	402	
3567	1		Fixation	3700	597	409	599	405	
3600	1		Fixation	3700	597	409	596	399	
3633	1		Fixation	3700	597	409	599	402	
3667	1		Fixation	3700	597	409	598	400	
3700	1		Fixation	3700	597	409	601	402	
3733	1		Fixation	3700	597	409	600	399	
3767	1		Fixation	3700	597	409	601	399	
3800	1		Fixation	3700	597	409	601	400	
3833	1		Fixation	3700	597	409	594	400	
3867		3	Saccade	33			568	413	
3900			Unclassified	133					
3933			Unclassified	133					
3967			Unclassified	133					
4000			Unclassified	133					
4033			Unclassified	33			583	414	
4067	2		Fixation	1733	586	410			
4100	2		Fixation	1733	586	410	571	414	
4133	2		Fixation	1733	586	410	570	409	
4167	2		Fixation	1733	586	410	577	412	
4200	2		Fixation	1733	586	410	578	410	
4233	2		Fixation	1733	586	410	581	411	
4267	2		Fixation	1733	586	410	582	411	
4300	2		Fixation	1733	586	410	577	413	
4333	2		Fixation	1733	586	410	578	409	
4367	2		Fixation	1733	586	410	579	409	
4400	2		Fixation	1733	586	410	580	406	
4433	2		Fixation	1733	586	410	586	407	
4467	2		Fixation	1733	586	410	586	409	
4500	2		Fixation	1733	586	410	588	410	
4533	2		Fixation	1733	586	410	588	408	
4567	2		Fixation	1733	586	410	591	407	
4600	2		Fixation	1733	586	410	591	408	
4633	2		Fixation	1733	586	410	590	408	
4667	2		Fixation	1733	586	410	589	410	
4700	2		Fixation	1733	586	410	587	414	
4733	2		Fixation	1733	586	410	586	413	
4767	2		Fixation	1733	586	410	590	417	
4800	2		Fixation	1733	586	410	589	416	
4833	2		Fixation	1733	586	410	589	417	
4867	2		Fixation	1733	586	410	589	414	
4900	2		Fixation	1733	586	410	591	415	
4933	2		Fixation	1733	586	410	590	413	
4967	2		Fixation	1733	586	410	594	416	
