RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	
0			Unclassified	17			576	468	
33			Unclassified	133					
67			Unclassified	133					
100			Unclassified	133					
133			Unclassified	133					
167			Unclassified	33			583	476	
200		1	Saccade	33			613	380	
233			Unclassified	33			607	383	
267		2	Saccade	33			614	378	
300	1		Fixation	1033	620	384	617	384	
333	1		Fixation	1033	620	384	617	382	
367	1		Fixation	1033	620	384	617	377	
400	1		Fixation	1033	620	384	618	378	
433	1		Fixation	1033	620	384	620	377	
467	1		Fixation	1033	620	384	617	379	
500	1		Fixation	1033	620	384	615	376	
533	1		Fixation	1033	620	384	617	380	
567	1		Fixation	1033	620	384	611	378	
600	1		Fixation	1033	620	384	617	382	
633	1		Fixation	1033	620	384	614	377	
667	1		Fixation	1033	620	384	620	380	
700	1		Fixation	1033	620	384	621	378	
733	1		Fixation	1033	620	384	625	379	
767	1		Fixation	1033	620	384	621	379	
800	1		Fixation	1033	620	384	622	379	
833	1		Fixation	1033	620	384	624	380	
867	1		Fixation	1033	620	384	625	381	
900	1		Fixation	1033	620	384	624	383	
933	1		Fixation	1033	620	384	623	387	
967	1		Fixation	1033	620	384	626	395	
1000	1		Fixation	1033	620	384	621	398	
1033	1		Fixation	1033	620	384	620	399	
1067	1		Fixation	1033	620	384	621	401	
1100	1		Fixation	1033	620	384	621	397	
1133	1		Fixation	1033	620	384	626	395	
1167	1		Fixation	1033	620	384	618	392	
1200	1		Fixation	1033	620	384	618	391	
1233	1		Fixation	1033	620	384	619	387	
1267	1		Fixation	1033	620	384	623	385	
1300	1		Fixation	1033	620	384	625	379	
1333		3	Saccade	33			626	372	
1367	2		Fixation	233	625	373	625	369	
1400	2		Fixation	233	625	373	630	372	
1433	2		Fixation	233	625	373	629	373	
1467	2		Fixation	233	625	373	629	375	
1500	2		Fixation	233	625	373	624	377	
1533	2		Fixation	233	625	373	622	372	
1567	2		Fixation	233	625	373	616	371	
1600		4	Saccade	33			629	404	
1633			Unclassified	133					
1667			Unclassified	133					
1700			Unclassified	133					
1733			Unclassified	133					
1767			Unclassified	33			604	442	
1800		5	Saccade	33			608	393	
1833			Unclassified	33			619	394	
1867		6	Saccade	33			612	384	
1900			Unclassified	33			612	383	
1933		7	Saccade	67			605	374	
1967		7	Saccade	67			602	364	
2000	3		Fixation	333	614	370	606	368	
2033	3		Fixation	333	614	370	607	370	
