MediaWidth	MediaHeight	RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	
1280	960	0			Unclassified	17			646	389	
1280	960	33		1	Saccade	200			636	372	
1280	960	67		1	Saccade	200			646	382	
1280	960	100		1	Saccade	200			633	357	
1280	960	133		1	Saccade	200			653	392	
1280	960	167		1	Saccade	200			641	385	
1280	960	200		1	Saccade	200			642	377	
1280	960	233	1		Fixation	167	633	372	638	375	
1280	960	267	1		Fixation	167	633	372	631	368	
1280	960	300	1		Fixation	167	633	372	635	377	
1280	960	333	1		Fixation	167	633	372	632	373	
1280	960	367	1		Fixation	167	633	372	631	367	
1280	960	400			Unclassified	633					
1280	960	433			Unclassified	633					
1280	960	467			Unclassified	633					
1280	960	500			Unclassified	633					
1280	960	533			Unclassified	633					
1280	960	567			Unclassified	633					
1280	960	600			Unclassified	633					
1280	960	633			Unclassified	633					
1280	960	667			Unclassified	633					
1280	960	700			Unclassified	633					
1280	960	733			Unclassified	633					
1280	960	767			Unclassified	633					
1280	960	800			Unclassified	633					
1280	960	833			Unclassified	633					
1280	960	867			Unclassified	633					
1280	960	900			Unclassified	633					
1280	960	933			Unclassified	633					
1280	960	967			Unclassified	633					
1280	960	1000			Unclassified	633					
1280	960	1033			Unclassified	33			513	341	
1280	960	1067			Unclassified	33			520	342	
1280	960	1100		2	Saccade	167			520	335	
1280	960	1133		2	Saccade	167			513	340	
1280	960	1167		2	Saccade	167			521	333	
1280	960	1200		2	Saccade	167			532	334	
1280	960	1233		2	Saccade	167			542	348	
1280	960	1267	2		Fixation	67	546	345	545	348	
1280	960	1300	2		Fixation	67	546	345	547	343	
1280	960	1333		3	Saccade	33			532	346	
1280	960	1367	3		Fixation	100	537	351	537	346	
1280	960	1400	3		Fixation	100	537	351	536	351	
1280	960	1433	3		Fixation	100	537	351	538	357	
1280	960	1467		4	Saccade	133			548	357	
1280	960	1500		4	Saccade	133			612	337	
1280	960	1533		4	Saccade	133			598	330	
1280	960	1567		4	Saccade	133			592	345	
1280	960	1600			Unclassified	33			599	345	
1280	960	1633		5	Saccade	67			586	354	
1280	960	1667		5	Saccade	67			582	341	
1280	960	1700	4		Fixation	67	583	347	582	346	
1280	960	1733	4		Fixation	67	583	347	584	347	
1280	960	1767		6	Saccade	33			575	347	
1280	960	1800			Unclassified	33			577	343	
1280	960	1833		7	Saccade	33			552	340	
1280	960	1867			Unclassified	133					
1280	960	1900			Unclassified	133					
1280	960	1933			Unclassified	133					
1280	960	1967			Unclassified	133					
1280	960	2000			Unclassified	33			560	339	
1280	960	2033		8	Saccade	667			567	347	
1280	960	2067		8	Saccade	667			573	335	
1280	960	2100		8	Saccade	667			571	350	
1280	960	2133		8	Saccade	667			577	338	
1280	960	2167		8	Saccade	667			564	345	
1280	960	2200		8	Saccade	667			576	337	
1280	960	2233		8	Saccade	667			562	341	
1280	960	2267		8	Saccade	667			573	336	
1280	960	2300		8	Saccade	667			562	340	
1280	960	2333		8	Saccade	667			575	337	
1280	960	2367		8	Saccade	667			577	357	
1280	960	2400		8	Saccade	667			586	354	
1280	960	2433		8	Saccade	667			591	367	
1280	960	2467		8	Saccade	667			600	376	
1280	960	2500		8	Saccade	667			611	383	
1280	960	2533		8	Saccade	667			592	374	
1280	960	2567		8	Saccade	667			564	373	
1280	960	2600		8	Saccade	667			573	385	
1280	960	2633		8	Saccade	667			582	394	
1280	960	2667		8	Saccade	667			590	401	
1280	960	2700	5		Fixation	200	599	395	599	407	
1280	960	2733	5		Fixation	200	599	395	602	402	
1280	960	2767	5		Fixation	200	599	395	602	398	
1280	960	2800	5		Fixation	200	599	395	600	395	
1280	960	2833	5		Fixation	200	599	395	598	389	
1280	960	2867	5		Fixation	200	599	395	594	381	
1280	960	2900		9	Saccade	67			594	372	
1280	960	2933		9	Saccade	67			589	361	
1280	960	2967	6		Fixation	100	584	358	587	360	
1280	960	3000	6		Fixation	100	584	358	586	356	
1280	960	3033	6		Fixation	100	584	358	579	358	
1280	960	3067		10	Saccade	67			561	371	
1280	960	3100		10	Saccade	67			498	762	
1280	960	3133			Unclassified	100					
1280	960	3167			Unclassified	100					
1280	960	3200			Unclassified	100					
1280	960	3233			Unclassified	33			560	460	
1280	960	3267		11	Saccade	33			552	378	
1280	960	3300			Unclassified	33			555	375	
1280	960	3333		12	Saccade	67			553	381	
1280	960	3367		12	Saccade	67			561	376	
1280	960	3400	7		Fixation	67	560	376	560	376	
1280	960	3433	7		Fixation	67	560	376	560	375	
1280	960	3467		13	Saccade	33			573	370	
1280	960	3500			Unclassified	33			580	373	
1280	960	3533		14	Saccade	167			587	368	
1280	960	3567		14	Saccade	167			594	359	
1280	960	3600		14	Saccade	167			590	367	
1280	960	3633		14	Saccade	167			578	362	
1280	960	3667		14	Saccade	167			543	434	
1280	960	3700			Unclassified	33			541	427	
1280	960	3733		15	Saccade	33			546	417	
1280	960	3767	8		Fixation	67	546	420	546	421	
1280	960	3800	8		Fixation	67	546	420	545	419	
1280	960	3833		16	Saccade	67			553	414	
1280	960	3867		16	Saccade	67			550	423	
1280	960	3900			Unclassified	33			554	420	
1280	960	3933		17	Saccade	133			552	432	
1280	960	3967		17	Saccade	133			545	441	
1280	960	4000		17	Saccade	133			570	425	
1280	960	4033		17	Saccade	133			558	422	
1280	960	4067			Unclassified	33			566	429	
1280	960	4100		18	Saccade	67			572	424	
1280	960	4133		18	Saccade	67			574	438	
1280	960	4167			Unclassified	33			574	433	
1280	960	4200		19	Saccade	200			550	436	
1280	960	4233		19	Saccade	200			596	504	
1280	960	4267		19	Saccade	200					
1280	960	4300		19	Saccade	200					
1280	960	4333		19	Saccade	200			692	497	
1280	960	4367		19	Saccade	200			736	290	
1280	960	4400	9		Fixation	67	739	289	745	287	
1280	960	4433	9		Fixation	67	739	289	733	291	
1280	960	4467		20	Saccade	33			734	300	
1280	960	4500	10		Fixation	100	732	305	726	302	
