RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (ADCSpx)	FixationPointY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)
3		8	Saccade	667			592	374			0.438	0.394
37		8	Saccade	667			564	373			0.398	0.393
70		8	Saccade	667			573	385			0.412	0.415
103		8	Saccade	667			582	394			0.425	0.432
137		8	Saccade	667			590	401			0.436	0.445
170	5		Fixation	200	599	395	599	407	0.449	0.434	0.450	0.456
203	5		Fixation	200	599	395	602	402	0.449	0.434	0.454	0.447
237	5		Fixation	200	599	395	602	398	0.449	0.434	0.454	0.439
270	5		Fixation	200	599	395	600	395	0.449	0.434	0.451	0.434
303	5		Fixation	200	599	395	598	389	0.449	0.434	0.448	0.422
337	5		Fixation	200	599	395	594	381	0.449	0.434	0.442	0.407
370		9	Saccade	67			594	372			0.441	0.390
403		9	Saccade	67			589	361			0.434	0.369
437	6		Fixation	100	584	358	587	360	0.426	0.364	0.431	0.367
470	6		Fixation	100	584	358	586	356	0.426	0.364	0.429	0.360
503	6		Fixation	100	584	358	579	358	0.426	0.364	0.419	0.364
537		10	Saccade	67			561	371			0.394	0.389
570		10	Saccade	67			498	762			0.316	1.136
603			Unclassified	100								
637			Unclassified	100								
670			Unclassified	100								
703			Unclassified	33			560	460			0.395	0.559
737		11	Saccade	33			552	378			0.381	0.403
770			Unclassified	33			555	375			0.385	0.397
803		12	Saccade	67			553	381			0.383	0.409
837		12	Saccade	67			561	376			0.394	0.399
870	7		Fixation	67	560	376	560	376	0.393	0.399	0.393	0.399
903	7		Fixation	67	560	376	560	375	0.393	0.399	0.393	0.397
937		13	Saccade	33			573	370			0.411	0.387
970			Unclassified	33			580	373			0.421	0.392
1003		14	Saccade	167			587	368			0.431	0.383
1037		14	Saccade	167			594	359			0.441	0.365
1070		14	Saccade	167			590	367			0.435	0.381
1103		14	Saccade	167			578	362			0.418	0.372
1137		14	Saccade	167			543	434			0.370	0.510
1170			Unclassified	33			541	427			0.367	0.497
1203		15	Saccade	33			546	417			0.374	0.477
1237	8		Fixation	67	546	420	546	421	0.374	0.483	0.374	0.485
1270	8		Fixation	67	546	420	545	419	0.374	0.483	0.372	0.481
1303		16	Saccade	67			553	414			0.384	0.471
1337		16	Saccade	67			550	423			0.380	0.489
1370			Unclassified	33			554	420			0.385	0.483
1403		17	Saccade	133			552	432			0.383	0.506
1437		17	Saccade	133			545	441			0.373	0.523
1470		17	Saccade	133			570	425			0.409	0.492
1503		17	Saccade	133			558	422			0.391	0.486
1537			Unclassified	33			566	429			0.403	0.499
1570		18	Saccade	67			572	424			0.411	0.490
1603		18	Saccade	67			574	438			0.415	0.516
1637			Unclassified	33			574	433			0.415	0.507
1670		19	Saccade	200			550	436			0.380	0.513
1703		19	Saccade	200			596	504			0.448	0.641
1737		19	Saccade	200								
1770		19	Saccade	200								
1803		19	Saccade	200			692	497			0.586	0.625
1837		19	Saccade	200			736	290			0.643	0.229
1870	9		Fixation	67	739	289	745	287	0.647	0.227	0.656	0.223
1903	9		Fixation	67	739	289	733	291	0.647	0.227	0.639	0.231
1937		20	Saccade	33			734	300			0.640	0.248
1970	10		Fixation	100	732	305	726	302	0.638	0.258	0.629	0.252
2003	10		Fixation	100	732	305	735	304	0.638	0.258	0.642	0.256
2037	10		Fixation	100	732	305	734	308	0.638	0.258	0.641	0.263
2070		21	Saccade	33			744	302			0.655	0.251
2103			Unclassified	33			740	309			0.649	0.265
2137			Unclassified	133								
2170			Unclassified	133								
2203			Unclassified	133								
2237			Unclassified	133								
2270			Unclassified	33			605	430			0.459	0.500
2303		22	Saccade	33			592	394			0.439	0.432
2337			Unclassified	33			588	388			0.433	0.421
2370		23	Saccade	67			578	390			0.419	0.425
2403		23	Saccade	67			578	402			0.419	0.448
2437			Unclassified	33			582	400			0.425	0.444
2470		24	Saccade	50			577	406			0.418	0.455
2503		24	Saccade	50			580	419			0.423	0.480
2570			Unclassified	17			583	429			0.427	0.499
2603		25	Saccade	50			593	428			0.442	0.497
2637		25	Saccade	50			591	436			0.439	0.512
2703			Unclassified	17			574	419			0.414	0.480
2737			Unclassified	33			572	412			0.411	0.467
2770		26	Saccade	17			571	425			0.410	0.492
2837			Unclassified	17			571	423			0.410	0.488
2870		27	Saccade	33			565	427			0.401	0.496
2903			Unclassified	17			569	425			0.407	0.492
2970			Unclassified	17			564	431			0.400	0.503
3003	11		Fixation	100	568	428	567	425	0.406	0.498	0.404	0.492
3037	11		Fixation	100	568	428	568	432	0.406	0.498	0.406	0.505
3070	11		Fixation	100	568	428	570	427	0.406	0.498	0.409	0.496
3103		28	Saccade	33			580	422			0.423	0.486
3137			Unclassified	33			575	423			0.416	0.488
3170		29	Saccade	33			580	412			0.422	0.467
3203	12		Fixation	100	575	415	576	416	0.415	0.473	0.417	0.474
3237	12		Fixation	100	575	415	574	414	0.415	0.473	0.414	0.471
3270	12		Fixation	100	575	415	574	415	0.415	0.473	0.414	0.473
3303		30	Saccade	133			579	409			0.421	0.461
3337		30	Saccade	133			571	418			0.410	0.478
3370		30	Saccade	133			516	419			0.331	0.482
3403		30	Saccade	133			433	409			0.211	0.466
3437	13		Fixation	67	438	417	436	415	0.218	0.481	0.216	0.477
3470	13		Fixation	67	438	417	441	418	0.218	0.481	0.223	0.483
3503		31	Saccade	133			444	414			0.227	0.475
3537		31	Saccade	133			440	418			0.221	0.483
3570		31	Saccade	133			430	423			0.207	0.493
3603		31	Saccade	133			430	412			0.207	0.472
3637			Unclassified	33			430	408			0.207	0.464
3670		32	Saccade	67			420	406			0.192	0.461
3703		32	Saccade	67			455	418			0.243	0.482
3737			Unclassified	100								
3770			Unclassified	100								
3803			Unclassified	100								
3837			Unclassified	33			500	438			0.308	0.519
3870		33	Saccade	500			473	353			0.267	0.358
3903		33	Saccade	500			498	355			0.303	0.361
3937		33	Saccade	500			509	348			0.318	0.347
3970		33	Saccade	500			515	336			0.327	0.324
4003		33	Saccade	500			507	335			0.315	0.323
4037		33	Saccade	500			492	328			0.293	0.310
4070		33	Saccade	500			486	311			0.284	0.278
4103		33	Saccade	500			500	297			0.304	0.250
4137		33	Saccade	500			524	295			0.338	0.246
4170		33	Saccade	500			530	290			0.347	0.236
4203		33	Saccade	500			519	299			0.331	0.254
4237		33	Saccade	500			491	308			0.291	0.272
4270		33	Saccade	500			488	318			0.287	0.291
4303		33	Saccade	500			519	326			0.332	0.305
4337		33	Saccade	500			511	324			0.320	0.302
4370			Unclassified	33			507	319			0.314	0.292
4403		34	Saccade	100			508	312			0.316	0.279
4437		34	Saccade	100			500	318			0.304	0.290
4470		34	Saccade	100			526	456			0.346	0.552
4503			Unclassified	100								
4537			Unclassified	100								
4570			Unclassified	100								
4603			Unclassified	33			578	395			0.419	0.434
4637		35	Saccade	67			578	361			0.418	0.370
4670		35	Saccade	67			592	364			0.438	0.375
4703	14		Fixation	200	611	360	600	363	0.465	0.367	0.450	0.373
4737	14		Fixation	200	611	360	605	361	0.465	0.367	0.457	0.369
4770	14		Fixation	200	611	360	606	358	0.465	0.367	0.458	0.363
4803	14		Fixation	200	611	360	616	362	0.465	0.367	0.473	0.370
4837	14		Fixation	200	611	360	621	359	0.465	0.367	0.480	0.364
4870	14		Fixation	200	611	360	619	359	0.465	0.367	0.477	0.364
4903		36	Saccade	133			633	352			0.497	0.351
4937		36	Saccade	133			642	349			0.510	0.345
4970		36	Saccade	133			647	342			0.517	0.331
5003		36	Saccade	133			646	330			0.515	0.308
5037			Unclassified	33			642	335			0.509	0.318
5070			Unclassified	133								
5103			Unclassified	133								
5137			Unclassified	133								
5170			Unclassified	133								
5203			Unclassified	33			643	371			0.512	0.386
5237		37	Saccade	200			633	341			0.496	0.330
5270		37	Saccade	200			600	323			0.448	0.296
5303		37	Saccade	200			592	328			0.437	0.306
5337		37	Saccade	200			601	336			0.450	0.321
5370		37	Saccade	200			612	339			0.466	0.327
5403		37	Saccade	200			595	339			0.442	0.327
5437			Unclassified	133								
5470			Unclassified	133								
5503			Unclassified	133								
5537			Unclassified	133								
5570			Unclassified	33			566	340			0.400	0.330
5603		38	Saccade	133			587	348			0.430	0.345
5637		38	Saccade	133			595	342			0.442	0.333
5670		38	Saccade	133			588	349			0.432	0.346
5703		38	Saccade	133			595	345			0.442	0.339
5737			Unclassified	33			589	344			0.433	0.337
5770		39	Saccade	67			560	423			0.394	0.488
5803		39	Saccade	67			567	405			0.404	0.454
5837	15		Fixation	67	571	401	570	401	0.409	0.446	0.408	0.446
5870	15		Fixation	67	571	401	571	401	0.409	0.446	0.409	0.446
5903		40	Saccade	33			563	412			0.398	0.467
5937			Unclassified	33			559	409			0.392	0.462
5970			Unclassified	167								
6003			Unclassified	167								
6037			Unclassified	167								
6070			Unclassified	167								
6103			Unclassified	167								
6137			Unclassified	33			568	449			0.406	0.538
6170			Unclassified	33			565	441			0.402	0.522
6203		41	Saccade	100			574	435			0.415	0.511
6237		41	Saccade	100			586	434			0.432	0.508
6270		41	Saccade	100			602	433			0.455	0.506
6303	16		Fixation	100	600	441	600	439	0.452	0.521	0.452	0.517
6337	16		Fixation	100	600	441	603	443	0.452	0.521	0.457	0.525
6370	16		Fixation	100	600	441	595	440	0.452	0.521	0.445	0.519
6403		42	Saccade	67			583	428			0.427	0.497
6437		42	Saccade	67			585	351			0.428	0.350
6470			Unclassified	33			579	354			0.419	0.356
6503		43	Saccade	33			586	351			0.429	0.350
6537			Unclassified	33			586	352			0.429	0.352
6570		44	Saccade	33			570	363			0.407	0.374
6603			Unclassified	133								
6637			Unclassified	133								
6670			Unclassified	133								
6703			Unclassified	133								
6737			Unclassified	33			559	479			0.394	0.595
6770		45	Saccade	100			573	399			0.412	0.442
6803		45	Saccade	100			577	412			0.418	0.467
6837		45	Saccade	100			574	398			0.413	0.440
6870	17		Fixation	133	582	403	580	403	0.425	0.449	0.422	0.450
6903	17		Fixation	133	582	403	587	401	0.425	0.449	0.432	0.445
6937	17		Fixation	133	582	403	582	407	0.425	0.449	0.425	0.457
6970	17		Fixation	133	582	403	580	403	0.425	0.449	0.422	0.450
7003		46	Saccade	67			590	398			0.436	0.440
7037		46	Saccade	67			592	407			0.440	0.457
7070	18		Fixation	67	596	408	596	406	0.445	0.458	0.445	0.455
7103	18		Fixation	67	596	408	597	409	0.445	0.458	0.447	0.460
7137		47	Saccade	33			607	408			0.461	0.458
7170	19		Fixation	67	603	406	604	408	0.455	0.454	0.457	0.458
7203	19		Fixation	67	603	406	602	404	0.455	0.454	0.454	0.451
7237		48	Saccade	100			576	392			0.416	0.429
7270		48	Saccade	100			791	339			0.723	0.320
7303		48	Saccade	100			767	351			0.689	0.344
7337	20		Fixation	167	783	356	770	353	0.713	0.353	0.694	0.348
7370	20		Fixation	167	783	356	782	348	0.713	0.353	0.711	0.338
7403	20		Fixation	167	783	356	778	355	0.713	0.353	0.705	0.351
7437	20		Fixation	167	783	356	786	360	0.713	0.353	0.717	0.360
7470	20		Fixation	167	783	356	797	366	0.713	0.353	0.733	0.372
7503		49	Saccade	83			590	387			0.436	0.419
7537		49	Saccade	83			575	383			0.414	0.412
7570		49	Saccade	83			565	399			0.400	0.442
7637			Unclassified	67								
7670			Unclassified	67								
7703			Unclassified	67								
7770			Unclassified	17			532	391			0.353	0.428
7803		50	Saccade	33			547	378			0.374	0.403
7837			Unclassified	33			553	384			0.383	0.414
7870		51	Saccade	33			559	380			0.391	0.406
7903			Unclassified	33			557	373			0.388	0.393
7937		52	Saccade	67			547	373			0.374	0.394
7970		52	Saccade	67			683	400			0.570	0.440
8003	21		Fixation	67	682	394	678	394	0.569	0.429	0.563	0.429
8037	21		Fixation	67	682	394	685	394	0.569	0.429	0.573	0.429
8070		53	Saccade	33			697	391			0.590	0.423
