RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (ADCSpx)	FixationPointY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)
27			Unclassified	133								
60			Unclassified	33			635	340			0.370	0.255
93		10	Saccade	33			635	365			0.372	0.327
127			Unclassified	33			640	363			0.383	0.320
160		11	Saccade	33			652	362			0.409	0.316
193	6		Fixation	833	652	361	653	361	0.409	0.313	0.411	0.313
227	6		Fixation	833	652	361	654	362	0.409	0.313	0.413	0.316
260	6		Fixation	833	652	361	660	363	0.409	0.313	0.426	0.318
293	6		Fixation	833	652	361	660	361	0.409	0.313	0.426	0.312
327	6		Fixation	833	652	361	661	362	0.409	0.313	0.428	0.315
360	6		Fixation	833	652	361	660	360	0.409	0.313	0.426	0.310
393	6		Fixation	833	652	361	658	360	0.409	0.313	0.422	0.310
427	6		Fixation	833	652	361	658	363	0.409	0.313	0.422	0.318
460	6		Fixation	833	652	361	654	363	0.409	0.313	0.413	0.319
493	6		Fixation	833	652	361	656	365	0.409	0.313	0.418	0.324
527	6		Fixation	833	652	361	656	364	0.409	0.313	0.418	0.321
560	6		Fixation	833	652	361	656	362	0.409	0.313	0.417	0.316
593	6		Fixation	833	652	361	654	363	0.409	0.313	0.413	0.319
627	6		Fixation	833	652	361	653	359	0.409	0.313	0.411	0.307
660	6		Fixation	833	652	361	649	356	0.409	0.313	0.402	0.299
693	6		Fixation	833	652	361	650	358	0.409	0.313	0.404	0.305
727	6		Fixation	833	652	361	648	359	0.409	0.313	0.400	0.308
760	6		Fixation	833	652	361	647	359	0.409	0.313	0.398	0.308
793	6		Fixation	833	652	361	643	356	0.409	0.313	0.389	0.300
827	6		Fixation	833	652	361	650	363	0.409	0.313	0.405	0.319
860	6		Fixation	833	652	361	650	361	0.409	0.313	0.404	0.314
893	6		Fixation	833	652	361	646	361	0.409	0.313	0.396	0.314
927	6		Fixation	833	652	361	644	363	0.409	0.313	0.392	0.320
960	6		Fixation	833	652	361	640	358	0.409	0.313	0.383	0.306
993	6		Fixation	833	652	361	640	364	0.409	0.313	0.383	0.323
1027		12	Saccade	67			652	379			0.410	0.365
1060		12	Saccade	67			638	445			0.386	0.557
1093	7		Fixation	400	634	443	634	439	0.377	0.551	0.377	0.540
1127	7		Fixation	400	634	443	636	438	0.377	0.551	0.381	0.537
1160	7		Fixation	400	634	443	634	442	0.377	0.551	0.377	0.548
1193	7		Fixation	400	634	443	637	441	0.377	0.551	0.383	0.545
1227	7		Fixation	400	634	443	636	442	0.377	0.551	0.381	0.548
1260	7		Fixation	400	634	443	632	441	0.377	0.551	0.372	0.546
1293	7		Fixation	400	634	443	637	442	0.377	0.551	0.383	0.548
1327	7		Fixation	400	634	443	635	445	0.377	0.551	0.379	0.557
1360	7		Fixation	400	634	443	633	445	0.377	0.551	0.375	0.557
1393	7		Fixation	400	634	443	633	446	0.377	0.551	0.375	0.560
1427	7		Fixation	400	634	443	632	449	0.377	0.551	0.373	0.569
1460	7		Fixation	400	634	443	632	450	0.377	0.551	0.373	0.572
1493		13	Saccade	33			611	439			0.327	0.542
1527			Unclassified	133								
1560			Unclassified	133								
1593			Unclassified	133								
1627			Unclassified	133								
1660			Unclassified	33			747	355			0.613	0.285
1693		14	Saccade	33			738	345			0.593	0.257
1727			Unclassified	33			746	345			0.610	0.256
1760		15	Saccade	100			745	332			0.607	0.219
1793		15	Saccade	100			752	326			0.621	0.201
1827		15	Saccade	100			742	299			0.597	0.125
1860	8		Fixation	133	731	299	741	291	0.574	0.126	0.595	0.102
1893	8		Fixation	133	731	299	734	297	0.574	0.126	0.580	0.120
1927	8		Fixation	133	731	299	727	302	0.574	0.126	0.565	0.135
1960	8		Fixation	133	731	299	722	306	0.574	0.126	0.555	0.147
1993		16	Saccade	100			712	314			0.534	0.171
2027		16	Saccade	100			704	321			0.517	0.192
2060		16	Saccade	100			692	328			0.492	0.214
2093	9		Fixation	233	674	342	692	333	0.455	0.256	0.493	0.228
2127	9		Fixation	233	674	342	685	333	0.455	0.256	0.477	0.229
2160	9		Fixation	233	674	342	678	338	0.455	0.256	0.463	0.244
2193	9		Fixation	233	674	342	674	343	0.455	0.256	0.455	0.259
2227	9		Fixation	233	674	342	668	347	0.455	0.256	0.442	0.271
2260	9		Fixation	233	674	342	664	350	0.455	0.256	0.434	0.280
2293	9		Fixation	233	674	342	660	347	0.455	0.256	0.425	0.272
2327		17	Saccade	67			642	360			0.387	0.312
2360		17	Saccade	67			635	369			0.373	0.338
2393	10		Fixation	333	620	373	631	370	0.341	0.352	0.364	0.342
2427	10		Fixation	333	620	373	627	369	0.341	0.352	0.356	0.339
2460	10		Fixation	333	620	373	623	370	0.341	0.352	0.347	0.343
2493	10		Fixation	333	620	373	626	372	0.341	0.352	0.354	0.348
2527	10		Fixation	333	620	373	620	372	0.341	0.352	0.341	0.349
2560	10		Fixation	333	620	373	617	370	0.341	0.352	0.334	0.343
2593	10		Fixation	333	620	373	617	374	0.341	0.352	0.334	0.355
2627	10		Fixation	333	620	373	616	376	0.341	0.352	0.332	0.361
2660	10		Fixation	333	620	373	616	381	0.341	0.352	0.333	0.375
2693	10		Fixation	333	620	373	608	379	0.341	0.352	0.315	0.370
2727		18	Saccade	100			601	386			0.301	0.391
2760		18	Saccade	100			590	389			0.278	0.401
2793		18	Saccade	100			587	395			0.272	0.419
2827	11		Fixation	100	578	396	582	394	0.252	0.423	0.261	0.416
2860	11		Fixation	100	578	396	579	397	0.252	0.423	0.255	0.425
2893	11		Fixation	100	578	396	574	398	0.252	0.423	0.244	0.429
2927		19	Saccade	33			567	401			0.229	0.438
2960	12		Fixation	100	560	401	561	399	0.214	0.439	0.216	0.433
2993	12		Fixation	100	560	401	564	401	0.214	0.439	0.223	0.438
3027	12		Fixation	100	560	401	556	402	0.214	0.439	0.205	0.442
3060		20	Saccade	33			543	399			0.177	0.435
3093	13		Fixation	500	529	388	543	399	0.146	0.405	0.177	0.435
3127	13		Fixation	500	529	388	543	402	0.146	0.405	0.177	0.444
3160	13		Fixation	500	529	388	542	403	0.146	0.405	0.175	0.447
