RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (ADCSpx)	FixationPointY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)
7			Unclassified	133								
40			Unclassified	33			568	525			0.423	0.584
73		41	Saccade	33			579	486			0.442	0.488
107	23		Fixation	600	590	492	585	494	0.462	0.502	0.453	0.507
140	23		Fixation	600	590	492	589	499	0.462	0.502	0.460	0.519
173	23		Fixation	600	590	492	586	495	0.462	0.502	0.455	0.509
207	23		Fixation	600	590	492	586	497	0.462	0.502	0.455	0.514
240	23		Fixation	600	590	492	582	494	0.462	0.502	0.447	0.507
273	23		Fixation	600	590	492	586	497	0.462	0.502	0.455	0.514
307	23		Fixation	600	590	492	587	498	0.462	0.502	0.457	0.517
340	23		Fixation	600	590	492	586	495	0.462	0.502	0.455	0.509
373	23		Fixation	600	590	492	585	491	0.462	0.502	0.453	0.500
407	23		Fixation	600	590	492	587	490	0.462	0.502	0.456	0.497
440	23		Fixation	600	590	492	589	489	0.462	0.502	0.460	0.494
473	23		Fixation	600	590	492	589	488	0.462	0.502	0.460	0.492
507	23		Fixation	600	590	492	590	487	0.462	0.502	0.462	0.490
540	23		Fixation	600	590	492	593	488	0.462	0.502	0.467	0.492
573	23		Fixation	600	590	492	595	486	0.462	0.502	0.471	0.487
607	23		Fixation	600	590	492	601	491	0.462	0.502	0.482	0.498
640	23		Fixation	600	590	492	603	492	0.462	0.502	0.486	0.501
673	23		Fixation	600	590	492	603	491	0.462	0.502	0.486	0.498
707		42	Saccade	33			561	549			0.412	0.643
740	24		Fixation	733	571	550	565	547	0.430	0.645	0.419	0.638
773	24		Fixation	733	571	550	565	548	0.430	0.645	0.419	0.641
807	24		Fixation	733	571	550	569	549	0.430	0.645	0.426	0.643
840	24		Fixation	733	571	550	569	549	0.430	0.645	0.426	0.643
873	24		Fixation	733	571	550	576	550	0.430	0.645	0.439	0.645
907	24		Fixation	733	571	550	576	547	0.430	0.645	0.439	0.637
940	24		Fixation	733	571	550	576	547	0.430	0.645	0.439	0.637
973	24		Fixation	733	571	550	574	550	0.430	0.645	0.435	0.645
1007	24		Fixation	733	571	550	572	549	0.430	0.645	0.432	0.642
1040	24		Fixation	733	571	550	569	547	0.430	0.645	0.426	0.638
1073	24		Fixation	733	571	550	563	546	0.430	0.645	0.415	0.636
1107	24		Fixation	733	571	550	566	547	0.430	0.645	0.421	0.638
1140	24		Fixation	733	571	550	566	546	0.430	0.645	0.421	0.636
1173	24		Fixation	733	571	550	568	547	0.430	0.645	0.424	0.638
1207	24		Fixation	733	571	550	571	549	0.430	0.645	0.430	0.643
1240	24		Fixation	733	571	550	570	549	0.430	0.645	0.428	0.643
1273	24		Fixation	733	571	550	572	553	0.430	0.645	0.432	0.652
1307	24		Fixation	733	571	550	572	554	0.430	0.645	0.432	0.655
1340	24		Fixation	733	571	550	575	553	0.430	0.645	0.437	0.652
1373	24		Fixation	733	571	550	578	557	0.430	0.645	0.443	0.662
1407	24		Fixation	733	571	550	576	559	0.430	0.645	0.439	0.667
1440	24		Fixation	733	571	550	577	562	0.430	0.645	0.441	0.674
1473		43	Saccade	67			596	566			0.476	0.682
1507		43	Saccade	67			584	563			0.454	0.676
1540	25		Fixation	167	576	563	582	565	0.440	0.676	0.451	0.681
1573	25		Fixation	167	576	563	579	565	0.440	0.676	0.445	0.681
1607	25		Fixation	167	576	563	575	564	0.440	0.676	0.438	0.679
