RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (ADCSpx)	FixationPointY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)
1908501	42		Fixation	333	817	557	824	558	0.790	0.879	0.805	0.882
1908534	42		Fixation	333	817	557	821	555	0.790	0.879	0.799	0.874
1908567	42		Fixation	333	817	557	813	551	0.790	0.879	0.782	0.863
1908601	42		Fixation	333	817	557	814	551	0.790	0.879	0.784	0.863
1908634	42		Fixation	333	817	557	815	551	0.790	0.879	0.786	0.863
1908667	42		Fixation	333	817	557			0.790	0.879		
1908701	42		Fixation	333	817	557	813	554	0.790	0.879	0.782	0.871
1908734	42		Fixation	333	817	557	806	559	0.790	0.879	0.767	0.886
1908767		71	Saccade	100			834	586			0.827	0.960
1908801		71	Saccade	100			637	576			0.409	0.941
1908834		71	Saccade	100			638	557			0.411	0.887
1908867	43		Fixation	400	628	559	632	557	0.390	0.893	0.398	0.888
1908901	43		Fixation	400	628	559	627	559	0.390	0.893	0.388	0.893
1908934	43		Fixation	400	628	559	630	561	0.390	0.893	0.394	0.899
1908967	43		Fixation	400	628	559			0.390	0.893		
1909001	43		Fixation	400	628	559	622	559	0.390	0.893	0.377	0.894
1909034	43		Fixation	400	628	559	622	563	0.390	0.893	0.377	0.905
1909067	43		Fixation	400	628	559	625	563	0.390	0.893	0.383	0.905
1909101	43		Fixation	400	628	559	631	558	0.390	0.893	0.396	0.890
1909134	43		Fixation	400	628	559	632	554	0.390	0.893	0.398	0.879
1909167	43		Fixation	400	628	559	633	558	0.390	0.893	0.400	0.890
1909201	43		Fixation	400	628	559	632	558	0.390	0.893	0.398	0.890
1909234	43		Fixation	400	628	559	630	559	0.390	0.893	0.394	0.893
1909267		72	Saccade	67			609	551			0.349	0.872
1909301		72	Saccade	67			562	700			0.254	1.294
1909334			Unclassified	167								
1909367			Unclassified	167								
1909401			Unclassified	167								
1909434			Unclassified	167								
1909467			Unclassified	167								
1909501			Unclassified	33			521	558			0.163	0.895
1909534		73	Saccade	67			547	555			0.218	0.886
1909567		73	Saccade	67			538	532			0.198	0.821
1909601	44		Fixation	100	547	536	545	541	0.217	0.832	0.213	0.846
1909634	44		Fixation	100	547	536	545	535	0.217	0.832	0.213	0.829
1909667	44		Fixation	100	547	536	549	532	0.217	0.832	0.221	0.821
1909701		74	Saccade	167			565	581			0.257	0.958
1909734		74	Saccade	167			646	544			0.427	0.850
1909767		74	Saccade	167			650	533			0.435	0.819
1909801		74	Saccade	167			633	522			0.399	0.789
1909834		74	Saccade	167			647	524			0.429	0.794
1909867			Unclassified	33			663	532			0.463	0.816
1909901		75	Saccade	67			633	513			0.399	0.763
1909934		75	Saccade	67			644	530			0.423	0.811
1909967			Unclassified	33			651	536			0.438	0.827
1910001		76	Saccade	33			643	541			0.421	0.842
1910034	45		Fixation	150	644	527	643	534	0.422	0.802	0.421	0.822
1910067	45		Fixation	150	644	527	649	530	0.422	0.802	0.433	0.811
1910101	45		Fixation	150	644	527	648	524	0.422	0.802	0.431	0.794
1910134	45		Fixation	150	644	527	644	523	0.422	0.802	0.422	0.791
1910167	45		Fixation	150	644	527	637	523	0.422	0.802	0.408	0.791
1910234			Unclassified	0			647	537			0.429	0.830
1910301			Unclassified	17			646	537			0.427	0.830
1910334			Unclassified	50			650	539			0.436	0.836
1910367			Unclassified	50			652	532			0.440	0.816
1910434			Unclassified	17			639	524			0.412	0.794
1910467			Unclassified	50								
1910501			Unclassified	50			632	518			0.397	0.777
1910567			Unclassified	17								
1910601			Unclassified	33			631	522			0.395	0.789
1910634		77	Saccade	17			641	516			0.416	0.771
1910701			Unclassified	17			594	547			0.317	0.861
1910734			Unclassified	50			591	546			0.311	0.858
1910767			Unclassified	50			592	547			0.313	0.861
1910834			Unclassified	17			594	548			0.317	0.864
1910867	46		Fixation	200	591	539	592	543	0.311	0.839	0.313	0.850
1910901	46		Fixation	200	591	539			0.311	0.839		
1910934	46		Fixation	200	591	539	587	538	0.311	0.839	0.302	0.836
1910967	46		Fixation	200	591	539	591	539	0.311	0.839	0.311	0.839
1911001	46		Fixation	200	591	539	590	536	0.311	0.839	0.308	0.830
1911034	46		Fixation	200	591	539	595	540	0.311	0.839	0.319	0.841
1911067		78	Saccade	167			596	551			0.322	0.872
1911101		78	Saccade	167			661	510			0.458	0.754
1911134		78	Saccade	167			668	503			0.473	0.734
1911167		78	Saccade	167			667	517			0.471	0.773
1911201		78	Saccade	167			567	560			0.260	0.899
1911234			Unclassified	400								
1911267			Unclassified	400								
1911301			Unclassified	400								
1911334			Unclassified	400								
1911367			Unclassified	400								
1911401			Unclassified	400								
1911434			Unclassified	400								
1911467			Unclassified	400								
1911501			Unclassified	400								
1911534			Unclassified	400								
1911567			Unclassified	400								
1911601			Unclassified	400								
1911634			Unclassified	33			637	654			0.412	1.161
1911667			Unclassified	300								
1911701			Unclassified	300								
1911734			Unclassified	300								
1911767			Unclassified	300								
1911801			Unclassified	300								
1911834			Unclassified	300								
1911867			Unclassified	300								
1911901			Unclassified	300								
1911934			Unclassified	300								
1911967			Unclassified	33			525	441			0.167	0.565
1912001		79	Saccade	67			525	402			0.166	0.455
1912034		79	Saccade	67			549	411			0.217	0.479
1912067			Unclassified	33			551	406			0.221	0.465
1912101		80	Saccade	33			560	402			0.240	0.453
1912134			Unclassified	33			563	406			0.247	0.464
1912167		81	Saccade	67								
1912201		81	Saccade	67			666	469			0.467	0.638
1912234	47		Fixation	133	679	477	676	473	0.495	0.660	0.489	0.648
1912267	47		Fixation	133	679	477	678	473	0.495	0.660	0.493	0.648
1912301	47		Fixation	133	679	477	678	477	0.495	0.660	0.493	0.660
1912334	47		Fixation	133	679	477	682	483	0.495	0.660	0.502	0.676
1912367		82	Saccade	67			632	335			0.391	0.261
1912401		82	Saccade	67			632	348			0.391	0.298
1912434	48		Fixation	100	640	352	637	348	0.408	0.308	0.402	0.297
1912467	48		Fixation	100	640	352	644	356	0.408	0.308	0.417	0.320
1912501	48		Fixation	100	640	352	640	351	0.408	0.308	0.408	0.306
1912534		83	Saccade	33			621	337			0.367	0.267
1912567	49		Fixation	267	625	349			0.376	0.301		
1912601	49		Fixation	267	625	349	625	344	0.376	0.301	0.376	0.287
1912634	49		Fixation	267	625	349			0.376	0.301		
1912667	49		Fixation	267	625	349	626	349	0.376	0.301	0.378	0.301
1912701	49		Fixation	267	625	349	633	352	0.376	0.301	0.393	0.309
1912734	49		Fixation	267	625	349	627	352	0.376	0.301	0.381	0.309
1912767	49		Fixation	267	625	349	625	354	0.376	0.301	0.376	0.315
1912801	49		Fixation	267	625	349	619	356	0.376	0.301	0.364	0.321
1912834		84	Saccade	67			617	384			0.360	0.400
1912867		84	Saccade	67			582	450			0.288	0.588
1912901	50		Fixation	167	580	447	577	445	0.284	0.579	0.278	0.574
1912934	50		Fixation	167	580	447	584	450	0.284	0.579	0.293	0.588
1912967	50		Fixation	167	580	447	582	449	0.284	0.579	0.288	0.585
1913001	50		Fixation	167	580	447	583	449	0.284	0.579	0.291	0.585
1913034	50		Fixation	167	580	447	573	445	0.284	0.579	0.269	0.574
1913067		85	Saccade	167			583	458			0.291	0.610
1913101		85	Saccade	167			566	451			0.255	0.591
1913134		85	Saccade	167			575	467			0.274	0.636
1913167		85	Saccade	167			572	454			0.267	0.599
1913201		85	Saccade	167			583	452			0.291	0.593
1913234			Unclassified	33			583	448			0.291	0.582
1913267		86	Saccade	167								
1913301		86	Saccade	167			565	328			0.248	0.244
1913334		86	Saccade	167			559	322			0.235	0.227
1913367		86	Saccade	167			543	318			0.201	0.217
1913401		86	Saccade	167			535	323			0.185	0.231
1913434	51		Fixation	67	540	327			0.195	0.242		
1913467	51		Fixation	67	540	327	542	328	0.195	0.242	0.200	0.245
1913501		87	Saccade	33			555	341			0.228	0.281
1913534			Unclassified	33			555	339			0.228	0.276
1913567		88	Saccade	367								
1913601		88	Saccade	367			599	381			0.322	0.392
1913634		88	Saccade	367			585	344			0.291	0.288
1913667		88	Saccade	367			571	341			0.262	0.281
1913701		88	Saccade	367			562	343			0.243	0.287
1913734		88	Saccade	367								
1913767		88	Saccade	367			596	359			0.315	0.330
1913801		88	Saccade	367			587	339			0.295	0.274
1913834		88	Saccade	367								
1913867		88	Saccade	367			598	437			0.322	0.550
1913901		88	Saccade	367			614	450			0.356	0.586
1913934	52		Fixation	100	605	444			0.337	0.570		
1913967	52		Fixation	100	605	444	606	445	0.337	0.570	0.339	0.573
1914001	52		Fixation	100	605	444	599	440	0.337	0.570	0.324	0.559
1914034		89	Saccade	67			591	446			0.307	0.576
1914067		89	Saccade	67			602	467			0.331	0.635
1914101	53		Fixation	233	591	455			0.308	0.601		
1914134	53		Fixation	233	591	455	595	458	0.308	0.601	0.316	0.610
1914167	53		Fixation	233	591	455			0.308	0.601		
1914201	53		Fixation	233	591	455	589	453	0.308	0.601	0.303	0.596
1914234	53		Fixation	233	591	455	591	456	0.308	0.601	0.308	0.604
1914267	53		Fixation	233	591	455	586	450	0.308	0.601	0.297	0.588
1914301	53		Fixation	233	591	455	586	450	0.308	0.601	0.297	0.588
1914334		90	Saccade	67			562	433			0.246	0.541
1914367		90	Saccade	67			575	451			0.274	0.591
1914401	54		Fixation	100	580	450	585	458	0.284	0.588	0.295	0.610
1914434	54		Fixation	100	580	450	582	451	0.284	0.588	0.289	0.591
1914467	54		Fixation	100	580	450	573	443	0.284	0.588	0.269	0.568
1914501		91	Saccade	67			560	444			0.242	0.572
1914534		91	Saccade	67			554	452			0.229	0.595
1914567	55		Fixation	100	567	464			0.257	0.628		
1914601	55		Fixation	100	567	464	570	465	0.257	0.628	0.264	0.631
1914634	55		Fixation	100	567	464	568	467	0.257	0.628	0.259	0.636
