RecordingTimestamp	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (ADCSpx)	FixationPointY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	FixationPointX (MCSpx)	FixationPointY (MCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)
1906481	38		Fixation	1800	744	395	754	397	0.627	0.505	0.648	0.510
1906514	38		Fixation	1800	744	395	752	400	0.627	0.505	0.644	0.518
1906547	38		Fixation	1800	744	395	754	400	0.627	0.505	0.648	0.518
1906581	38		Fixation	1800	744	395	751	400	0.627	0.505	0.642	0.518
1906614	38		Fixation	1800	744	395	749	398	0.627	0.505	0.637	0.513
1906647	38		Fixation	1800	744	395	748	398	0.627	0.505	0.635	0.513
1906681	38		Fixation	1800	744	395	744	396	0.627	0.505	0.627	0.508
1906714	38		Fixation	1800	744	395	746	396	0.627	0.505	0.631	0.508
1906747	38		Fixation	1800	744	395	743	395	0.627	0.505	0.625	0.505
1906781	38		Fixation	1800	744	395	743	394	0.627	0.505	0.625	0.502
1906814	38		Fixation	1800	744	395	743	397	0.627	0.505	0.625	0.511
1906847	38		Fixation	1800	744	395	744	393	0.627	0.505	0.627	0.499
1906881	38		Fixation	1800	744	395	740	396	0.627	0.505	0.619	0.508
1906914	38		Fixation	1800	744	395	740	393	0.627	0.505	0.618	0.500
1906947	38		Fixation	1800	744	395	738	394	0.627	0.505	0.614	0.503
1906981	38		Fixation	1800	744	395	741	394	0.627	0.505	0.621	0.502
1907014	38		Fixation	1800	744	395	739	393	0.627	0.505	0.616	0.500
1907047	38		Fixation	1800	744	395	741	394	0.627	0.505	0.621	0.502
1907081	38		Fixation	1800	744	395	742	392	0.627	0.505	0.623	0.497
1907114	38		Fixation	1800	744	395	742	392	0.627	0.505	0.623	0.497
1907147	38		Fixation	1800	744	395	744	392	0.627	0.505	0.627	0.497
1907181	38		Fixation	1800	744	395	746	393	0.627	0.505	0.631	0.499
1907214	38		Fixation	1800	744	395	748	397	0.627	0.505	0.635	0.510
1907247	38		Fixation	1800	744	395	745	392	0.627	0.505	0.629	0.497
1907281	38		Fixation	1800	744	395	743	393	0.627	0.505	0.625	0.500
1907314	38		Fixation	1800	744	395	746	393	0.627	0.505	0.631	0.499
1907347	38		Fixation	1800	744	395	747	391	0.627	0.505	0.633	0.494
1907381	38		Fixation	1800	744	395	746	392	0.627	0.505	0.631	0.497
1907414	38		Fixation	1800	744	395	747	391	0.627	0.505	0.633	0.494
1907447	38		Fixation	1800	744	395	739	385	0.627	0.505	0.616	0.478
1907481	38		Fixation	1800	744	395	738	391	0.627	0.505	0.614	0.494
1907514	38		Fixation	1800	744	395	737	387	0.627	0.505	0.612	0.483
1907547	38		Fixation	1800	744	395	739	390	0.627	0.505	0.616	0.491
1907581	38		Fixation	1800	744	395	736	392	0.627	0.505	0.610	0.497
1907614	38		Fixation	1800	744	395	737	394	0.627	0.505	0.612	0.503
1907647	38		Fixation	1800	744	395	736	395	0.627	0.505	0.610	0.506
1907681	38		Fixation	1800	744	395	736	394	0.627	0.505	0.610	0.503
1907714	38		Fixation	1800	744	395	739	395	0.627	0.505	0.617	0.505
1907747	38		Fixation	1800	744	395	740	397	0.627	0.505	0.619	0.511
1907781	38		Fixation	1800	744	395	743	395	0.627	0.505	0.625	0.505
1907814	38		Fixation	1800	744	395	747	394	0.627	0.505	0.633	0.502
1907847	38		Fixation	1800	744	395	742	393	0.627	0.505	0.623	0.500
1907881	38		Fixation	1800	744	395	736	390	0.627	0.505	0.610	0.492
1907914	38		Fixation	1800	744	395	737	391	0.627	0.505	0.612	0.494
1907947	38		Fixation	1800	744	395	737	391	0.627	0.505	0.612	0.494
1907981	38		Fixation	1800	744	395	733	394	0.627	0.505	0.604	0.503
1908014		44	Saccade	33			787	423			0.718	0.580
1908047			Unclassified	133								
1908081			Unclassified	133								
1908114			Unclassified	133								
1908147			Unclassified	133								
1908181			Unclassified	33			768	424			0.678	0.584
1908214			Unclassified	33			771	422			0.684	0.578
1908247		45	Saccade	33			776	414			0.694	0.556
1908281	39		Fixation	133	797	414	783	413	0.738	0.554	0.709	0.552
1908314	39		Fixation	133	797	414	794	412	0.738	0.554	0.732	0.549
1908347	39		Fixation	133	797	414	803	412	0.738	0.554	0.750	0.548
1908381	39		Fixation	133	797	414	807	418	0.738	0.554	0.759	0.565
1908414		46	Saccade	67			808	435			0.762	0.612
1908447		46	Saccade	67			828	534			0.808	0.886
1908481	40		Fixation	233	811	531	817	526	0.773	0.878	0.785	0.864
1908514	40		Fixation	233	811	531	814	527	0.773	0.878	0.779	0.867
1908547	40		Fixation	233	811	531	811	527	0.773	0.878	0.772	0.867
1908581	40		Fixation	233	811	531	810	531	0.773	0.878	0.771	0.878
1908614	40		Fixation	233	811	531	806	531	0.773	0.878	0.762	0.879
1908647	40		Fixation	233	811	531	806	535	0.773	0.878	0.762	0.890
1908681	40		Fixation	233	811	531	817	541	0.773	0.878	0.786	0.906
1908714		47	Saccade	67			683	516			0.506	0.845
1908747		47	Saccade	67			699	514			0.539	0.839
1908781	41		Fixation	333	701	495	701	511	0.542	0.786	0.543	0.830
1908814	41		Fixation	333	701	495	702	509	0.542	0.786	0.545	0.824
1908847	41		Fixation	333	701	495	700	504	0.542	0.786	0.541	0.811
1908881	41		Fixation	333	701	495	700	500	0.542	0.786	0.540	0.800
1908914	41		Fixation	333	701	495	697	497	0.542	0.786	0.534	0.791
1908947	41		Fixation	333	701	495	699	494	0.542	0.786	0.538	0.783
1908981	41		Fixation	333	701	495	699	490	0.542	0.786	0.538	0.772
1909014	41		Fixation	333	701	495	701	485	0.542	0.786	0.542	0.758
1909047	41		Fixation	333	701	495	703	481	0.542	0.786	0.546	0.747
1909081	41		Fixation	333	701	495	703	476	0.542	0.786	0.546	0.733
1909114		48	Saccade	33			711	471			0.562	0.718
1909147	42		Fixation	233	705	465	704	463	0.549	0.702	0.547	0.697
1909181	42		Fixation	233	705	465	709	461	0.549	0.702	0.557	0.691
1909214	42		Fixation	233	705	465	709	461	0.549	0.702	0.557	0.691
1909247	42		Fixation	233	705	465	709	461	0.549	0.702	0.557	0.691
1909281	42		Fixation	233	705	465	704	468	0.549	0.702	0.547	0.710
1909314	42		Fixation	233	705	465	701	473	0.549	0.702	0.541	0.725
1909347	42		Fixation	233	705	465	697	469	0.549	0.702	0.533	0.714
1909381		49	Saccade	33			743	524			0.631	0.863
